match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,captain,player_sofascoreId,stat_accurateCross,stat_keyPass,stat_aerialLost,stat_wasFouled,player_firstName,stat_shotOffTarget,stat_expectedGoals,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,player_lastName,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12437011,home,Brighton & Hove Albion,Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193,4212,M,994363,EUR,1029628800,G,1,1,False,31.0,20.0,16.0,5.0,0.0,17.0,18.0,3.0,13.0,1.0,9.0,1.0,1.0,1.0,90.0,37.0,5.8,11.0,0.00070007,0,-0.7218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437011,home,Brighton & Hove Albion,Joël Veltman,joel-veltman,J. Veltman,D,34,184,1147,M,219572,EUR,695433600,D,34,34,False,31.0,24.0,5.0,,0.0,14.0,19.0,10.0,13.0,4.0,3.0,,,,90.0,52.0,6.0,12.0,0.00516353,0,,1.0,1.0,7.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12437011,home,Brighton & Hove Albion,Adam Webster,adam-webster,A. Webster,D,4,191,505,M,216308,EUR,789177600,D,4,4,False,3.0,1.0,2.0,,0.0,1.0,2.0,,1.0,1.0,,,,,9.0,6.0,6.7,2.0,1.077e-05,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
12437011,home,Brighton & Hove Albion,Lewis Dunk,lewis-dunk,L. Dunk,D,5,190,1911,M,115365,EUR,690681600,D,5,5,False,50.0,44.0,9.0,4.0,0.0,26.0,26.0,18.0,24.0,3.0,5.0,,,,90.0,57.0,6.8,6.0,0.0049504,0,,,2.0,,2.0,,,1.0,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,
12437011,home,Brighton & Hove Albion,Ferdi Kadıoğlu,ferdi-kadioglu,F. Kadıoğlu,D,24,174,21035,M,825844,EUR,939254400,D,24,24,False,26.0,23.0,2.0,,0.0,15.0,16.0,9.0,11.0,3.0,,,,,45.0,35.0,6.5,5.0,0.110274,0,,1.0,,,,,,1.0,,,,,,,ferdikadioglu,1.0,1.0,,,,,,,,,,,,,,,,,,,
12437011,home,Brighton & Hove Albion,Carlos Baleba,baleba-carlos,C. Baleba,M,17,179,25912,M,1199043,EUR,1073088000,M,20,20,False,26.0,23.0,3.0,2.0,0.0,14.0,15.0,9.0,11.0,,4.0,,,,74.0,37.0,7.0,3.0,0.00551939,0,,,,4.0,5.0,,,3.0,2.0,1.0,,3.0,,,carlos_baleba,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
12437011,home,Brighton & Hove Albion,Jack Hinshelwood,jack-hinshelwood,J. Hinshelwood,D,13,182,1561,M,1142315,EUR,1113177600,M,41,41,False,29.0,25.0,3.0,,0.0,18.0,19.0,7.0,12.0,2.0,2.0,,,,90.0,38.0,6.5,7.0,0.00552592,1,,2.0,,1.0,,,,1.0,,,1.0,,,,,,1.0,1.0,,Jack Hinshelwood,1.0,0.0544,,,,,,,,,,,,,,
12437011,home,Brighton & Hove Albion,Yankuba Minteh,minteh-yankuba,Y. Minteh,M,11,180,7051,M,1400106,EUR,1090454400,M,17,17,False,17.0,13.0,1.0,1.0,0.0,5.0,5.0,9.0,15.0,1.0,2.0,,,,87.0,37.0,7.1,11.0,0.0217028,2,,3.0,,9.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,,,,minteh01,1.0,,2.0,1.0,,1.0,0.2625,1.0,2.0,1.0,1.0,0.6153,,,,,,,,,
12437011,home,Brighton & Hove Albion,Georginio Rutter,rutter-georginio,G. Rutter,M,10,182,3505,M,946695,EUR,1019260800,M,14,14,False,11.0,9.0,,,0.0,3.0,3.0,6.0,9.0,1.0,4.0,1.0,,,73.0,28.0,6.8,9.0,0.00809729,2,,1.0,1.0,8.0,4.0,3.0,4.0,,,,2.0,2.0,,,,,,,1.0,,1.0,0.2197,1.0,2.0,1.0,1.0,0.4945,1.0,,,,,,,,
12437011,home,Brighton & Hove Albion,Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,178,20820,M,936849,EUR,864086400,M,22,22,False,27.0,19.0,1.0,1.0,1.0,5.0,6.0,16.0,26.0,,2.0,,,,90.0,51.0,7.6,17.0,0.203009,3,,5.0,2.0,6.0,7.0,,4.0,2.0,3.0,2.0,2.0,1.0,,,KaoruM,2.0,3.0,1.0,2.0,,,0.1143,,,1.0,,0.1722,1.0,2.0,2.0,,,,,,
