match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_fouls,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_totalCross,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_dispossessed,stat_outfielderBlock,stat_lastManTackle,player_lastName,stat_aerialWon,stat_blockedScoringAttempt,stat_expectedGoals,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_keyPass,stat_bigChanceCreated,stat_goodHighClaim,stat_punches,stat_bigChanceMissed,stat_hitWoodwork,stat_errorLeadToAShot,stat_accurateCross,stat_totalOffside
12117150,home,Red Bull Bragantino,Cleiton,cleiton,Cleiton,G,1,190.0,551,M,844576,EUR,871948800,G,1,1,False,True,14.0,7.0,10.0,3.0,0.0,6.0,7.0,1.0,7.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,51.0,18.0,6.0,7.0,0.00013288,0,0.2756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117150,home,Red Bull Bragantino,Nathan Mendes,nathan-mendes,N. Mendes,D,45,182.0,358,M,1116955,EUR,1029715200,D,45,45,False,,33.0,23.0,5.0,4.0,0.0,13.0,17.0,10.0,17.0,3.0,6.0,1.0,,,,,90.0,61.0,7.2,18.0,0.00397893,0,,Nathan,1.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
12117150,home,Red Bull Bragantino,Pedro Henrique,pedro-henrique,P. Henrique,D,14,188.0,417,M,551774,EUR,812592000,D,14,14,False,,34.0,26.0,8.0,4.0,0.0,14.0,18.0,12.0,16.0,6.0,1.0,1.0,,,,,90.0,45.0,7.1,9.0,0.018348,0,,,,2.0,2.0,1.0,1.0,4.0,1.0,1.0,,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
12117150,home,Red Bull Bragantino,Eduardo Santos,eduardo-santos,Eduardo,D,3,196.0,161,M,925189,EUR,880675200,D,3,3,False,,31.0,26.0,5.0,2.0,0.0,17.0,18.0,9.0,13.0,1.0,1.0,,,,,,90.0,52.0,7.8,5.0,0.00311287,0,,,,8.0,,2.0,2.0,13.0,3.0,2.0,2.0,,,1.0,,1.0,,,4.0,,,,,,,,,,,,,,,
12117150,home,Red Bull Bragantino,Luan Cândido,luan-candido,L. Cândido,D,36,187.0,716,M,905459,EUR,981072000,D,36,36,False,,27.0,25.0,2.0,1.0,0.0,9.0,9.0,16.0,18.0,4.0,2.0,,,,,,90.0,48.0,7.4,3.0,0.0188831,1,,,,5.0,2.0,,,7.0,3.0,1.0,1.0,,1.0,2.0,,,,,3.0,1.0,0.0339,,,,,,,,,,,,,
12117150,home,Red Bull Bragantino,Raul,raul,Raul,M,31,180.0,175,M,870760,EUR,837043200,M,23,23,False,,29.0,22.0,2.0,1.0,0.0,13.0,14.0,9.0,15.0,3.0,3.0,,,,,,78.0,39.0,7.2,9.0,0.0175731,1,,,,2.0,1.0,1.0,,3.0,,1.0,1.0,,,,1.0,,,,1.0,,0.0467,1.0,1.0,0.0438,,,,,,,,,,
12117150,home,Red Bull Bragantino,Lucas Evangelista,lucas-evangelista,L. Evangelista,M,30,181.0,3216,M,331397,EUR,799718400,M,8,8,False,,41.0,35.0,1.0,,0.0,10.0,11.0,25.0,32.0,4.0,5.0,,,,,,90.0,55.0,7.0,11.0,0.024766,1,,,2.0,6.0,1.0,1.0,,1.0,1.0,,,,4.0,,2.0,,,,2.0,,0.0563,,,,1.0,1.0,,,,,,,,
12117150,home,Red Bull Bragantino,Helinho,helinho,Helinho,M,11,175.0,1509,M,906837,EUR,956620800,M,11,11,False,,21.0,17.0,2.0,1.0,0.0,7.0,8.0,10.0,14.0,8.0,5.0,,,,,,57.0,41.0,7.0,11.0,0.0169537,6,,,1.0,4.0,3.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,3.0,0.1608,2.0,,0.1008,1.0,1.0,,,,,,,,
12117150,home,Red Bull Bragantino,Lincoln,lincoln,Lincoln,M,18,177.0,846,M,794928,EUR,910396800,M,10,10,False,,12.0,10.0,,,0.0,1.0,1.0,9.0,15.0,3.0,1.0,,,,,,45.0,21.0,6.9,7.0,0.0151484,0,,,4.0,2.0,,1.0,,,1.0,,,,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,
12117150,home,Red Bull Bragantino,Juninho Capixaba,juninho-capixaba,J. Capixaba,D,29,176.0,909,M,870556,EUR,868147200,M,29,29,False,,21.0,17.0,2.0,1.0,0.0,4.0,4.0,13.0,17.0,8.0,3.0,1.0,,,,,78.0,40.0,6.7,11.0,0.0118417,0,,,,3.0,1.0,2.0,1.0,2.0,,,,4.0,1.0,3.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,
