match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_wonTackle,stat_bigChanceMissed,stat_outfielderBlock,stat_aerialWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goals,stat_fouls,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_errorLeadToAShot,stat_hitWoodwork
14566583,home,Chelsea,Filip Jørgensen,filip-jorgensen,F. Jørgensen,G,12,190,13900,M,filipjorgensen1,962053,EUR,1018915200,G,12,12,False,8.0,7.0,1.0,0.0,7.0,7.0,1.0,1.0,2.0,1.0,1.0,45.0,9.0,6.5,1.0,2.216e-05,21.492,2.30379,0.0,12.13020861321,1.0,12.075,12.075,0,0.01,0.0,0.13,1.55,0.66,0.07,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566583,home,Chelsea,Malo Gusto,gusto-malo,M. Gusto,D,27,179,19294,M,malogst,996958,EUR,1053302400,D,27,27,False,65.0,61.0,1.0,0.0,14.0,14.0,51.0,,6.0,,,90.0,90.0,7.0,11.0,0.181801,31.284,11.54686,15.0,234.66555355271,29.0,102.48,15.33,2,-0.03,0.21,-0.03,2.79,5.99,1.82,0.64,0.31,1.0,47.0,7.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,0.1017,15.465138214707,1.0,1.0,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,
14566583,home,Chelsea,Wesley Fofana,wesley-fofana,W. Fofana,D,29,186,14575,M,wesley_fofana3,923894,EUR,977011200,D,29,29,False,100.0,95.0,3.0,0.0,29.0,31.0,69.0,2.0,9.0,,,90.0,113.0,8.1,5.0,0.12882,30.24,9.32402,7.0,225.43956718169,32.0,95.025,15.225,0,0.57,0.24,0.31,3.29,4.36,1.11,0.44,0.13,3.0,66.0,,,1.0,3.0,,,1.0,2.0,,1.0,,15.454246309672,1.0,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
14566583,home,Chelsea,Benoît Badiashile,benoit-badiashile,B. Badiashile,D,5,194,10530,M,badiashile,904827,EUR,985564800,D,5,5,False,116.0,111.0,4.0,0.0,40.0,41.0,75.0,,5.0,,,90.0,123.0,7.4,5.0,0.0935012,31.284,9.30523,5.0,132.08825602474,24.0,34.335,7.455,1,0.36,0.14,0.4,3.47,4.42,0.95,0.36,0.11,2.0,71.0,,,1.0,,,1.0,1.0,,,,0.1332,,,1.0,-0.52,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
14566583,home,Chelsea,Jorrel Hato,jorrel-hato,J. Hato,D,21,182,15506,M,,1153079,EUR,1141689600,D,21,21,False,54.0,50.0,1.0,0.0,11.0,12.0,42.0,1.0,3.0,,,70.0,67.0,6.9,10.0,0.240352,32.364,7.72924,8.0,127.03385320531,16.0,89.985,19.215,1,0.26,0.12,0.13,2.5,3.76,0.9,0.37,0.2,,39.0,1.0,,4.0,3.0,,,,1.0,3.0,,0.3021,36.856973307729,2.0,2.0,-0.39,,,2.0,,1.0,,1.0,1.0,2.0,1.0,1.0,0.2834,,,,,,,,,,,,,
14566583,home,Chelsea,Reece James,reece-james,R. James,D,24,180,49440,M,ReeceJ,885908,EUR,944611200,M,24,24,False,77.0,74.0,2.0,0.0,13.0,14.0,63.0,,,,,45.0,89.0,7.3,10.0,0.0772911,29.592,5.30517,3.0,104.9052425922,19.0,45.255,7.98,2,0.23,0.22,0.25,1.53,2.64,0.77,0.3,0.06,1.0,61.0,7.0,,,2.0,,1.0,,2.0,,,0.0759,,,,-0.07,,,,1.0,,1.0,,,,,,,True,1.0,,,,,,,,,,,
14566583,home,Chelsea,Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,79211,M,MoisesCaicedo55,987650,EUR,1004659200,M,25,25,False,93.0,89.0,2.0,0.0,17.0,17.0,76.0,,8.0,,,90.0,105.0,9.0,7.0,0.1862,31.932,10.48305,8.0,229.30609876894,35.0,137.025,11.55,4,0.47,0.4,-0.04,3.09,5.4,1.29,0.49,0.22,1.0,72.0,2.0,,3.0,3.0,1.0,,,3.0,1.0,,0.4146,11.75319003505,1.0,3.0,0.65,,,,,,,,,,,4.0,1.4113,,,1.0,1.0,2.0,,,,,,,,
14566583,home,Chelsea,Pedro Neto,pedro-neto,P. Neto,M,7,172,40111,M,pedroneto_30,879349,EUR,952560000,M,7,7,False,60.0,58.0,,0.0,4.0,5.0,55.0,,2.0,,,90.0,92.0,7.2,23.0,0.108007,28.656,10.69777,4.0,264.7940202295,30.0,143.01,24.465,3,-0.01,0.4,-0.03,3.0,5.48,1.55,0.59,0.08,,54.0,15.0,,3.0,7.0,,1.0,1.0,1.0,3.0,1.0,0.0727,92.297398693709,6.0,,-0.17,,,,1.0,,,,1.0,7.0,5.0,1.0,0.0101,,1.0,,,,,,,,,,,
14566583,home,Chelsea,Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,120639,M,Enzo8,974505,EUR,979689600,M,8,8,False,59.0,54.0,1.0,0.0,11.0,11.0,48.0,,,,,90.0,80.0,7.0,13.0,0.415013,27.9,11.09595,3.0,167.75317866195,25.0,27.51,20.055,1,0.42,0.23,-0.07,2.84,6.03,1.69,0.48,0.06,1.0,43.0,3.0,,11.0,6.0,1.0,,,2.0,,2.0,0.0401,46.908325914952,3.0,3.0,-0.15,,,2.0,1.0,,,,4.0,3.0,2.0,,,,1.0,,,3.0,,,,,,,,
14566583,home,Chelsea,Alejandro Garnacho,alejandro-garnacho,A. Garnacho,F,49,180,137323,M,AleGarnacho,1135873,EUR,1088640000,M,49,49,False,26.0,24.0,1.0,0.0,1.0,1.0,25.0,,1.0,,,70.0,55.0,7.5,10.0,0.162901,33.696,7.90371,12.0,170.64869548165,20.0,65.94,27.405,3,0.23,0.4,-0.01,2.54,3.7,0.98,0.44,0.24,1.0,23.0,4.0,2.0,3.0,12.0,,2.0,,6.0,4.0,2.0,0.2818,64.356326785255,3.0,1.0,-0.59,,,1.0,2.0,,,2.0,2.0,2.0,2.0,,,,1.0,1.0,,,,,,,,,,
