match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,stat_interceptionWon,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_shotOffTarget,captain,stat_punches,stat_accurateKeeperSweeper,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed
12504412,home,Venezia,Filip Stanković,filip-stankovic,F. Stanković,G,1,185,1020,M,986355,EUR,1014595200,G,35,35,False,27.0,24.0,7.0,4.0,0.0,22.0,22.0,2.0,5.0,1.0,1.0,11.0,1.0,2.0,4.0,1.0,90.0,41.0,7.4,3.0,0.00035747,0,0.4567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504412,home,Venezia,Ridgeciano Haps,ridgeciano-haps,R. Haps,D,5,175,339,M,250501,EUR,739843200,D,5,5,False,46.0,37.0,10.0,4.0,0.0,20.0,25.0,18.0,22.0,1.0,5.0,3.0,,,,,90.0,76.0,7.4,13.0,0.0228198,0,,,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
12504412,home,Venezia,Jay Idzes,jay-idzes,J. Idzes,D,21,190,19111,M,933641,EUR,959904000,D,4,4,False,46.0,41.0,8.0,5.0,0.0,35.0,39.0,6.0,8.0,1.0,1.0,3.0,,,,,90.0,57.0,6.7,6.0,0.00472175,0,,,,1.0,,7.0,8.0,1.0,,,,3.0,2.0,,,,,,jayidzes,,,,,,,,,,,,,,
12504412,home,Venezia,Fali Candé,fali-cande,F. Candé,D,5,184,402,M,892430,EUR,885600000,D,2,2,False,53.0,41.0,10.0,1.0,0.0,30.0,34.0,11.0,19.0,2.0,4.0,5.0,,,,,90.0,74.0,6.5,15.0,0.00423106,0,,,,,,2.0,6.0,1.0,1.0,,,6.0,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,
12504412,home,Venezia,Alessio Zerbin,alessio-zerbin,A. Zerbin,M,7,182,1060,M,869888,EUR,920419200,M,24,24,False,23.0,12.0,4.0,1.0,0.0,3.0,5.0,9.0,19.0,,5.0,1.0,,,,,87.0,49.0,7.5,19.0,0.0513117,1,,,,1.0,,,6.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,,2.0,2.0,1.0,1.0,0.2233,0.2701,,,,,,,,
12504412,home,Venezia,Issa Doumbia,issa-doumbia,I. Doumbia,M,8,185,313,M,1141754,EUR,1066262400,M,97,97,False,18.0,13.0,1.0,,0.0,8.0,9.0,5.0,11.0,2.0,7.0,5.0,,,,,80.0,40.0,6.7,13.0,0.00881265,1,,,,2.0,,1.0,7.0,,1.0,3.0,2.0,2.0,,1.0,1.0,2.0,4.0,,,,4.0,,,0.0399,,1.0,,,,,,,
12504412,home,Venezia,Hans Nicolussi Caviglia,hans-nicolussi-caviglia,H. N. Caviglia,M,41,184,1622,M,876259,EUR,961286400,M,14,14,False,33.0,25.0,2.0,2.0,0.0,13.0,16.0,14.0,25.0,1.0,2.0,3.0,,,,,90.0,55.0,6.6,17.0,0.0966142,0,,,,8.0,2.0,1.0,9.0,5.0,1.0,1.0,,4.0,1.0,1.0,,,3.0,2.0,,1.0,1.0,,,,,,,,,,,,
12504412,home,Venezia,Gianluca Busio,gianluca-busio,G. Busio,M,6,170,907,M,896180,EUR,1022544000,M,6,6,False,36.0,30.0,1.0,,0.0,12.0,14.0,18.0,22.0,2.0,10.0,2.0,,,,,90.0,53.0,7.5,9.0,0.127277,3,,,,,,,1.0,,1.0,2.0,2.0,,1.0,3.0,2.0,3.0,,,,,2.0,,,0.1038,,1.0,2.0,,,,,,
12504412,home,Venezia,Mikael Ellertsson,mikael-ellertsson,M. Ellertsson,M,77,182,433,M,933203,EUR,1015804800,M,77,77,False,10.0,6.0,2.0,1.0,0.0,5.0,7.0,1.0,3.0,1.0,3.0,1.0,,,,,68.0,27.0,6.6,9.0,0.00034327,1,,,,,,,2.0,,2.0,,,3.0,,1.0,1.0,1.0,,,,,2.0,,,0.0397,,1.0,,,,,,,
12504412,home,Venezia,Gaetano Oristanio,gaetano-oristanio,G. Oristanio,F,21,174,968,M,965009,EUR,1033171200,F,11,11,False,11.0,8.0,,,0.0,2.0,2.0,6.0,11.0,,3.0,3.0,,,,,80.0,32.0,6.2,17.0,0.0074442,0,,,,2.0,,2.0,11.0,1.0,3.0,6.0,3.0,,,,,,2.0,,,,5.0,,,,,,,,,,,,
