match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_wonTackle,stat_wasFouled,stat_totalOffside,stat_expectedGoalsOnTarget,stat_dispossessed,stat_shotOffTarget,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_goalAssist,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock
11391384,home,Olympique de Marseille,Pau López,pau-lopez,P. López,G,25,189,1242,M,548848,EUR,787276800,G,16,16,False,23.0,20.0,4.0,1.0,20.0,22.0,1.0,6.0,1.0,3.0,90.0,29.0,6.4,3.0,0.00012199,0,-1.0561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391384,home,Olympique de Marseille,Jonathan Clauss,jonathan-clauss,J. Clauss,M,92,178,2004,M,821728,EUR,717379200,D,7,7,False,18.0,14.0,2.0,,7.0,9.0,13.0,4.0,,,35.0,31.0,6.3,10.0,0.0177396,1,,,,8.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0256,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11391384,home,Olympique de Marseille,Bamo Meïté,bamo-meite,B. Meïté,D,5,183,525,M,1131541,EUR,992995200,D,18,18,False,71.0,64.0,3.0,2.0,34.0,39.0,32.0,8.0,,,90.0,90.0,7.1,8.0,0.0228474,0,,,,30.0,,,1.0,,,1.0,,,1.0,1.0,2.0,4.0,1.0,1.0,8.0,3.0,1.0,,,,,,,,,,,,,,,,,,
11391384,home,Olympique de Marseille,Leonardo Balerdi,leonardo-balerdi,L. Balerdi,D,5,188,7165,M,928236,EUR,917308800,D,5,5,False,76.0,73.0,6.0,5.0,40.0,41.0,35.0,4.0,,,90.0,95.0,8.0,4.0,0.0184804,1,,,,33.0,,,5.0,2.0,,1.0,1.0,0.0202,,2.0,3.0,9.0,,,5.0,4.0,6.0,leobalerdi5,1.0,1.0,3.0,1.0,1.0,0.4297,,,,,,,,,,,
11391384,home,Olympique de Marseille,Ulisses Garcia,ulisses-garcia,U. Garcia,D,23,185,742,M,558320,EUR,821318400,D,6,6,False,70.0,61.0,3.0,2.0,21.0,27.0,52.0,9.0,,,90.0,109.0,7.8,21.0,0.416511,2,,,,40.0,9.0,,5.0,,,1.0,2.0,0.0485,1.0,1.0,1.0,11.0,3.0,2.0,1.0,1.0,4.0,,2.0,,4.0,4.0,,0.6355,1.0,,,,,,,,,,
11391384,home,Olympique de Marseille,Jean Onana,jean-onana,J. Onana,M,14,189,1410,M,978301,EUR,947289600,M,17,17,False,76.0,69.0,4.0,2.0,39.0,41.0,35.0,5.0,,,86.0,92.0,7.1,11.0,0.0706793,2,,,,30.0,,,7.0,3.0,,2.0,3.0,0.0786,1.0,,1.0,7.0,,,1.0,3.0,5.0,,1.0,,3.0,1.0,,0.3065,1.0,1.0,,,,,,,,,
11391384,home,Olympique de Marseille,Geoffrey Kondogbia,geoffrey-kondogbia,G. Kondogbia,M,19,188,2269,M,96544,EUR,729734400,M,19,19,False,73.0,65.0,7.0,5.0,24.0,25.0,48.0,5.0,,,90.0,86.0,7.1,12.0,0.131151,0,,,,41.0,,,7.0,3.0,,2.0,2.0,,4.0,,,2.0,1.0,1.0,,3.0,1.0,,,,,,1.0,,2.0,,True,,,,,,,,
11391384,home,Olympique de Marseille,Jordan Veretout,jordan-veretout,J. Veretout,M,21,177,1268,M,151124,EUR,730944000,M,27,27,False,61.0,54.0,3.0,,13.0,15.0,53.0,6.0,,,90.0,81.0,7.2,16.0,0.233138,2,,,,43.0,7.0,2.0,4.0,,1.0,,,0.0765,3.0,1.0,1.0,2.0,1.0,,3.0,1.0,1.0,,1.0,,,,,0.2929,2.0,,,1.0,,,,,,,
11391384,home,Olympique de Marseille,Luís Henrique,luis-henrique,L. Henrique,M,11,181,6103,M,977679,EUR,1008288000,F,44,44,False,50.0,45.0,2.0,2.0,6.0,8.0,44.0,2.0,,,90.0,71.0,7.5,14.0,0.142163,2,,,,39.0,2.0,,3.0,,1.0,4.0,,0.2245,2.0,,,4.0,4.0,3.0,,1.0,,,,,,1.0,,,2.0,1.0,,1.0,,,,,,,
11391384,home,Olympique de Marseille,Vitinha,vitinha,Vitinha,F,9,183,2248,M,1093695,EUR,953078400,F,9,9,False,16.0,8.0,2.0,1.0,2.0,3.0,15.0,,,,90.0,38.0,7.1,14.0,0.322188,6,,,,7.0,2.0,1.0,5.0,,1.0,3.0,,1.3561,1.0,3.0,1.0,8.0,3.0,2.0,2.0,,1.0,,1.0,,1.0,4.0,1.0,0.3045,1.0,4.0,,1.0,2.0,1.0,,,,,
