match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_ownGoals,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_wasFouled,stat_expectedGoals,player_firstName,player_lastName,stat_totalCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_accurateCross,stat_bigChanceMissed,stat_dispossessed,stat_blockedScoringAttempt,stat_hitWoodwork,player_sofascoreId,stat_totalOffside,stat_goals,stat_errorLeadToAShot,stat_goalAssist,stat_clearanceOffLine,stat_penaltyWon,stat_penaltyMiss
11391368,home,RC Lens,Brice Samba,brice-samba,B. Samba,G,30,186,2098,M,164055,EUR,767232000,G,30,30,False,True,44.0,37.0,13.0,6.0,34.0,38.0,3.0,6.0,1.0,8.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,90.0,60.0,7.4,7.0,0.0052201,0,0.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391368,home,RC Lens,Jonathan Gradit,jonathan-gradit,J. Gradit,D,24,180,273,M,369650,EUR,722563200,D,24,24,False,,29.0,27.0,1.0,,18.0,18.0,9.0,11.0,2.0,3.0,,,,,,,,,,,45.0,36.0,6.5,3.0,0.0087436,0,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391368,home,RC Lens,Kevin Danso,danso-kevin,K. Danso,D,4,190,3440,M,794953,EUR,906163200,D,4,4,False,,73.0,57.0,11.0,4.0,38.0,48.0,19.0,25.0,5.0,13.0,,,1.0,,,,,,,,90.0,90.0,6.5,19.0,0.0129883,1,,2.0,2.0,2.0,1.0,,,2.0,1.0,2.0,1.0,3.0,1.0,0.0234,,,,,,,,,,,,,,,,,,,,,,
11391368,home,RC Lens,Facundo Medina,facundo-medina,F. Medina,D,32,184,4462,M,860307,EUR,927849600,D,14,14,False,,56.0,50.0,3.0,1.0,37.0,40.0,13.0,18.0,3.0,18.0,,,2.0,,,,,,,,90.0,73.0,7.3,11.0,0.217666,1,,,8.0,,1.0,4.0,3.0,2.0,,,,1.0,,0.034,,,2.0,5.0,4.0,1.0,1.0,0.0431,1.0,,,,,,,,,,,,,
11391368,home,RC Lens,Ruben Aguilar,ruben-aguilar,R. Aguilar,M,2,172,407,M,579576,EUR,735782400,M,2,2,False,,60.0,47.0,5.0,2.0,19.0,21.0,29.0,42.0,4.0,4.0,,,,,,,,,,,90.0,80.0,6.7,17.0,0.262905,1,,,9.0,,2.0,5.0,2.0,,3.0,2.0,1.0,1.0,1.0,0.0936,,,3.0,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,
11391368,home,RC Lens,Andy Diouf,andy-diouf,A. Diouf,M,17,187,3993,M,1048889,EUR,1053129600,M,18,18,False,,36.0,31.0,,,9.0,11.0,24.0,31.0,3.0,3.0,,,1.0,,,,,,,,71.0,53.0,6.9,13.0,0.197984,1,,,6.0,1.0,,1.0,1.0,2.0,1.0,,,,2.0,0.4202,,,6.0,3.0,2.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,
11391368,home,RC Lens,Nampalys Mendy,nampalys-mendy,N. Mendy,M,23,168,5158,M,123166,EUR,709257600,M,26,26,False,,57.0,52.0,3.0,2.0,25.0,26.0,27.0,32.0,2.0,10.0,,,1.0,,,,,,,,90.0,74.0,7.1,9.0,0.03028,0,,,7.0,,2.0,2.0,2.0,1.0,1.0,1.0,,2.0,4.0,,,,1.0,,,,,,,,,,,,papy.mendy,,,,,,,
11391368,home,RC Lens,Jhoanner Chávez,jhoanner-chavez,Jhoanner Chávez,M,13,182,1070,M,1002458,EUR,1019606400,M,13,13,False,,11.0,5.0,2.0,,2.0,7.0,3.0,4.0,2.0,1.0,,,,,,,,,,,24.0,23.0,6.3,11.0,0.00382195,0,,1.0,1.0,,1.0,,,4.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,
11391368,home,RC Lens,Adrien Thomasson,adrien-thomasson,A. Thomasson,M,28,177,523,M,231946,EUR,755481600,F,28,28,False,,38.0,31.0,1.0,1.0,8.0,10.0,23.0,29.0,10.0,,,,1.0,,,,,,,,70.0,53.0,7.1,13.0,0.22227,2,,3.0,4.0,,,2.0,1.0,2.0,,3.0,,,1.0,0.2185,,,1.0,2.0,1.0,,2.0,0.3421,2.0,,,2.0,,,,,,,,,,
11391368,home,RC Lens,David Pereira da Costa,david-pereira-da-costa,D. P. d. Costa,M,10,165,576,M,1023091,EUR,978652800,F,10,10,False,,37.0,27.0,1.0,1.0,8.0,10.0,20.0,33.0,4.0,4.0,,,1.0,,,,,,,,88.0,54.0,7.8,19.0,0.577591,2,,1.0,3.0,,1.0,,,,,,,,2.0,0.1854,,,6.0,1.0,1.0,1.0,2.0,0.1149,3.0,1.0,,2.0,,,,,,,,,,
