match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_interceptionWon,stat_totalTackle,stat_blockedScoringAttempt,stat_expectedGoals,captain,stat_wonContest,stat_shotOffTarget,stat_wonTackle,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_savedShotsFromInsideTheBox
12530855,home,Sivasspor,Ali Şaşal Vural,ali-sasal-vural,A. Ş. Vural,G,187,62,M,94540,EUR,647568000,G,35,35,False,33.0,8.0,32.0,7.0,0.0,2.0,2.0,6.0,31.0,12.0,1.0,2.0,90.0,40.0,6.9,26.0,0.00272046,1.0,0,0.0413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530855,home,Sivasspor,Murat Paluli,murat-paluli,M. Paluli,D,175,36,M,893014,EUR,776390400,D,7,7,False,21.0,12.0,6.0,2.0,0.0,7.0,12.0,6.0,10.0,8.0,,,90.0,42.0,6.5,18.0,0.187357,1.0,0,,7,1.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,
12530855,home,Sivasspor,Uroš Radaković,uros-radakovic,U. Radaković,D,194,313,M,151900,EUR,765072000,D,26,26,False,28.0,15.0,13.0,5.0,0.0,9.0,14.0,6.0,14.0,5.0,,,90.0,47.0,7.7,13.0,0.0207295,,0,,26,,,2.0,1.0,2.0,3.0,,,,9.0,2.0,,,,4.0,2.0,,,,,,,,,,,,,,
12530855,home,Sivasspor,Noah Sonko Sundberg,noah-sonko-sundberg,N. S. Sundberg,D,186,238,M,279541,EUR,834019200,D,27,27,False,25.0,13.0,16.0,6.0,0.0,8.0,13.0,5.0,12.0,2.0,,,90.0,42.0,6.8,13.0,0.0252942,,1,,20,,,4.0,,8.0,2.0,2.0,,,9.0,2.0,,,2.0,1.0,2.0,1.0,0.0375,,,,,,,,,,,,
12530855,home,Sivasspor,Uğur Çiftçi,ugur-ciftci,U. Çiftçi,D,180,65,M,142850,EUR,704937600,D,3,3,False,25.0,14.0,10.0,1.0,0.0,10.0,13.0,4.0,13.0,3.0,,,90.0,42.0,6.5,15.0,0.00151739,,1,,58,1.0,,,,6.0,3.0,2.0,3.0,,1.0,,1.0,,3.0,1.0,1.0,,0.035,True,2.0,1.0,,,,,,,,,
12530855,home,Sivasspor,Charis Charisis,charis-charisis,C. Charisis,M,177,130,M,317297,EUR,789868800,M,8,8,False,26.0,18.0,2.0,,0.0,14.0,18.0,4.0,9.0,6.0,,,78.0,33.0,6.6,10.0,0.00761076,,0,,8,1.0,,,1.0,3.0,5.0,1.0,1.0,,,,,2.0,1.0,1.0,2.0,,,,,,2.0,,,,,,,,
12530855,home,Sivasspor,Garry Rodrigues,garry-rodrigues,G. Rodrigues,M,173,946,M,787429,EUR,659664000,M,24,24,False,13.0,10.0,,,0.0,2.0,3.0,8.0,12.0,3.0,,,78.0,29.0,6.7,10.0,0.0143819,1.0,2,,10,2.0,,2.0,,10.0,2.0,2.0,3.0,1.0,,,,,1.0,,2.0,1.0,0.0922,,,,2.0,2.0,1.0,1.0,1.0,0.2634,,,
12530855,home,Sivasspor,Samuel Moutoussamy,moutoussamy-samuel,S. Moutoussamy,M,178,6621,M,892624,EUR,839808000,M,12,12,False,17.0,12.0,5.0,1.0,0.0,5.0,6.0,7.0,12.0,3.0,,,64.0,24.0,6.6,7.0,0.00471564,,2,,92,1.0,,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,0.1156,,,,,,,1.0,,0.2638,Samuel,Moutoussamy,
12530855,home,Sivasspor,Alex Pritchard,alex-pritchard,A. Pritchard,M,171,97,M,180009,EUR,736387200,M,10,10,False,12.0,5.0,4.0,1.0,0.0,1.0,2.0,5.0,12.0,2.0,,,45.0,18.0,6.6,9.0,0.073219,,0,,,2.0,1.0,,1.0,2.0,2.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,
12530855,home,Sivasspor,Azizbek Turgunboev,azizbek-turgunboev,A. Turgunboev,M,173,1143,M,971572,EUR,780969600,M,90,90,False,12.0,7.0,1.0,,0.0,2.0,6.0,5.0,7.0,4.0,,,45.0,23.0,6.3,9.0,0.00192164,,0,,10,1.0,,1.0,1.0,5.0,2.0,,1.0,,2.0,,,,2.0,,1.0,,,,,,,2.0,,,,,,,
