match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_wasFouled,captain,stat_aerialLost,stat_keyPass,stat_totalCross,stat_accurateCross,stat_totalContest,stat_onTargetScoringAttempt,stat_dispossessed,stat_goals,stat_totalOffside,stat_wonContest,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine,stat_bigChanceCreated,player_sofascoreId
13339704,home,Wigan Athletic,Sam Tickle,Sam Tickle,,tickle-sam,S. Tickle,G,1,188.0,179,M,1064266,EUR,1017532800,G,1,1,False,25.0,10.0,17.0,2.0,0.0,8.0,9.0,2.0,16.0,8.0,1.0,3.0,4.0,90.0,36.0,6.8,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13339704,home,Wigan Athletic,Toby Sibbick,,,toby-sibbick,T. Sibbick,D,6,183.0,434,M,868248,EUR,927417600,D,17,17,False,24.0,20.0,2.0,1.0,0.0,15.0,17.0,5.0,7.0,3.0,,,,90.0,38.0,6.6,8.0,0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
13339704,home,Wigan Athletic,James Carragher,James Carragher,,james-carragher,J. Carragher,D,23,192.0,184,M,1133352,EUR,1036972800,D,23,23,False,40.0,35.0,6.0,4.0,0.0,28.0,28.0,7.0,12.0,1.0,,,,90.0,59.0,7.4,5.0,1,3.0,8.0,1.0,6.0,1.0,4.0,4.0,3.0,,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
13339704,home,Wigan Athletic,Jason Kerr,,,jason-kerr,J. Kerr,D,15,180.0,36,M,606222,EUR,855187200,D,15,15,False,37.0,34.0,7.0,5.0,0.0,24.0,25.0,10.0,12.0,5.0,,,,90.0,49.0,6.9,3.0,1,5.0,4.0,,6.0,,1.0,2.0,1.0,,3.0,2.0,1.0,,True,2.0,2.0,,,,,,,,,,,,,,,
13339704,home,Wigan Athletic,Luke Robinson,,,luke-robinson,L. Robinson,D,19,176.0,24,M,1015710,EUR,1006214400,D,19,19,False,18.0,14.0,,,0.0,8.0,10.0,7.0,9.0,1.0,,,,75.0,30.0,6.3,7.0,0,4.0,4.0,1.0,1.0,,3.0,2.0,1.0,1.0,2.0,2.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
13339704,home,Wigan Athletic,Babajide Adeeko,Babajide Adeeko,,babajide-adeeko,B. Adeeko,M,16,175.0,81,M,1138396,EUR,1049328000,M,16,16,False,11.0,8.0,,,1.0,6.0,9.0,2.0,2.0,3.0,,,,61.0,16.0,6.9,3.0,0,,2.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
13339704,home,Wigan Athletic,Scott Smith,,,scott-smith,S. Smith,M,8,173.0,17,M,1005891,EUR,981504000,M,21,21,False,21.0,16.0,3.0,1.0,0.0,8.0,9.0,8.0,12.0,4.0,,,,90.0,38.0,7.0,9.0,1,2.0,7.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,
13339704,home,Wigan Athletic,Jonny Smith,,,jonny-smith,J. Smith,M,17,178.0,19,M,914889,EUR,870048000,M,18,18,False,12.0,9.0,1.0,,0.0,7.0,8.0,2.0,6.0,5.0,,,,70.0,28.0,6.8,12.0,1,4.0,1.0,,1.0,1.0,,1.0,,3.0,1.0,,,,,,,2.0,,,1.0,3.0,1.0,,,,,,,,,
13339704,home,Wigan Athletic,Jensen Weir,,,jensen-weir,Weir,M,6,184.0,84,M,1514742,EUR,1012435200,M,6,6,False,16.0,11.0,3.0,,0.0,9.0,9.0,3.0,10.0,3.0,,,,90.0,30.0,6.5,8.0,0,2.0,3.0,,3.0,,,3.0,2.0,,,,,,,1.0,1.0,3.0,1.0,1.0,,,,2.0,,,,,,,,
13339704,home,Wigan Athletic,Maleace Asamoah,Maleace Asamoah,,maleace-asamoah,M. Asamoah,F,37,183.0,42,M,1445530,EUR,1037318400,M,37,37,False,9.0,8.0,,,0.0,4.0,4.0,4.0,5.0,2.0,,,,61.0,24.0,6.6,3.0,1,7.0,7.0,,5.0,,,3.0,3.0,,1.0,1.0,,1.0,,4.0,,,,3.0,,1.0,,,2.0,1.0,,,,,,
