match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,confirmed,player_id,player_name,playerName,reason,rescinded
10388459,FT,4.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
10388459,,,,,90,4.0,,1,,,substitution,121443266.0,False,True,regular,,,,,,,
10388459,,,,,90,1.0,,1,,,substitution,121443253.0,False,True,regular,,,,,,,
10388459,,,,,90,0.0,,1,,,injuryTime,,,,,4.0,,,,,,
10388459,,,,,88,,,3,,,substitution,121443233.0,False,True,regular,,,,,,,
10388459,,,,,78,,,13,,,substitution,121443177.0,True,False,injury,,,,,,,
10388459,,,,,71,,,20,,,substitution,121443134.0,False,False,regular,,,,,,,
10388459,,,,,70,,,21,,,varDecision,14420.0,,True,goalAwarded,,False,142390.0,Jonas Hofmann,,,
10388459,,,,,59,,,32,,,substitution,121443097.0,False,False,regular,,,,,,,
10388459,,,,,59,,,32,,,substitution,121443096.0,False,False,regular,,,,,,,
10388459,,4.0,2.0,,46,,,45,,,goal,167062384.0,,True,regular,,,974087.0,Manu Koné,,,
10388459,,,,,46,,,45,,,substitution,121443015.0,False,True,regular,,,,,,,
10388459,,,,,46,,,45,,,substitution,121443012.0,False,False,regular,,,,,,,
10388459,HT,3.0,2.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
10388459,,,,,45,0.0,,1,,,injuryTime,,,,,1.0,,,,,,
10388459,,3.0,2.0,,40,,,6,,,goal,167062219.0,,False,regular,,,940871.0,Nico Schlotterbeck,,,
10388459,,,,,34,,,12,,,card,120546947.0,,False,yellow,,,246999.0,Raphaël Guerreiro,Raphaël Guerreiro,Foul,False
10388459,,3.0,1.0,,30,,,16,,,goal,167062130.0,,True,regular,,,791702.0,Marcus Thuram,,,
10388459,,2.0,1.0,,26,,,20,,,goal,167062095.0,,True,regular,,,577726.0,Ramy Bensebaini,,,
10388459,,,,,25,,,21,,,card,120546937.0,,False,yellow,,,16632.0,Mats Hummels,Mats Hummels,Foul,False
10388459,,1.0,1.0,,19,,,27,,,goal,167062019.0,,False,regular,,,226978.0,Julian Brandt,,,
10388459,,,,,9,,,37,,,card,120546911.0,,True,yellow,,,23996.0,Lars Stindl,Lars Stindl,Foul,False
10388459,,1.0,0.0,,4,,,42,,,goal,167061830.0,,True,regular,,,142390.0,Jonas Hofmann,,,
