match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_hitWoodwork,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,player_sofascoreId,stat_errorLeadToAGoal
12450213,away,Olympique Lyonnais,Moussa Niakhaté,,,moussa-niakhate,M. Niakhaté,D,19,190.0,8301,M,758168,EUR,826243200,D,19,19,False,,56.0,52.0,4.0,2.0,0.0,38.0,39.0,15.0,18.0,1.0,,,4.0,2.0,,,,90.0,65.0,6.7,6.0,0.190308,0,,1.0,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,niakhate,
12450213,away,Olympique Lyonnais,Abner Vinícius,,,abner-vinicius,Abner Vinícius,D,16,181.0,3931,M,973838,EUR,959385600,D,16,16,False,,55.0,52.0,6.0,5.0,0.0,30.0,31.0,22.0,28.0,3.0,6.0,2.0,3.0,2.0,,,,90.0,79.0,6.9,9.0,0.0179264,0,,4.0,,1.0,,1.0,1.0,,,4.0,1.0,,,1.0,,,,,,,,,,,,,,,
12450213,away,Olympique Lyonnais,Tanner Tessmann,,,tanner-tessmann,T. Tessmann,M,6,187.0,1230,M,1022084,EUR,1001289600,M,15,15,False,,50.0,45.0,7.0,7.0,0.0,31.0,33.0,14.0,17.0,6.0,2.0,,2.0,6.0,,,,90.0,66.0,7.6,8.0,0.0134749,2,,,4.0,,1.0,1.0,,,2.0,2.0,2.0,,1.0,,0.2219,,1.0,,,,,1.0,1.0,1.0,0.6276,,,,
12450213,away,Olympique Lyonnais,Jordan Veretout,,,jordan-veretout,J. Veretout,M,21,177.0,1268,M,151124,EUR,730944000,M,7,7,False,,33.0,29.0,2.0,2.0,0.0,19.0,22.0,10.0,12.0,3.0,1.0,1.0,1.0,5.0,1.0,,,45.0,39.0,6.5,7.0,0.00559364,1,,1.0,1.0,,,,,,,,,1.0,2.0,1.0,0.0239,,,,,,,,1.0,,0.089,,,,
12450213,away,Olympique Lyonnais,Rayan Cherki,,,cherki-rayan,R. Cherki,M,10,176.0,76914,M,979128,EUR,1061078400,M,18,18,False,,64.0,56.0,6.0,5.0,0.0,23.0,25.0,33.0,39.0,4.0,3.0,1.0,,4.0,,,,89.0,75.0,7.1,16.0,0.121178,0,,,,1.0,2.0,3.0,2.0,,1.0,,,,4.0,,,3.0,,,,,,,,,,,,rayan_cherki,
12450213,away,Olympique Lyonnais,Corentin Tolisso,,,corentin-tolisso,C. Tolisso,M,8,181.0,3233,M,343067,EUR,775872000,M,8,8,False,,21.0,20.0,1.0,1.0,0.0,12.0,13.0,8.0,8.0,1.0,4.0,,,3.0,3.0,,,28.0,28.0,6.5,2.0,0.00238157,1,,,,,,1.0,,,,1.0,,,,,0.0131,,,,,,,1.0,,,,,,,
12450213,away,Olympique Lyonnais,Alexandre Lacazette,,,alexandre-lacazette,A. Lacazette,F,91,176.0,9530,M,50070,EUR,675388800,F,10,10,False,True,32.0,26.0,1.0,,0.0,12.0,14.0,14.0,18.0,5.0,2.0,,,1.0,1.0,,,90.0,41.0,6.9,9.0,0.551761,1,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,3.0,0.091,1.0,1.0,,,,,,,,,,,lacazettealex,
12450213,away,Olympique Lyonnais,Georges Mikautadze,,,mikautadze-georges,G. Mikautadze,F,9,176.0,13076,M,1009372,EUR,972950400,F,69,69,False,,13.0,12.0,,,1.0,3.0,3.0,9.0,10.0,3.0,4.0,,1.0,2.0,2.0,,,90.0,26.0,7.0,6.0,0.0662231,2,,,,1.0,1.0,2.0,1.0,,,,,,2.0,1.0,0.1568,3.0,,,,,1.0,2.0,,,,,,georgesmkd,
12450213,away,Olympique Lyonnais,Paul Akouokou,,,paul-akouokou,P. Akouokou,M,24,190.0,438,M,839309,EUR,882576000,M,4,4,True,,14.0,10.0,1.0,1.0,0.0,6.0,7.0,4.0,7.0,2.0,1.0,,,,,,,17.0,16.0,6.1,5.0,0.00115183,0,,,,,,,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,
12450213,away,Olympique Lyonnais,Ainsley Maitland-Niles,,,ainsley-maitland-niles,A. Maitland-Niles,D,98,178.0,1575,M,352768,EUR,872812800,M,98,98,True,,25.0,22.0,,,0.0,10.0,11.0,12.0,16.0,2.0,5.0,,,2.0,1.0,,,45.0,41.0,7.4,7.0,0.130909,2,,2.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0889,1.0,,,,1.0,1.0,1.0,,,,,,,
12450213,away,Olympique Lyonnais,Thiago Almada,,,thiago-almada,T. Almada,M,11,171.0,27604,M,944660,EUR,988243200,M,23,23,True,,42.0,38.0,7.0,6.0,0.0,15.0,16.0,24.0,33.0,4.0,3.0,1.0,,6.0,,,,45.0,62.0,6.4,14.0,0.0597471,2,,7.0,1.0,,1.0,1.0,,1.0,1.0,3.0,2.0,,1.0,,0.0768,,,1.0,,,,1.0,,,,,,thiago_almada23,1.0
12450213,away,Olympique Lyonnais,Malick Fofana,Malick Fofana,,malick-fofana,M. Fofana,F,11,169.0,6170,M,1195784,EUR,1112227200,F,11,11,True,,15.0,13.0,,,0.0,3.0,3.0,11.0,15.0,1.0,3.0,,,,3.0,,,27.0,23.0,7.0,6.0,0.170238,0,,3.0,,,1.0,,,,,,,,,,,3.0,,1.0,,2.0,,,,,,,,,
12450213,away,Olympique Lyonnais,Clinton Mata,,,clinton-mata,C. Mata,D,22,180.0,1320,M,152813,EUR,721094400,D,22,22,True,,4.0,4.0,,,0.0,3.0,3.0,1.0,2.0,1.0,,,,,,,,1.0,6.0,,1.0,0.00036648,0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
12450213,away,Olympique Lyonnais,Lassine Diarra,Lassine Diarra,,lassine-diarra,L. Diarra,G,20,195.0,505,M,1481174,EUR,1036972800,G,50,50,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450213,away,Olympique Lyonnais,Warmed Omari,,,omari-warmed,W. Omari,D,17,185.0,538,M,999030,EUR,956448000,D,27,27,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450213,away,Olympique Lyonnais,Nicolás Tagliafico,,,nicolas-tagliafico,N. Tagliafico,D,3,172.0,10932,M,158243,EUR,715219200,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,tagliafico3,
12450213,away,Olympique Lyonnais,Alejandro Gomes Rodriguez,Alejandro,Gomes Rodriguez,alejandro-gomes-rodriguez,A. G. Rodriguez,F,11,176.0,1721,M,1614474,EUR,1205193600,F,32,32,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
