match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,player_gender,stat_totalCross,stat_accurateCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_onTargetScoringAttempt,stat_challengeLost,stat_totalOffside,stat_keyPass,player_sofascoreId,stat_errorLeadToAShot,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_goalAssist
10382221,home,SC Heerenveen,Simon Olsson,,,simon-olsson,S. Olsson,M,185,159,850851,EUR,874195200,F,19,19,False,36.0,26.0,3.0,1.0,15.0,18.0,11.0,18.0,2.0,4.0,,4.0,,,74.0,48.0,6.8,15.0,2,10,M,,,6.0,2.0,,,1.0,,,1.0,1.0,,1.0,2.0,,,,2.0,,,,,,1.0,,,,,
10382221,home,SC Heerenveen,Osame Sahraoui,,,osame-sahraoui,O. Sahraoui,M,170,7357,965357,EUR,992217600,F,20,20,True,26.0,20.0,,,5.0,6.0,16.0,23.0,,6.0,2.0,1.0,,,45.0,50.0,6.7,16.0,2,11,M,3.0,1.0,6.0,2.0,7.0,4.0,,,1.0,2.0,1.0,3.0,,,,1.0,1.0,,1.0,2.0,osamesahraoui,,,1.0,1.0,,,,
10382221,home,SC Heerenveen,Alex Timossi Andersson,,,alex-timossi-andersson,A. T. Andersson,D,170,90,876303,EUR,979862400,F,8,8,True,5.0,3.0,1.0,,1.0,1.0,3.0,5.0,,3.0,,1.0,,,23.0,9.0,6.8,2.0,0,21,M,1.0,1.0,,,,,,,,1.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,
10382221,home,SC Heerenveen,Rami Al Hajj,,,rami-al-hajj,R. Al Hajj,M,180,219,978289,EUR,1000684800,M,22,22,True,10.0,9.0,,,2.0,2.0,7.0,9.0,,,1.0,,,,16.0,18.0,6.1,6.0,0,22,M,1.0,,3.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
10382221,home,SC Heerenveen,Daniel Karlsbakk,Daniel Karlsbakk,,daniel-karlsbakk,D. Karlsbakk,F,186,589,1173573,EUR,1049673600,F,9,9,True,1.0,1.0,,,,,1.0,1.0,1.0,2.0,,,,,16.0,6.0,6.3,2.0,0,11,M,,,4.0,1.0,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,
10382221,home,SC Heerenveen,Syb van Ottele,,,syb-van-ottele,S. v. Ottele,D,185,91,961686,EUR,1012608000,D,6,6,True,25.0,22.0,6.0,5.0,13.0,15.0,9.0,10.0,,3.0,,3.0,,,16.0,31.0,7.9,4.0,1,6,M,,,,,,,,,,2.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,
10382221,home,SC Heerenveen,Jan Bekkema,,,jan-bekkema,J. Bekkema,G,186,29,843764,EUR,829008000,G,23,23,True,,,,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382221,home,SC Heerenveen,Bernt Klaverboer,Bernt Klaverboer,,klaverboer-bernt,B. Klaverboer,G,190,124,1195719,EUR,1127692800,G,16,16,True,,,,,,,,,,,,,,,,,,,0,22,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382221,home,SC Heerenveen,Hussein Ali,,,hussein-ali,H. Ali,D,180,1946,962056,EUR,1014940800,D,15,15,True,,,,,,,,,,,,,,,,,,,0,15,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382221,home,SC Heerenveen,Joost van Aken,,,joost-van-aken,J. v. Aken,D,194,26,339335,EUR,768787200,D,3,3,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
