match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,stat_outfielderBlock,stat_lastManTackle,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_dispossessed,stat_blockedScoringAttempt,captain,stat_shotOffTarget,stat_penaltyConceded,player_firstName,player_lastName,stat_goodHighClaim,stat_bigChanceMissed,stat_goals,stat_penaltyMiss,stat_penaltyWon,stat_totalOffside
13981481,home,Hellas Verona,Lorenzo Montipò,lorenzo-montipo,L. Montipò,G,1,191.0,564,M,253391,EUR,820454400,G,1,1,False,24.0,12.0,18.0,6.0,0.0,8.0,8.0,4.0,16.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,30.0,7.0,12.0,0.00838192,0.4784,0,0.5532,0.13,-0.03,-0.02,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981481,home,Hellas Verona,Unai Núñez,unai-nunez,U. Núñez,D,4,186.0,733,M,892521,EUR,854582400,D,5,5,False,46.0,37.0,5.0,3.0,0.0,15.0,19.0,22.0,27.0,2.0,,,,,,,90.0,70.0,6.9,14.0,0.01842,,0,,0.3,0.1,-0.19,,3.0,2.0,6.0,7.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
13981481,home,Hellas Verona,Victor Nelsson,victor-nelsson,V. Nelsson,D,15,187.0,2685,M,846148,EUR,908323200,D,15,15,False,53.0,51.0,2.0,2.0,0.0,33.0,34.0,18.0,19.0,2.0,,,,,,,90.0,67.0,7.5,3.0,0.00686187,,0,,0.01,0.09,0.94,,1.0,3.0,2.0,5.0,,,,6.0,1.0,2.0,2.0,,1.0,,Nelsson,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
13981481,home,Hellas Verona,Martin Frese,frese-martin,M. Frese,D,3,179.0,350,M,874812,EUR,883872000,D,3,3,False,56.0,45.0,7.0,2.0,0.0,26.0,28.0,19.0,28.0,3.0,,,,,,,90.0,83.0,6.8,21.0,0.038545,,1,,0.19,0.1,-0.05,,,,3.0,4.0,1.0,1.0,,5.0,,4.0,1.0,,1.0,1.0,,,,,5.0,1.0,1.0,0.0389,0.0685,0.01,,,,,,,,,,,,,
13981481,home,Hellas Verona,Roberto Gagliardini,roberto-gagliardini,R. Gagliardini,M,63,188.0,567,M,287057,EUR,765676800,M,63,63,False,49.0,45.0,6.0,3.0,0.0,17.0,19.0,28.0,30.0,6.0,,,,,,,65.0,56.0,7.0,4.0,0.018476,,0,,0.25,0.22,-0.09,,1.0,,5.0,3.0,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
13981481,home,Hellas Verona,Rafik Belghali,belghali-rafik,R. Belghali,M,7,177.0,6591,M,1103488,EUR,1023408000,M,7,7,False,24.0,19.0,1.0,,0.0,4.0,6.0,15.0,18.0,2.0,,,,,,,90.0,37.0,6.6,11.0,0.507121,,1,,0.29,0.18,-0.05,,1.0,,4.0,1.0,,2.0,1.0,,1.0,,,,1.0,3.0,,,,2.0,3.0,1.0,,0.0213,,0.0,1.0,1.0,,,,,,,,,,,
13981481,home,Hellas Verona,Suat Serdar,suat-serdar,S. Serdar,M,8,183.0,687,M,800408,EUR,860716800,M,8,8,False,41.0,29.0,6.0,5.0,0.0,10.0,11.0,19.0,30.0,5.0,,,,,,,76.0,56.0,6.5,15.0,0.0279973,,3,,0.08,0.27,-0.33,,,1.0,4.0,7.0,1.0,1.0,1.0,,,2.0,2.0,3.0,2.0,,,1.0,,,2.0,,1.0,0.0982,0.0724,-0.34,1.0,,True,2.0,1.0,,,,,,,,
13981481,home,Hellas Verona,Antoine Bernede,antoine-bernede,A. Bernede,M,24,177.0,421,M,837080,EUR,927676800,M,24,24,False,26.0,22.0,1.0,,0.0,8.0,10.0,14.0,16.0,3.0,,,,,,,76.0,40.0,6.8,9.0,0.118893,,0,,0.17,0.06,-0.03,,,,2.0,4.0,,1.0,1.0,,1.0,3.0,2.0,,2.0,2.0,,,,3.0,2.0,,,,,,,,,,,,,,,,,,
13981481,home,Hellas Verona,Domagoj Bradarić,domagoj-bradaric,D. Bradarić,M,12,178.0,1470,M,897594,EUR,944784000,M,12,12,False,38.0,32.0,,,0.0,12.0,13.0,20.0,25.0,2.0,,,,,,,85.0,55.0,7.1,15.0,0.215064,,0,,0.39,0.14,-0.04,,,1.0,2.0,3.0,,2.0,,1.0,,2.0,1.0,,,2.0,,,,2.0,7.0,2.0,,,,,,,,,,,,,,,,,
13981481,home,Hellas Verona,Giovane,giovane,Giovane,F,23,184.0,4926,M,1170773,EUR,1069632000,F,17,17,False,30.0,24.0,1.0,1.0,0.0,2.0,2.0,22.0,28.0,3.0,,,,,,,85.0,48.0,6.6,12.0,0.0317614,,5,,0.1,0.06,0.23,,5.0,,8.0,4.0,,2.0,1.0,,,2.0,2.0,1.0,,,,1.0,,3.0,,,4.0,0.2394,0.3766,-0.53,2.0,1.0,,,,,,,,,,,
