match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_fouls,player_firstName,player_lastName,stat_dispossessed,stat_onTargetScoringAttempt,stat_challengeLost,stat_blockedScoringAttempt,stat_hitWoodwork,stat_outfielderBlock,stat_bigChanceCreated,stat_goals,captain,stat_goalAssist,stat_totalOffside,stat_clearanceOffLine
10382236,home,AFC Ajax,Gerónimo Rulli,geronimo-rulli,G. Rulli,G,1,189,13348,M,gerorulli,128383,EUR,706320000,G,12,12,False,28.0,25.0,9.0,6.0,23.0,23.0,2.0,5.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,90.0,37.0,7.3,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382236,home,AFC Ajax,Devyne Rensch,devyne-rensch,D. Rensch,D,2,182,2450,M,,982778,EUR,1042848000,D,15,15,False,63.0,52.0,6.0,2.0,21.0,22.0,32.0,42.0,3.0,8.0,,5.0,,,,90.0,76.0,7.6,13.0,0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
10382236,home,AFC Ajax,Jurriën Timber,jurrien-timber,J. Timber,D,12,179,21701,M,jurrientimber,958959,EUR,992736000,D,2,2,False,72.0,69.0,4.0,1.0,33.0,35.0,36.0,37.0,,4.0,2.0,5.0,,,,90.0,83.0,6.8,3.0,2,,,2.0,1.0,,1.0,,2.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,
10382236,home,AFC Ajax,Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,8671,M,,861972,EUR,946598400,D,3,3,False,78.0,65.0,6.0,1.0,49.0,53.0,16.0,25.0,3.0,8.0,,10.0,,,,90.0,90.0,7.1,15.0,1,,,3.0,2.0,,2.0,,1.0,4.0,1.0,,1.0,,2.0,1.0,,,1.0,1.0,,,,,,,,,,
10382236,home,AFC Ajax,Owen Wijndal,owen-wijndal,O. Wijndal,D,5,174,794,M,,836673,EUR,943747200,D,5,5,False,56.0,52.0,3.0,1.0,23.0,25.0,29.0,32.0,2.0,6.0,3.0,2.0,,,,90.0,81.0,7.0,11.0,0,1.0,,,,1.0,4.0,,,3.0,,,,,1.0,1.0,,,2.0,,,,,,,,,,,
10382236,home,AFC Ajax,Steven Berghuis,steven-berghuis,S. Berghuis,F,23,182,1909,M,,100386,EUR,693100800,M,23,23,False,58.0,50.0,3.0,3.0,10.0,11.0,43.0,54.0,,2.0,,4.0,,,,67.0,72.0,7.2,12.0,3,7.0,3.0,1.0,1.0,,1.0,,1.0,4.0,,,,1.0,,,,,,1.0,3.0,1.0,1.0,,,,,,,
10382236,home,AFC Ajax,Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10882,M,EdsonAlvarez19,847151,EUR,877651200,M,4,4,False,61.0,54.0,2.0,2.0,21.0,24.0,33.0,37.0,5.0,11.0,1.0,8.0,,,,90.0,78.0,7.2,10.0,1,,,5.0,1.0,2.0,1.0,,4.0,7.0,,,,1.0,2.0,2.0,,,,,2.0,,,1.0,,,,,,
10382236,home,AFC Ajax,Davy Klaassen,davy-klaassen,D. Klaassen,M,18,179,1575,M,,97410,EUR,730252800,M,6,6,False,51.0,44.0,,,13.0,14.0,31.0,37.0,3.0,7.0,,7.0,,,,89.0,66.0,7.4,8.0,2,,,1.0,1.0,,3.0,1.0,,3.0,,,1.0,,1.0,,,,1.0,1.0,2.0,1.0,,1.0,1.0,,,,,
10382236,home,AFC Ajax,Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89569,M,Kudus,905163,EUR,965174400,F,20,20,False,36.0,33.0,1.0,,4.0,5.0,30.0,32.0,2.0,8.0,,8.0,,,,89.0,59.0,7.2,14.0,3,1.0,1.0,3.0,2.0,2.0,1.0,4.0,,12.0,6.0,2.0,1.0,2.0,,5.0,,,3.0,1.0,,,,,,1.0,,,,
10382236,home,AFC Ajax,Dušan Tadić,dusan-tadic,D. Tadić,F,10,181,12245,M,dusantadic,38560,EUR,595987200,F,10,10,False,50.0,39.0,4.0,4.0,5.0,5.0,39.0,57.0,,6.0,,5.0,,,,90.0,86.0,8.6,28.0,1,12.0,5.0,2.0,1.0,4.0,1.0,8.0,,8.0,5.0,3.0,,,,3.0,,,3.0,,,1.0,,,3.0,,True,1.0,1.0,
10382236,home,AFC Ajax,Steven Bergwijn,steven-bergwijn,S. Bergwijn,M,34,178,5149,M,StevenBergwijn,361798,EUR,876268800,F,7,7,False,38.0,32.0,,,9.0,9.0,23.0,30.0,,6.0,,5.0,,,,67.0,57.0,7.3,12.0,5,1.0,,2.0,1.0,1.0,1.0,1.0,,5.0,5.0,3.0,,,,2.0,,,1.0,2.0,,3.0,,,,,,,,
10382236,home,AFC Ajax,Kenneth Taylor,kenneth-taylor,K. Taylor,M,24,182,3631,M,,959806,EUR,1021507200,M,8,8,True,15.0,11.0,,,2.0,3.0,9.0,13.0,,2.0,,4.0,,,,23.0,18.0,6.8,5.0,0,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
10382236,home,AFC Ajax,Brian Brobbey,brobbey-brian,B. Brobbey,F,9,180,7090,M,brianbrobbeyy,910048,EUR,1012521600,F,9,9,True,9.0,8.0,,,2.0,3.0,6.0,6.0,,,,1.0,,,,23.0,9.0,6.5,1.0,0,,,,,,,,3.0,4.0,,,,,,1.0,,,,,,,,,,,,,,
10382236,home,AFC Ajax,Florian Grillitsch,florian-grillitsch,F. Grillitsch,M,27,187,755,M,,186719,EUR,807753600,M,21,21,True,6.0,6.0,,,,,6.0,6.0,,,,,,,,1.0,7.0,,,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
10382236,home,AFC Ajax,Francisco Conceição,francisco-conceicao,F. Conceição,F,7,170,19979,M,FConceicao_7,979222,EUR,1039824000,F,35,35,True,,,,,,,,,,,,,,,,1.0,1.0,,,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
10382236,home,AFC Ajax,Maarten Stekelenburg,maarten-stekelenburg,M. Stekelenburg,G,21,197,199,,,1941,EUR,401500800,G,1,1,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382236,home,AFC Ajax,Remko Pasveer,remko-pasveer,R. Pasveer,G,22,186,801,M,,2622,EUR,437097600,G,22,22,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382236,home,AFC Ajax,Youri Baas,youri-baas,Y. Baas,D,15,182,1216,M,,1000228,EUR,1047859200,D,25,25,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382236,home,AFC Ajax,Jorrel Hato,jorrel-hato,J. Hato,D,21,182,15501,M,,1153079,EUR,1141689600,D,57,57,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382236,home,AFC Ajax,Jorge Sánchez,jorge-sanchez,J. Sánchez,D,35,175,1456,M,,832868,EUR,881712000,D,19,19,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382236,home,AFC Ajax,Youri Regeer,youri-regeer,Y. Regeer,M,6,177,742,M,,996940,EUR,1061164800,M,26,26,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382236,home,AFC Ajax,Kian Fitz-Jim,kian-fitz-jim,K. Fitz-Jim,M,28,173,1158,M,,1001945,EUR,1057363200,M,28,28,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382236,home,AFC Ajax,Lorenzo Lucca,lorenzo-lucca,L. Lucca,F,20,201,5041,M,,962364,EUR,968544000,F,18,18,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382236,away,NEC Nijmegen,Jasper Cillessen,jasper-cillessen,J. Cillessen,G,22,185,1498,M,,123865,EUR,609206400,G,22,22,False,38.0,21.0,24.0,8.0,17.0,19.0,4.0,19.0,,,,12.0,1.0,2.0,4.0,90.0,49.0,7.0,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382236,away,NEC Nijmegen,Bart van Rooij,bart-van-rooij,B. v. Rooij,D,28,174,343,M,,946506,EUR,990835200,D,28,28,False,32.0,23.0,3.0,1.0,15.0,18.0,8.0,14.0,,4.0,5.0,6.0,,,,90.0,53.0,6.0,14.0,0,,,1.0,1.0,,3.0,,1.0,8.0,,,,,,1.0,,,2.0,,4.0,,,,,,,,,
10382236,away,NEC Nijmegen,Iván Márquez,ivan-marquez,I. Márquez,D,44,191,78,M,,862479,EUR,771120000,D,4,4,False,35.0,25.0,6.0,3.0,17.0,20.0,8.0,15.0,4.0,9.0,2.0,4.0,,,,90.0,48.0,7.1,10.0,0,,,4.0,4.0,,2.0,,3.0,5.0,,,,,,1.0,,,,,1.0,,,2.0,,,,,,
10382236,away,NEC Nijmegen,Philippe Sandler,philippe-sandler,P. Sandler,D,3,188,233,M,,842275,EUR,855532800,D,3,3,False,39.0,29.0,9.0,4.0,24.0,29.0,5.0,10.0,,4.0,10.0,9.0,,,,89.0,57.0,7.3,10.0,0,,,2.0,1.0,,2.0,,,2.0,,,,,1.0,2.0,,,,,,,,2.0,,,,,,
10382236,away,NEC Nijmegen,Souffian El Karouani,souffian-el-karouani,S. El Karouani,D,16,178,3591,M,,991679,EUR,971913600,D,16,16,False,26.0,17.0,5.0,1.0,10.0,12.0,7.0,16.0,1.0,4.0,4.0,9.0,,,,85.0,42.0,6.6,14.0,0,2.0,,2.0,2.0,,,1.0,3.0,8.0,1.0,1.0,,,2.0,2.0,,,2.0,,1.0,,,,,,,,,
10382236,away,NEC Nijmegen,Lasse Schöne,lasse-schone,L. Schöne,M,,178,570,M,,10077,EUR,517536000,M,20,20,False,10.0,10.0,,,8.0,8.0,2.0,2.0,,,1.0,5.0,,,,45.0,17.0,7.6,1.0,1,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,3.0,,,True,,,2.0
