match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalClearance,stat_penaltyConceded,stat_wonTackle,stat_goalAssist,stat_totalCross,stat_keyPass,stat_blockedScoringAttempt,stat_accurateCross,stat_outfielderBlock,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_penaltyMiss
10913401,home,Al Adalah,Milan Mijatović,,,milan-mijatovic,M. Mijatović,G,1,192.0,102,M,55655,EUR,554256000.0,G,1,1,False,True,31.0,17.0,22.0,9.0,11.0,15.0,6.0,16.0,8.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,90.0,44.0,6.7,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913401,home,Al Adalah,Arif Al-Haydar,Arif Al-Haydar,,arif-al-haydar,A. Al-Haydar,D,25,172.0,6,M,1084262,EUR,866764800.0,D,7,7,False,,20.0,14.0,5.0,4.0,7.0,9.0,7.0,11.0,3.0,,,,,,,,,57.0,37.0,6.6,8.0,0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
10913401,home,Al Adalah,Boris Godál,,,boris-godal,B. Godál,D,,188.0,10,M,63215,EUR,549072000.0,D,33,33,False,,38.0,31.0,6.0,2.0,25.0,27.0,6.0,11.0,3.0,,,,,,,,,90.0,54.0,6.7,7.0,0,2.0,4.0,4.0,5.0,,,,,6.0,1.0,,,3.0,5.0,1.0,,,,,,,,,,,,,,,
10913401,home,Al Adalah,Ali Al-Salem,,,ali-al-salem,A. Al-Salem,D,2,181.0,21,M,990189,EUR,903052800.0,D,49,49,False,,32.0,24.0,7.0,3.0,21.0,24.0,3.0,8.0,2.0,,,,,,,,,90.0,39.0,6.3,8.0,0,1.0,1.0,4.0,3.0,2.0,,,,2.0,1.0,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,
10913401,home,Al Adalah,Abdulaziz Al-Alawi,Abdulaziz,Al-Alawi,abdulaziz-al-alawi,A. Al-Alawi,D,12,174.0,8,M,1013847,EUR,857001600.0,D,50,50,False,,35.0,31.0,2.0,,14.0,16.0,17.0,23.0,5.0,,,,,,,,,64.0,49.0,6.9,9.0,0,,,2.0,4.0,1.0,,3.0,2.0,1.0,,,2.0,,1.0,,,1.0,4.0,1.0,,,,,,,,,,,
10913401,home,Al Adalah,Khaled Al-Hamdhi,Khaled Al-Hamdhi,,khaled-al-hamdhi,K. Al-Hamdhi,M,16,173.0,3,M,1914878,EUR,682387200.0,M,16,16,False,,49.0,46.0,3.0,2.0,30.0,32.0,16.0,17.0,8.0,,,,,,,,,89.0,59.0,6.7,5.0,1,1.0,1.0,3.0,4.0,,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,
10913401,home,Al Adalah,Reinaldo Lenis,,,reinaldo-lenis,R. Lenis,F,,180.0,49,,325679,EUR,711590400.0,M,10,10,False,,26.0,17.0,1.0,,7.0,11.0,13.0,18.0,10.0,,,,,,,,,90.0,49.0,6.8,18.0,0,2.0,,8.0,8.0,,2.0,4.0,3.0,,1.0,4.0,4.0,3.0,,,1.0,,3.0,,,3.0,1.0,,,,,,,,
10913401,home,Al Adalah,David Tijanič,,,david-tijanic,D. Tijanič,F,43,174.0,389,M,827369,EUR,869011200.0,M,43,43,False,,47.0,43.0,2.0,1.0,24.0,24.0,19.0,23.0,8.0,,,,,,,,,90.0,56.0,7.9,6.0,3,1.0,1.0,4.0,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,
10913401,home,Al Adalah,Christofer Gonzáles,,,christofer-gonzales,C. Gonzáles,M,10,176.0,434,M,345779,EUR,718848000.0,M,17,17,False,,50.0,43.0,5.0,3.0,18.0,19.0,25.0,37.0,6.0,,,,,,,,,89.0,63.0,7.4,13.0,0,2.0,,3.0,3.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,,,1.0,1.0,6.0,2.0,,,,1.0,,,,,,,
10913401,home,Al Adalah,Pedro Eugénio,,,pedro-eugenio,P. Eugénio,M,,172.0,27,,252373,EUR,646358400.0,M,90,90,False,,26.0,19.0,4.0,1.0,4.0,5.0,15.0,23.0,6.0,,,,,,,,,90.0,38.0,7.1,12.0,3,,,5.0,2.0,2.0,,4.0,1.0,1.0,1.0,,,,,,1.0,,2.0,1.0,,,,,1.0,2.0,1.0,1.0,2.0,,
