match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalOffside,stat_aerialLost,stat_duelLost,stat_outfielderBlock,stat_fouls,player_firstName,player_lastName,stat_interceptionWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_errorLeadToAShot,stat_unsuccessfulTouch,captain,stat_dispossessed,stat_shotOffTarget,stat_expectedGoals,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_blockedScoringAttempt,stat_hitWoodwork,stat_errorLeadToAGoal
13472794,home,Juventude,Gustavo,gustavo,Gustavo,G,1,186.0,199,M,124766,EUR,731721600,G,1,1,False,32.0,25.0,13.0,6.0,0.0,23.0,27.0,2.0,5.0,5.0,1.0,4.0,5.0,90.0,40.0,8.3,7.0,0.00086945,1.0,0,1.5996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472794,home,Juventude,Reginaldo,reginaldo,Reginaldo,D,93,174.0,102,M,555456,EUR,730339200,D,93,93,False,24.0,23.0,5.0,4.0,1.0,18.0,19.0,5.0,5.0,5.0,,,,90.0,41.0,7.6,6.0,0.0268497,2.0,0,,4.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
13472794,home,Juventude,Wilker Ángel,wilker-angel,W. Ángel,D,4,190.0,807,M,147358,EUR,732412800,D,4,4,False,46.0,42.0,8.0,4.0,0.0,37.0,38.0,5.0,8.0,4.0,,,,90.0,56.0,7.3,4.0,0.00137205,,0,,,,3.0,3.0,7.0,,,,,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,
13472794,home,Juventude,Marcos Paulo,marcos-paulo,M. Paulo,D,47,183.0,176,M,1170913,EUR,1042848000,D,47,47,False,47.0,37.0,10.0,2.0,0.0,31.0,35.0,6.0,12.0,2.0,,,,90.0,55.0,7.1,10.0,0.00552779,,0,,,,,1.0,,1.0,1.0,,,,2.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,
13472794,home,Juventude,Marcelo Hermes,marcelo-hermes,M. Hermes,D,22,177.0,288,M,783490,EUR,791596800,D,22,22,False,46.0,32.0,9.0,4.0,0.0,19.0,24.0,13.0,22.0,7.0,,,,90.0,74.0,6.9,22.0,0.00596372,,0,,5.0,,1.0,3.0,3.0,1.0,1.0,,,2.0,4.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,
13472794,home,Juventude,Hudson,hudson,Hudson,M,5,181.0,66,M,1148373,EUR,979430400,M,55,55,False,26.0,20.0,4.0,1.0,0.0,15.0,16.0,5.0,10.0,3.0,,,,66.0,31.0,6.5,6.0,0.00229394,,0,,,,,1.0,1.0,,,,,1.0,2.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,
13472794,home,Juventude,Jádson,jadson,Jádson,M,16,171.0,454,M,243651,EUR,746668800,M,16,16,False,35.0,31.0,2.0,2.0,0.0,21.0,22.0,10.0,13.0,9.0,,,,90.0,50.0,7.1,7.0,0.00758605,,0,,,,1.0,9.0,1.0,3.0,2.0,5.0,,,4.0,,2.0,,,2.0,2.0,,,,2.0,True,,,,,,,,,
13472794,home,Juventude,Emerson Batalla,emerson-batalla,E. Batalla,M,27,171.0,428,M,1022945,EUR,993859200,M,27,27,False,9.0,4.0,1.0,,0.0,2.0,6.0,2.0,3.0,2.0,,,,66.0,27.0,6.8,8.0,0.0380463,,1,,2.0,2.0,,5.0,,2.0,1.0,2.0,,1.0,4.0,,,,,,1.0,2.0,1.0,,1.0,,1.0,1.0,0.015,,,,,,
13472794,home,Juventude,Gabriel Taliari,gabriel-taliari,G. Taliari,F,19,176.0,441,M,933955,EUR,860889600,M,19,19,False,11.0,9.0,2.0,1.0,1.0,2.0,2.0,7.0,9.0,3.0,,,,76.0,31.0,7.0,9.0,0.0232923,1.0,1,,,,2.0,6.0,1.0,3.0,2.0,2.0,,1.0,9.0,,2.0,,,1.0,1.0,2.0,,,1.0,,3.0,,0.0088,1.0,0.0104,,,,
13472794,home,Juventude,Luis Mandaca,luis-mandaca,L. Mandaca,M,44,178.0,388,M,1116677,EUR,1001980800,M,44,44,False,19.0,13.0,1.0,,0.0,6.0,9.0,7.0,10.0,3.0,,,,89.0,44.0,7.3,11.0,0.0080896,,0,,,,2.0,12.0,2.0,3.0,1.0,3.0,,4.0,11.0,2.0,2.0,Luis Mandaca,,1.0,1.0,5.0,4.0,,1.0,,3.0,,,,,,,,
