match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_totalCross,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_lastManTackle,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_interceptionWon,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,player_firstName,stat_accurateCross,stat_savedShotsFromInsideTheBox
14083333,home,Real Madrid,Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,200,202673,M,TheOctopus,70988,EUR,705542400,G,1,1,False,30.0,26.0,10.0,6.0,0.0,22.0,22.0,4.0,8.0,1.0,1.0,1.0,6.0,2.0,1.0,90.0,38.0,7.0,4.0,0.00113147,0.0353,0,0.1821,0.08,0.01,0.14,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083333,home,Real Madrid,Daniel Carvajal,daniel-carvajal,D. Carvajal,D,2,173,154229,M,DaniCarvajal,138572,EUR,695088000,D,2,2,False,65.0,60.0,3.0,2.0,0.0,33.0,37.0,27.0,28.0,3.0,2.0,2.0,8.0,,,90.0,92.0,7.6,9.0,0.0529669,,1,,0.3,0.03,0.29,,True,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,0.1287,1.0,-0.52,,,,,,,,,,,,,,,,,,
14083333,home,Real Madrid,Raúl Asencio,raul-asencio,R. Asencio,D,17,184,117937,M,asencio,1156645,EUR,1045094400,D,17,17,False,92.0,89.0,3.0,2.0,0.0,53.0,53.0,36.0,39.0,2.0,,2.0,1.0,,,90.0,104.0,7.6,4.0,0.0158524,,1,,0.3,0.11,0.27,,,,1.0,5.0,,1.0,,1.0,,3.0,0.02,,-0.01,1.0,1.0,1.0,,,,,,,,,,,,,,,
14083333,home,Real Madrid,Éder Militão,eder-militao,É. Militão,D,3,186,138748,M,EMilitão,822519,EUR,885081600,D,3,3,False,101.0,94.0,9.0,3.0,0.0,47.0,48.0,47.0,53.0,5.0,,1.0,5.0,,,90.0,116.0,9.0,9.0,0.0311346,,2,,0.36,0.3,0.92,,,,1.0,5.0,,1.0,,,3.0,2.0,0.0581,1.0,0.53,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.081,,,,,,,,
14083333,home,Real Madrid,Álvaro Carreras,alvaro-carreras,Á. Carreras,D,18,186,79899,M,,1085081,EUR,1048377600,D,18,18,False,95.0,87.0,6.0,3.0,0.0,39.0,41.0,48.0,54.0,4.0,,3.0,7.0,,,90.0,121.0,7.7,13.0,0.252495,,0,,0.43,0.1,0.34,,,2.0,1.0,7.0,,3.0,1.0,,,4.0,,2.0,,1.0,,1.0,1.0,,,,,,,2.0,1.0,,,,,,
14083333,home,Real Madrid,Franco Mastantuono,franco-mastantuono,F. Mastantuono,M,30,177,178430,M,franco.mastantuono,1403559,EUR,1187049600,M,30,30,False,45.0,40.0,1.0,,0.0,9.0,9.0,31.0,36.0,8.0,2.0,,3.0,,,77.0,70.0,7.3,14.0,0.288418,,0,,0.31,0.25,-0.07,,,2.0,,12.0,2.0,8.0,6.0,,,3.0,,1.0,,3.0,1.0,2.0,,,,,,3.0,,,,,,,,,
14083333,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375509,M,Fede,831808,EUR,901065600,M,8,8,False,75.0,70.0,4.0,3.0,1.0,29.0,31.0,41.0,44.0,1.0,,,8.0,,,90.0,82.0,7.8,5.0,0.0645017,,0,,0.34,0.16,0.19,,,,1.0,6.0,,1.0,1.0,,,,,1.0,,4.0,2.0,1.0,,,,,,,,1.0,,,,,,,
14083333,home,Real Madrid,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,188,145918,M,ATchouaméni,859025,EUR,948931200,M,14,14,False,73.0,71.0,4.0,3.0,0.0,22.0,22.0,49.0,51.0,2.0,1.0,1.0,5.0,,,89.0,81.0,7.3,2.0,0.0411106,,0,,0.3,0.28,0.17,,,,,3.0,,,,,1.0,1.0,,,,2.0,2.0,1.0,,,,,,,,1.0,,,,,,,
14083333,home,Real Madrid,Vinícius Júnior,vinicius-junior,Vinícius Jr.,F,7,176,1170289,M,ViniJr,868812,EUR,963360000,M,7,7,False,39.0,34.0,,,1.0,2.0,5.0,32.0,34.0,8.0,,,2.0,,,77.0,58.0,7.4,14.0,0.190025,,4,,0.37,0.58,0.13,,,,,5.0,1.0,9.0,3.0,1.0,,1.0,0.2803,3.0,0.07,1.0,1.0,,1.0,2.0,1.0,,,2.0,0.2388,,,1.0,1.0,1.0,,,
14083333,home,Real Madrid,Gonzalo García,gonzalo-garcia,G. García,F,16,182,100643,M,,1402716,EUR,1080086400,F,16,16,False,23.0,21.0,,,0.0,9.0,10.0,12.0,13.0,,,,1.0,,,61.0,26.0,6.1,5.0,0.0322074,,0,,-0.49,0.07,0.13,,,,1.0,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,Gonzalo García,,
