match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_keyPass,stat_penaltyConceded,stat_totalCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_outfielderBlock,stat_wasFouled,stat_goals,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_goalAssist,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,player_sofascoreId
11401915,home,FC Utrecht,Vasilis Barkas,,,vasilis-barkas,V. Barkas,G,1,196,390,M,347726,EUR,770256000,G,1,1,False,24.0,16.0,13.0,5.0,14.0,18.0,2.0,6.0,8.0,1.0,90.0,30.0,6.5,8.0,0.00045383,0,-0.0254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401915,home,FC Utrecht,Hidde ter Avest,,,hidde-ter-avest,H. t. Avest,D,24,182,95,M,361788,EUR,864086400,D,5,5,False,25.0,11.0,4.0,,6.0,11.0,5.0,14.0,8.0,,73.0,41.0,6.7,15.0,0.00244044,0,,2.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
11401915,home,FC Utrecht,Mike van der Hoorn,,,mike-van-der-hoorn,M. v. d. Hoorn,D,3,190,158,M,152414,EUR,719107200,D,3,3,False,59.0,49.0,13.0,6.0,19.0,21.0,30.0,38.0,7.0,,90.0,68.0,6.9,10.0,0.0291211,2,,2.0,2.0,4.0,,,,2.0,1.0,2.0,2.0,1.0,True,1.0,1.0,1.0,1.0,0.176,1.0,,,,,,,,,,,,,,,,,,
11401915,home,FC Utrecht,Modibo Sagnan,,,modibo-sagnan,M. Sagnan,D,27,187,577,M,904759,EUR,924048000,D,27,27,False,58.0,50.0,6.0,1.0,24.0,30.0,26.0,28.0,6.0,,90.0,65.0,6.6,8.0,0.0260543,1,,2.0,3.0,5.0,,,,3.0,,3.0,3.0,1.0,,3.0,,,1.0,0.0112,1.0,1.0,,,,,,,,,,,,,,,,,
11401915,home,FC Utrecht,Yannick Leliendal,Yannick,Leliendal,yannick-leliendal,Y. Leliendal,D,32,168,172,M,996982,EUR,1019520000,D,36,36,False,48.0,40.0,4.0,3.0,18.0,22.0,22.0,27.0,6.0,,90.0,70.0,7.0,13.0,0.0326516,1,,4.0,6.0,7.0,2.0,1.0,,,1.0,3.0,2.0,,,2.0,,,,0.0174,,,1.0,1.0,1.0,1.0,0.032,,,,,,,,,,,,
11401915,home,FC Utrecht,Ryan Flamingo,Ryan Flamingo,,ryan-flamingo,R. Flamingo,D,6,186,1614,M,1046960,EUR,1041292800,M,34,34,False,44.0,39.0,5.0,3.0,13.0,13.0,26.0,31.0,8.0,,90.0,67.0,7.4,10.0,0.0590197,4,,,3.0,5.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,2.0,,0.3502,,,,2.0,2.0,2.0,0.3202,1.0,2.0,,,,,,,,,,
11401915,home,FC Utrecht,Oscar Fraulo,,,oscar-fraulo,O. Fraulo,M,29,180,841,M,1008245,EUR,1070668800,M,8,8,False,35.0,30.0,3.0,3.0,12.0,13.0,18.0,22.0,6.0,,90.0,50.0,8.0,8.0,0.051597,2,,,1.0,6.0,,2.0,1.0,,1.0,4.0,2.0,,,,,1.0,,0.0933,2.0,,,,1.0,2.0,0.229,1.0,1.0,1.0,,,,,,,,,
11401915,home,FC Utrecht,Marouan Azarkan,,,marouan-azarkan,M. Azarkan,M,17,165,221,M,987524,EUR,1007769600,M,11,11,False,34.0,27.0,2.0,1.0,7.0,7.0,24.0,39.0,7.0,,89.0,58.0,7.5,17.0,0.26903,0,,,6.0,4.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,2.0,,,,,3.0,,12.0,,,1.0,,,2.0,,4.0,2.0,,,,,,,
11401915,home,FC Utrecht,Jens Toornstra,,,jens-toornstra,J. Toornstra,M,18,178,203,M,99960,EUR,607651200,M,18,18,False,18.0,13.0,1.0,1.0,4.0,5.0,10.0,14.0,3.0,,61.0,27.0,7.0,7.0,0.117105,1,,3.0,4.0,6.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,0.0327,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,
11401915,home,FC Utrecht,Taylor Booth,,,taylor-booth,T. Booth,M,8,173,530,M,906024,EUR,991267200,M,10,10,False,5.0,5.0,,,4.0,4.0,2.0,3.0,2.0,,61.0,21.0,6.6,7.0,0.0590016,0,,,5.0,2.0,1.0,4.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,2.0,,,2.0,,2.0,1.0,,1.0,,1.0,,,,,,
