match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_dispossessed,captain,stat_accurateCross,stat_shotOffTarget,stat_hitWoodwork,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
11451098,home,Adana Demirspor,Ertaç Özbir,ertac-ozbir,E. Özbir,G,186,92,M,126077,EUR,625276800,G,25,25,False,31.0,23.0,11.0,3.0,22.0,24.0,1.0,7.0,3.0,4.0,3.0,17.0,2.0,4.0,1.0,3.0,1.0,90.0,54.0,7.8,9.0,0.00019987,0,0.5671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451098,home,Adana Demirspor,Jonas Svensson,jonas-svensson,J. Svensson,D,170,1475,M,98199,EUR,731376000,D,22,22,False,28.0,22.0,3.0,1.0,8.0,11.0,14.0,19.0,2.0,9.0,,4.0,1.0,,,,,90.0,48.0,7.5,8.0,0.0190255,0,,71,2.0,1.0,5.0,1.0,1.0,2.0,6.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,
11451098,home,Adana Demirspor,Andreaw Gravillon,andreaw-gravillon,A. Gravillon,D,188,179,M,827934,EUR,886896000,D,5,5,False,38.0,34.0,10.0,7.0,24.0,26.0,10.0,12.0,,4.0,6.0,3.0,1.0,,,,,90.0,51.0,7.1,5.0,0.00491787,0,,26,,,2.0,,,1.0,3.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,
11451098,home,Adana Demirspor,Semih Güler,semih-guler,S. Güler,D,184,112,M,325155,EUR,786153600,D,4,4,False,48.0,37.0,11.0,5.0,25.0,27.0,12.0,21.0,2.0,2.0,4.0,7.0,,,,,,90.0,60.0,7.3,11.0,0.0234645,1,,6,,5.0,9.0,3.0,3.0,,,,1.0,1.0,,,,1.0,0.0335,0.071,,,,,,,,,,,,,,
11451098,home,Adana Demirspor,Kévin Rodrigues,kevin-rodrigues,K. Rodrigues,D,169,248,M,234232,EUR,762825600,D,77,77,False,27.0,22.0,4.0,1.0,10.0,11.0,12.0,18.0,,3.0,1.0,1.0,2.0,,,,,63.0,42.0,6.9,8.0,0.0490307,0,,77,2.0,,1.0,,,2.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,
11451098,home,Adana Demirspor,Emre Akbaba,emre-akbaba,E. Akbaba,M,180,414,M,343527,EUR,718156800,M,8,8,False,42.0,34.0,5.0,3.0,15.0,17.0,19.0,27.0,,4.0,,4.0,,,,,,90.0,55.0,7.1,13.0,0.0825832,2,,8,2.0,,3.0,,,,3.0,1.0,1.0,,,,1.0,2.0,0.0348,0.1352,1.0,1.0,2.0,,,,,,,,,,,
11451098,home,Adana Demirspor,Benjamin Stambouli,benjamin-stambouli,B. Stambouli,M,180,161,M,105951,EUR,650505600,M,90,90,False,32.0,25.0,3.0,1.0,11.0,12.0,14.0,20.0,,2.0,,8.0,,,,,,90.0,44.0,6.7,11.0,0.0118225,0,,21,,,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,2.0,,,,1.0,,1.0,True,,,,,,,,,,
11451098,home,Adana Demirspor,Yusuf Sarı,yusuf-sari,Y. Sarı,M,168,562,M,896364,EUR,911520000,M,7,7,False,24.0,19.0,1.0,1.0,6.0,6.0,14.0,23.0,,3.0,,4.0,,,,,,70.0,39.0,7.2,13.0,0.563375,2,,7,5.0,,4.0,,,,1.0,,1.0,2.0,,,1.0,,0.0644,,4.0,2.0,1.0,,1.0,2.0,1.0,,,,,,,
11451098,home,Adana Demirspor,Younès Belhanda,younes-belhanda,Y. Belhanda,M,177,1189,M,72999,EUR,635904000,M,10,10,False,35.0,28.0,5.0,4.0,7.0,8.0,23.0,29.0,,2.0,,3.0,,,,,,77.0,48.0,7.2,12.0,0.261493,1,,10,2.0,,1.0,,,,,,,2.0,Younès,Belhanda,4.0,,0.1008,,2.0,2.0,1.0,,2.0,1.0,,,,,,,,
11451098,home,Adana Demirspor,Nani,nani,Nani,F,177,2176,M,17740,EUR,532569600,M,30,30,False,14.0,10.0,1.0,1.0,3.0,3.0,8.0,13.0,,2.0,,3.0,1.0,,,,,62.0,26.0,7.2,8.0,0.0359688,2,,17,2.0,,3.0,1.0,,,,,,,,,1.0,1.0,0.3169,0.5763,2.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,
