match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_aerialWon,stat_challengeLost,stat_wonTackle,player_firstName,player_lastName,stat_clearanceOffLine,stat_outfielderBlock,stat_keyPass,stat_fouls,stat_shotOffTarget,stat_expectedGoals,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoalsOnTarget,captain,player_sofascoreId,stat_bigChanceMissed,stat_bigChanceCreated
12514079,home,Estoril Praia,Joel Robles,joel-robles,J. Robles,G,1,195,157,M,93796,EUR,645580800,G,27,27,False,25.0,20.0,11.0,6.0,0.0,14.0,15.0,6.0,10.0,3.0,6.0,1.0,1.0,1.0,3.0,3.0,90.0,35.0,7.2,5.0,0.00167031,0,0.7362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514079,home,Estoril Praia,Wagner Pina,wagner-pina,W. Pina,M,20,180,484,M,1513625,EUR,1036281600,D,20,20,False,28.0,22.0,1.0,1.0,0.0,11.0,12.0,11.0,19.0,2.0,2.0,,,,,,90.0,61.0,6.4,22.0,0.0826734,0,,3.0,2.0,9.0,4.0,4.0,3.0,1.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
12514079,home,Estoril Praia,Felix Bacher,felix-bacher,F. Bacher,D,25,190,92,M,943525,EUR,972432000,D,25,25,False,69.0,62.0,8.0,2.0,0.0,57.0,57.0,5.0,12.0,10.0,1.0,,,,,,90.0,82.0,7.3,7.0,0.00191218,0,,,3.0,4.0,6.0,,,1.0,,1.0,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12514079,home,Estoril Praia,Kévin Boma,kevin-boma,K. Boma,D,44,193,411,M,1049465,EUR,1037750400,D,44,44,False,60.0,52.0,3.0,,0.0,46.0,51.0,6.0,9.0,1.0,2.0,,,,,,90.0,66.0,7.8,8.0,0.0147293,0,,,2.0,2.0,5.0,,,1.0,,,,4.0,,1.0,Kévin Boma,,1.0,2.0,1.0,,,,,,,,,,,,,
12514079,home,Estoril Praia,Gonçalo Costa,goncalo-costa,G. Costa,D,20,170,81,M,1087354,EUR,950832000,D,18,18,False,40.0,32.0,4.0,1.0,0.0,24.0,29.0,8.0,12.0,2.0,4.0,,,,,,65.0,66.0,6.6,14.0,0.0179017,0,,1.0,,6.0,7.0,,2.0,6.0,1.0,,,1.0,,2.0,,,,,1.0,4.0,,,,,,,,,,,,
12514079,home,Estoril Praia,Jandro Orellana,jandro-orellana,J. Orellana,M,6,178,224,M,877920,EUR,965606400,M,6,6,False,53.0,48.0,2.0,1.0,0.0,31.0,32.0,17.0,21.0,,5.0,,,,,,83.0,57.0,6.9,6.0,0.0434643,1,,,,1.0,2.0,,1.0,2.0,,,,,,1.0,,,,,,,1.0,0.0146,,,,,,,,,,
12514079,home,Estoril Praia,Vinicius Zanocelo,vinicius-zanocelo,Vinicius Zanocelo,M,25,184,577,M,973841,EUR,980812800,M,7,7,False,65.0,58.0,5.0,3.0,0.0,39.0,41.0,19.0,24.0,5.0,10.0,,,,,,90.0,77.0,7.5,8.0,0.0121126,2,,,3.0,4.0,7.0,,,3.0,1.0,,,4.0,,2.0,,,,,,1.0,2.0,0.044,,,,,,,,,,
12514079,home,Estoril Praia,Jordan Holsgrove,jordan-holsgrove,J. Holsgrove,M,10,180,223,M,920684,EUR,936921600,M,10,10,False,78.0,60.0,6.0,3.0,0.0,33.0,42.0,29.0,44.0,,2.0,,,,,,90.0,105.0,7.1,31.0,0.127221,2,,8.0,1.0,8.0,4.0,2.0,3.0,1.0,3.0,1.0,,1.0,1.0,1.0,,,,1.0,2.0,2.0,,0.1007,2.0,1.0,1.0,1.0,1.0,0.3013,,,,
12514079,home,Estoril Praia,João Carvalho,joao-carvalho,J. Carvalho,F,12,170,372,M,548044,EUR,857865600,F,12,12,False,25.0,23.0,1.0,1.0,0.0,5.0,6.0,19.0,23.0,,2.0,,,,,,90.0,47.0,7.0,13.0,0.172181,2,,4.0,3.0,6.0,5.0,,5.0,2.0,4.0,1.0,,,,1.0,,,,1.0,,,,0.0819,1.0,2.0,,2.0,1.0,,True,,,
12514079,home,Estoril Praia,Alejandro Marqués,alejandro-marques,A. Marqués,F,9,189,759,M,929894,EUR,965347200,F,9,9,False,11.0,8.0,,,0.0,4.0,4.0,4.0,7.0,,,,,,,,90.0,20.0,6.6,10.0,0.00575524,0,,,1.0,8.0,5.0,2.0,1.0,,3.0,2.0,1.0,3.0,1.0,,,,,,,3.0,,,,,,,,,,,,
12514079,home,Estoril Praia,Fabrício Garcia,fabricio-garcia,F. Garcia,F,98,172,81,M,1190120,EUR,988934400,F,17,17,False,16.0,12.0,,,0.0,6.0,7.0,7.0,10.0,,1.0,,,,,,66.0,30.0,6.9,9.0,0.217207,2,,1.0,1.0,7.0,5.0,1.0,3.0,1.0,1.0,3.0,,1.0,,1.0,,,,,,2.0,,0.0898,1.0,,1.0,1.0,,0.0285,,,,
12514079,home,Estoril Praia,Pedro Carvalho,carvalho-pedro,P. Carvalho,D,22,169,64,M,1511977,EUR,1045180800,D,22,22,True,9.0,7.0,,,0.0,2.0,2.0,5.0,9.0,,,,,,,,25.0,22.0,6.6,6.0,0.00808006,0,,2.0,1.0,2.0,2.0,,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
12514079,home,Estoril Praia,Hélder Costa,helder-costa,H. Costa,F,18,178,554,,138891,EUR,758332800,F,11,11,True,6.0,4.0,,,0.0,1.0,1.0,3.0,6.0,,,,,,,,24.0,13.0,6.8,6.0,0.0137461,0,,1.0,1.0,2.0,2.0,,1.0,,2.0,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,
12514079,home,Estoril Praia,Yanis Begraoui,yanis-begraoui,Y. Begraoui,F,14,175,1812,M,930246,EUR,994204800,F,14,14,True,1.0,,,,0.0,,1.0,,,,1.0,,,,,,11.0,1.0,6.5,1.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514079,home,Estoril Praia,Kevin Chamorro,kevin-chamorro,K. Chamorro,G,22,183,263,M,905406,EUR,955152000,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514079,home,Estoril Praia,Ismael Sierra Arnal,ismael-sierra-arnal,I. S. Arnal,D,29,192,26,M,1137243,EUR,1047859200,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514079,home,Estoril Praia,Manga Foe Ondoa,foe-ondoa-manga,M. F. Ondoa,M,8,183,70,M,1596636,EUR,1134345600,M,26,26,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Manga Foe Ondoa,,,,,,,,,,,,,,,,,
12514079,home,Estoril Praia,Michel Costa,michel-costa,Michel,M,10,165,40,M,1015938,EUR,1008806400,M,8,8,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
