match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_blockedScoringAttempt,stat_ownGoals,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_interceptionWon,stat_errorLeadToAGoal,stat_penaltyConceded,stat_keyPass,captain,stat_errorLeadToAShot,player_sofascoreId,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_clearanceOffLine,stat_bigChanceCreated,stat_hitWoodwork,stat_penaltyWon
10389784,home,Toulouse,Maxime Dupé,maxime-dupe,M. Dupé,G,31,186,170,M,96542,EUR,731203200,G,30,30,False,23.0,17.0,9.0,4.0,14.0,18.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,90.0,29.0,6.4,6.0,0.0,0.0,0.00028935,0,-0.9556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389784,home,Toulouse,Warren Kamanzi,warren-kamanzi,W. Kamanzi,M,12,177,196,M,1048366,EUR,973900800,D,26,26,False,36.0,34.0,1.0,1.0,10.0,11.0,24.0,25.0,3.0,,,,,,90.0,63.0,6.3,8.0,0.1665,0.3723,0.0596563,1,,,,9.0,7.0,3.0,2.0,4.0,2.0,1.0,1.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
10389784,home,Toulouse,Anthony Rouault,anthony-rouault,A. Rouault,D,24,186,600,M,991479,EUR,991094400,D,4,4,False,52.0,41.0,12.0,6.0,24.0,28.0,17.0,24.0,11.0,,,,,,90.0,68.0,6.9,12.0,0.1657,0.2678,0.0152069,2,,,,3.0,4.0,,1.0,,,1.0,5.0,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10389784,home,Toulouse,Logan Costa,logan-costa,L. Costa,D,2,188,677,M,911853,EUR,986083200,D,14,14,False,42.0,36.0,6.0,5.0,27.0,33.0,9.0,9.0,2.0,,,,,,90.0,52.0,6.3,8.0,0.0616,0.0,0.0144949,1,,,,2.0,3.0,1.0,,,,,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
10389784,home,Toulouse,Gabriel Suazo,gabriel-suazo,G. Suazo,M,12,178,3981,M,818986,EUR,871084800,D,15,15,False,43.0,31.0,2.0,1.0,16.0,22.0,16.0,22.0,4.0,,,,,,90.0,60.0,4.9,15.0,0.0,0.0,0.0516054,0,,,,8.0,4.0,5.0,,,,,1.0,1.0,1.0,3.0,1.0,1.0,,,2.0,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
10389784,home,Toulouse,Stijn Spierings,spierings-stijn,S. Spierings,M,6,189,224,M,788977,EUR,826588800,M,17,17,False,63.0,54.0,6.0,4.0,31.0,35.0,23.0,29.0,12.0,,,,,,90.0,80.0,6.6,14.0,0.0551,0.3484,0.124873,1,,,,9.0,4.0,2.0,,4.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,,,,2.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,
10389784,home,Toulouse,Branco van den Boomen,branco-van-den-boomen,B. van den Boomen,M,8,190,1185,M,190883,EUR,806284800,M,8,8,False,48.0,41.0,7.0,5.0,17.0,19.0,27.0,44.0,5.0,,,,,,90.0,78.0,7.6,21.0,0.0616,0.0,0.203599,1,,,,4.0,8.0,4.0,,2.0,2.0,1.0,1.0,5.0,3.0,1.0,,,,,1.0,,,,15.0,3.0,,,,2.0,True,1.0,,,,,,,,
10389784,home,Toulouse,Zakaria Aboukhlal,zakaria-aboukhlal,Z. Aboukhlal,F,7,179,8018,M,856737,EUR,950832000,M,6,6,False,14.0,14.0,,,3.0,3.0,11.0,11.0,3.0,,,,,,68.0,29.0,6.8,8.0,0.4645,0.6103,0.00984437,1,,,,4.0,1.0,1.0,,1.0,,1.0,1.0,,,2.0,1.0,,,,1.0,,,7.0,,,,,,,,,zakariaaboukhlal,1.0,,,,,,
10389784,home,Toulouse,Denis Genreau,denis-genreau,D. Genreau,M,10,170,131,M,862773,EUR,927244800,M,5,5,False,25.0,23.0,2.0,1.0,11.0,11.0,13.0,18.0,3.0,,,,,,76.0,50.0,7.1,9.0,0.0526,0.0,0.193042,2,,,,4.0,6.0,,,2.0,1.0,,2.0,4.0,,1.0,2.0,1.0,,,,2.0,,3.0,4.0,1.0,2.0,,,,,,,,1.0,,,,,
10389784,home,Toulouse,Farès Chaïbi,fares-chaibi,F. Chaïbi,M,8,183,17753,M,1192318,EUR,1038441600,M,28,28,False,45.0,35.0,4.0,1.0,17.0,21.0,18.0,25.0,10.0,,,,,,82.0,62.0,7.1,13.0,0.0,0.0,0.397233,0,,,,3.0,5.0,1.0,1.0,1.0,,,3.0,5.0,4.0,,,,,1.0,,,,,1.0,,3.0,,,1.0,,,fareschaibi28,,1.0,,,,,
