match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_fouls,stat_outfielderBlock,stat_dispossessed,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,stat_blockedScoringAttempt,captain,stat_wonContest,stat_totalOffside,stat_errorLeadToAGoal,stat_clearanceOffLine,stat_goodHighClaim,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed
12451032,home,RC Lens,Hervé Koffi,herve-koffi,H. Koffi,G,12,187.0,15844,M,HKoffi,867299,EUR,845424000,G,16,16,False,28.0,22.0,10.0,4.0,0.0,21.0,22.0,1.0,6.0,2.0,5.0,2.0,2.0,1.0,1.0,90.0,37.0,6.6,7.0,0.00040303,0,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451032,home,RC Lens,Ruben Aguilar,ruben-aguilar,R. Aguilar,M,2,172.0,407,M,,579576,EUR,735782400,D,2,2,False,67.0,59.0,5.0,2.0,0.0,32.0,35.0,28.0,34.0,1.0,5.0,,,,,86.0,92.0,6.8,12.0,0.0419483,0,,,,2.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
12451032,home,RC Lens,Jonathan Gradit,jonathan-gradit,J. Gradit,D,24,180.0,273,M,,369650,EUR,722563200,D,24,24,False,79.0,73.0,12.0,9.0,0.0,49.0,51.0,24.0,28.0,6.0,3.0,,,,,90.0,89.0,6.8,6.0,0.0461204,0,,,,,,3.0,4.0,4.0,,,1.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,
12451032,home,RC Lens,Malang Sarr,malang-sarr,M. Sarr,D,20,182.0,2159,M,,826203,EUR,917049600,D,20,20,False,80.0,76.0,5.0,4.0,0.0,46.0,49.0,30.0,31.0,4.0,3.0,,,,,90.0,88.0,6.9,4.0,0.0118924,0,,,,,,1.0,1.0,2.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,
12451032,home,RC Lens,Deiver Machado,deiver-machado,D. Machado,M,27,179.0,1117,M,,822110,EUR,746928000,D,3,3,False,41.0,37.0,3.0,1.0,0.0,19.0,20.0,18.0,22.0,1.0,1.0,,,,,72.0,59.0,6.0,8.0,0.00853847,0,,,,1.0,,,6.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12451032,home,RC Lens,Neil El Aynaoui,neil-el-aynaoui,N. El Aynaoui,M,8,186.0,16055,M,,1128530,EUR,994032000,M,23,23,False,53.0,51.0,5.0,4.0,0.0,23.0,23.0,30.0,36.0,1.0,4.0,,,,,90.0,67.0,6.8,8.0,0.0594758,1,,Neil,El Aynaoui,6.0,2.0,,2.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,1.0,0.0361,1.0,,,,,,,,,,,,
12451032,home,RC Lens,Andy Diouf,andy-diouf,A. Diouf,M,17,187.0,3993,M,,1048889,EUR,1053129600,M,18,18,False,28.0,25.0,2.0,2.0,0.0,10.0,10.0,15.0,18.0,1.0,6.0,,,,,75.0,38.0,7.0,5.0,0.10138,1,,,,,,,2.0,3.0,,1.0,,2.0,2.0,,1.0,,,,1.0,,0.0746,1.0,1.0,,,,,,,,,,,
12451032,home,RC Lens,Florian Sotoca,florian-sotoca,F. Sotoca,F,7,187.0,757,M,,788921,EUR,656812800,M,7,7,False,41.0,34.0,6.0,4.0,0.0,14.0,15.0,20.0,32.0,3.0,5.0,,,,,86.0,59.0,6.7,15.0,0.0223213,1,,,,6.0,,2.0,6.0,4.0,1.0,1.0,,,,,3.0,1.0,3.0,,1.0,,0.1035,,1.0,True,,,,,,,,,,
12451032,home,RC Lens,Adrien Thomasson,adrien-thomasson,A. Thomasson,M,28,177.0,523,M,,231946,EUR,755481600,M,28,28,False,54.0,37.0,4.0,2.0,0.0,11.0,16.0,26.0,39.0,,3.0,,,,,90.0,69.0,6.9,22.0,0.451967,2,,,,1.0,,,6.0,3.0,,2.0,,,,3.0,2.0,5.0,,,,1.0,0.0558,2.0,1.0,,1.0,,,,,,,,,
12451032,home,RC Lens,Angelo Fulgini,angelo-fulgini,A. Fulgini,M,11,183.0,483,M,,787540,EUR,840499200,M,11,11,False,37.0,25.0,4.0,1.0,0.0,15.0,18.0,11.0,22.0,1.0,4.0,,,,,65.0,59.0,6.6,20.0,0.295798,0,,,,3.0,1.0,,8.0,6.0,1.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
