match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalTackle,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_totalClearance,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_challengeLost,stat_errorLeadToAGoal,stat_accurateCross,stat_keyPass,player_sofascoreId,stat_totalOffside,stat_shotOffTarget,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_outfielderBlock,stat_bigChanceMissed,stat_goalAssist,stat_goals,stat_hitWoodwork
11352640,home,Fulham,Bernd Leno,bernd-leno,B. Leno,G,1,190,2695,M,103335,EUR,699667200,G,17,17,False,50.0,50.0,6.0,6.0,48.0,48.0,2.0,2.0,14.0,1.0,1.0,2.0,90.0,64.0,7.0,0.0,0.0,0.00191611,0,-1.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352640,home,Fulham,Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2321,M,329417,EUR,818121600,D,21,21,False,68.0,56.0,9.0,3.0,27.0,27.0,29.0,47.0,5.0,,,,90.0,96.0,6.5,0.0933,0.0,0.044026,2,,6.0,2.0,1.0,6.0,6.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,21.0,,,,,,,,,,,,,,,,,,,,,
11352640,home,Fulham,Issa Diop,issa-diop,I. Diop,D,31,194,838,M,825719,EUR,852768000,D,31,31,False,93.0,85.0,8.0,4.0,63.0,65.0,22.0,28.0,4.0,,,,90.0,103.0,6.7,0.0,0.0,0.00544917,0,,,1.0,2.0,3.0,5.0,1.0,,,,2.0,1.0,1.0,11.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11352640,home,Fulham,Tim Ream,tim-ream,T. Ream,D,3,185,548,M,118179,EUR,560390400,D,13,13,False,79.0,71.0,8.0,6.0,56.0,59.0,15.0,20.0,4.0,,,,90.0,85.0,6.1,0.0,0.0,0.00951212,0,,,1.0,3.0,3.0,4.0,,,,,1.0,,,8.0,3.0,1.0,1.0,,True,2.0,1.0,,,,,,,,,,,,,,
11352640,home,Fulham,Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2862,M,803174,EUR,870998400,D,33,33,False,46.0,34.0,4.0,,19.0,27.0,16.0,23.0,6.0,,,,90.0,77.0,7.1,0.0,0.0,0.0670633,0,,4.0,,,4.0,7.0,1.0,1.0,1.0,,4.0,2.0,3.0,20.0,,6.0,3.0,3.0,,,,1.0,1.0,,,,,,,,,,,,
11352640,home,Fulham,Harrison Reed,harrison-reed,H. Reed,M,6,176,353,M,365802,EUR,791164800,M,6,6,False,25.0,22.0,2.0,1.0,11.0,11.0,12.0,15.0,2.0,,,,65.0,34.0,6.2,0.0,0.0,0.105821,0,,1.0,1.0,,8.0,,3.0,,,,,,2.0,6.0,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,
11352640,home,Fulham,João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16491,M,364612,EUR,805248000,M,26,26,False,51.0,46.0,7.0,7.0,25.0,26.0,21.0,25.0,9.0,,,,90.0,68.0,6.8,0.0,0.0,0.0120238,0,,,1.0,,7.0,5.0,3.0,,,,3.0,2.0,1.0,10.0,,2.0,1.0,2.0,,2.0,,,,Palhinha,1.0,,,,,,,,,,
11352640,home,Fulham,Andreas Pereira,andreas-pereira,A. Pereira,M,8,177,14092,M,285949,EUR,820454400,M,18,18,False,18.0,16.0,4.0,3.0,8.0,8.0,10.0,15.0,2.0,,,,75.0,30.0,6.7,0.0,0.0,0.0714558,0,,5.0,,1.0,2.0,3.0,,,,,,3.0,2.0,6.0,,1.0,,1.0,,,,2.0,2.0,andreaspereira,,,,,,,,,,,
11352640,home,Fulham,Harry Wilson,harry-wilson,H. Wilson,M,8,173,4932,M,355528,EUR,858988800,F,8,8,False,24.0,20.0,2.0,1.0,6.0,7.0,14.0,20.0,2.0,,,,54.0,38.0,6.6,0.0,0.0,0.0145256,0,,3.0,1.0,,4.0,1.0,2.0,,,,,1.0,1.0,13.0,,1.0,,2.0,,,,,,,,,,,,,,,,,
11352640,home,Fulham,Raúl Jiménez,raul-jimenez,R. Jiménez,F,7,189,17432,M,192442,EUR,673401600,F,7,7,False,9.0,7.0,,,2.0,2.0,5.0,7.0,,,,,53.0,14.0,6.7,0.0284,0.0,0.00756719,1,,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,4.0,,,,1.0,,,,,,RJimenez9,1.0,1.0,,,,,,,,,
