match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_dispossessed,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_challengeLost,stat_keyPass,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_goalAssist,stat_hitWoodwork,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_lastManTackle
11368652,home,Villarreal,Filip Jørgensen,filip-jorgensen,F. Jørgensen,G,12,190,13907,M,filipjorgensen1,962053,EUR,1018915200,G,13,13,False,42.0,36.0,10.0,4.0,33.0,35.0,3.0,7.0,1.0,1.0,1.0,11.0,1.0,2.0,4.0,1.0,90.0,57.0,7.6,7.0,0.00130919,0,0.4217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368652,home,Villarreal,Kiko Femenía,kiko-femenia,K. Femenía,D,17,176,444,M,,53739,EUR,665452800,D,17,17,False,52.0,43.0,7.0,3.0,29.0,32.0,14.0,20.0,2.0,,1.0,7.0,,,,,90.0,63.0,7.1,9.0,0.00482748,0,,,,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
11368652,home,Villarreal,Raúl Albiol,raul-albiol,R. Albiol,D,39,190,1235,M,,3041,EUR,494640000,D,3,3,False,42.0,35.0,8.0,4.0,27.0,30.0,8.0,12.0,2.0,,4.0,2.0,,,,,90.0,53.0,7.3,8.0,0.014895,0,,,,4.0,,3.0,1.0,1.0,True,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11368652,home,Villarreal,Yerson Mosquera,yerson-mosquera,Y. Mosquera,D,15,188,3155,M,,1014835,EUR,988761600,D,2,2,False,72.0,59.0,12.0,2.0,43.0,50.0,16.0,22.0,,,5.0,8.0,,,,,90.0,89.0,8.1,13.0,0.00796201,1,,,,10.0,1.0,6.0,3.0,,,,2.0,,,1.0,1.0,2.0,0.0731,0.3838,,,,,,,,,,,,,,,
11368652,home,Villarreal,Alberto Moreno,alberto-moreno,A. Moreno,D,18,171,850,M,,229740,EUR,710294400,D,18,18,False,33.0,29.0,4.0,3.0,20.0,21.0,9.0,14.0,3.0,,1.0,4.0,,,,,72.0,44.0,7.0,8.0,0.0166238,1,,,,,,,,1.0,,1.0,,,1.0,1.0,,,0.0254,0.2538,2.0,1.0,1.0,,,,,,,,,,,,
11368652,home,Villarreal,Ilias Akhomach,ilias-akhomach,I. Akhomach,M,12,175,15826,M,iliasakhomach,1089108,EUR,1082073600,M,27,27,False,12.0,10.0,,,3.0,3.0,9.0,11.0,8.0,2.0,2.0,5.0,,,,,72.0,39.0,7.1,11.0,0.339604,2,,,,7.0,1.0,1.0,,1.0,,,,,2.0,,,1.0,0.1383,,2.0,1.0,2.0,2.0,9.0,5.0,1.0,1.0,1.0,1.0,,,,,
11368652,home,Villarreal,Santi Comesaña,santi-comesana,S. Comesaña,M,14,187,1066,M,,843678,EUR,844473600,M,4,4,False,29.0,27.0,1.0,1.0,14.0,15.0,13.0,14.0,4.0,2.0,1.0,1.0,,,,,90.0,41.0,6.6,7.0,0.0123715,0,,,,3.0,1.0,2.0,,1.0,,,,,1.0,,,,,,,,1.0,,2.0,1.0,,,,,,,,,
11368652,home,Villarreal,Dani Parejo,dani-parejo,D. Parejo,M,10,180,1999,M,,39182,EUR,608688000,M,10,10,False,38.0,35.0,5.0,5.0,15.0,17.0,20.0,21.0,3.0,1.0,,6.0,,,,,84.0,45.0,7.0,4.0,0.0279216,0,,,,3.0,,1.0,,1.0,,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,
11368652,home,Villarreal,Alejandro Baena,alejandro-baena,A. Baena,M,10,174,9564,M,alexbaena,910031,EUR,995587200,M,16,16,False,32.0,28.0,1.0,1.0,11.0,12.0,18.0,25.0,3.0,1.0,,1.0,,,,,90.0,51.0,9.6,9.0,0.304649,2,,,,7.0,,2.0,2.0,2.0,,,,,,,,,0.0399,,5.0,,4.0,1.0,5.0,5.0,2.0,1.0,1.0,,3.0,1.0,,,
11368652,home,Villarreal,Gonçalo Guedes,goncalo-guedes,G. Guedes,F,11,179,3550,M,,280979,EUR,849225600,F,9,9,False,22.0,16.0,,,1.0,3.0,15.0,20.0,2.0,2.0,,4.0,,,,,84.0,37.0,6.8,12.0,0.0307671,2,,,,3.0,1.0,1.0,,1.0,,,,,1.0,,,2.0,0.269,,1.0,,3.0,,,,,1.0,1.0,,,,1.0,,
