match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_errorLeadToAShot,stat_outfielderBlock,stat_penaltyConceded,stat_blockedScoringAttempt,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_totalOffside,player_sofascoreId,stat_penaltyWon
14109759,home,Gençlerbirliği,Ricardo Velho,ricardo-velho,R. Velho,G,24,188,502,M,845792,EUR,903571200,G,24,24,False,31.0,17.0,21.0,7.0,0.0,12.0,13.0,5.0,18.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,90.0,40.0,6.7,15.0,0.00150507,24.977885361064,5.0,9.87,4.935,0.4359,0,0.2864,0.06,-0.04,-0.34,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109759,home,Gençlerbirliği,Pedro Pereira,pedro-pereira,P. Pereira,M,13,185,286,M,807291,EUR,885427200,D,13,13,False,29.0,21.0,6.0,3.0,0.0,13.0,17.0,8.0,12.0,1.0,6.0,,,,,,90.0,55.0,6.1,17.0,0.216169,67.282654226266,8.0,38.115,13.965,,0,,0.15,0.06,-0.52,,,,1.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14109759,home,Gençlerbirliği,Dimitris Goutas,dimitris-goutas,D. Goutas,D,6,189,261,M,257497,EUR,765417600,D,6,6,False,32.0,28.0,2.0,1.0,0.0,25.0,28.0,3.0,4.0,3.0,3.0,,,,,,90.0,43.0,7.5,6.0,0.00112608,73.281065287814,11.0,38.535,13.44,,2,,-0.04,0.05,-0.44,,,,,1.0,8.0,,,,,,1.0,1.0,2.0,,True,1.0,5.0,1.0,1.0,1.0,1.0,0.1171,0.6395,0.51,,,,,,,,,,,,,
14109759,home,Gençlerbirliği,Žan Žužek,zan-zuzek,Ž. Žužek,D,4,186,103,M,355582,EUR,854236800,D,4,4,False,32.0,26.0,8.0,5.0,0.0,21.0,23.0,5.0,9.0,4.0,1.0,,,,,,90.0,38.0,5.9,6.0,0.00156654,90.254090087944,12.0,26.25,14.7,,0,,-0.05,0.01,-0.67,,,,,2.0,1.0,1.0,,,,2.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
14109759,home,Gençlerbirliği,Thalisson Kelven,thalisson-kelven,T. Kelven,D,2,184,112,M,863277,EUR,894499200,D,2,2,False,12.0,7.0,3.0,2.0,0.0,7.0,11.0,,1.0,3.0,5.0,,,,,,90.0,34.0,5.8,11.0,0.00028878,16.511114780811,4.0,0.52500000000001,3.36,,1,,-0.05,0.03,-0.69,,,,,2.0,6.0,1.0,,,,,3.0,1.0,1.0,1.0,,,2.0,1.0,,,3.0,0.0304,,-0.18,,1.0,1.0,,,,,,,,,,
14109759,home,Gençlerbirliği,Tom Dele-Bashiru,tom-dele-bashiru,T. Dele-Bashiru,M,15,185,385,M,904845,EUR,937526400,M,15,15,False,21.0,15.0,4.0,2.0,0.0,9.0,11.0,6.0,10.0,1.0,3.0,,,,,,90.0,26.0,6.4,6.0,0.00563308,65.42436856929,5.0,21.84,16.695,,1,,0.09,0.09,-0.15,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,0.0122,,-0.05,,,,1.0,1.0,,,,,,,,
14109759,home,Gençlerbirliği,Göktan Gürpüz,goktan-gurpuz,G. Gürpüz,M,11,178,348,M,997007,EUR,1043193600,M,11,11,False,14.0,9.0,3.0,1.0,2.0,,1.0,9.0,13.0,,4.0,,,,,,84.0,44.0,8.0,15.0,0.638684,42.068203057817,6.0,30.135,10.71,,3,,0.75,0.09,-0.18,,,,8.0,5.0,7.0,1.0,1.0,5.0,2.0,2.0,3.0,1.0,2.0,,,,,2.0,1.0,,3.0,0.7292,0.7657,-0.65,,,,,7.0,4.0,1.0,1.0,,,,,
14109759,home,Gençlerbirliği,Oğulcan Ülgün,ogulcan-ulgun,O. Ülgün,M,35,178,135,M,1063942,EUR,894844800,M,35,35,False,23.0,19.0,2.0,,1.0,7.0,7.0,12.0,16.0,,1.0,,,,,,90.0,31.0,8.7,6.0,0.479974,66.984309666827,8.0,39.795,16.59,,2,,0.73,0.26,-0.23,,Ogulcan Ülgün,,1.0,3.0,3.0,2.0,1.0,,,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,0.1792,0.5091,0.51,,,,1.0,1.0,,1.0,,14.66469259821,1.0,,,
14109759,home,Gençlerbirliği,Franco Tongya,franco-tongya,F. Tongya,M,70,175,467,M,965015,EUR,1015977600,M,70,70,False,30.0,23.0,3.0,,0.0,11.0,13.0,12.0,17.0,,1.0,,,,,,90.0,43.0,7.3,10.0,0.122261,76.42933615562,8.0,43.05,19.32,,3,,0.35,0.08,-0.18,,,,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,1.0,2.0,1.0,1.0,0.7242,0.703,0.43,,,,,2.0,,,,20.225495197893,1.0,1.0,,
14109759,home,Gençlerbirliği,Metehan Mimaroğlu,metehan-mimaroglu,M. Mimaroğlu,M,10,178,135,M,900809,EUR,773539200,M,10,10,False,20.0,13.0,1.0,,1.0,4.0,7.0,9.0,13.0,1.0,4.0,,,,,,89.0,47.0,6.9,19.0,0.20551,268.39602805511,18.0,184.59,35.385,,3,,0.33,0.64,-0.22,,,,6.0,9.0,6.0,1.0,3.0,4.0,2.0,2.0,,2.0,2.0,1.0,,2.0,2.0,1.0,2.0,,,0.2694,0.171,-0.54,,,,,2.0,3.0,1.0,,171.34817762534,7.0,1.0,,
14109759,home,Gençlerbirliği,Sekou Koita,sekou-koita,S. Koita,F,22,173,3333,M,822710,EUR,943747200,F,22,22,False,14.0,11.0,2.0,2.0,0.0,5.0,6.0,6.0,8.0,,4.0,,,,,,89.0,35.0,8.1,10.0,0.310587,84.566921478912,11.0,42.42,11.865,,3,,0.42,0.27,-0.02,,,,,10.0,7.0,,,5.0,2.0,,1.0,4.0,4.0,2.0,,5.0,,1.0,2.0,1.0,1.0,0.4944,0.9322,0.5,,,,,2.0,,1.0,,19.670462164714,2.0,1.0,,
14109759,home,Gençlerbirliği,Abdurrahim Dursun,abdurrahim-dursun,A. Dursun,D,77,176,46,M,883275,EUR,912470400,D,77,77,True,2.0,1.0,1.0,,0.0,,,1.0,2.0,,1.0,,,,,,12.0,4.0,6.7,2.0,0.00266043,,,,,,0,,0.02,,-0.05,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14109759,home,Gençlerbirliği,Samed Onur,samed-onur,S. Onur,M,8,175,60,M,980608,EUR,1026691200,M,8,8,True,1.0,,,,0.0,,,,1.0,,,,,,,,1.0,2.0,,2.0,,,,,,,0,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14109759,home,Gençlerbirliği,Dilhan Demir,demir-dilhan,D. Demir,F,17,183,27,M,1907100,EUR,1056758400,M,21,21,True,,,,,0.0,,,,,,,,,,,,1.0,1.0,,,,4.031470699385,1.0,-3.15,-3.15,,0,,,,,,Dilhan,Demir,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14109759,home,Gençlerbirliği,Erhan Erentürk,erhan-erenturk,E. Erentürk,G,18,190,42,M,997705,EUR,801792000,G,18,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109759,home,Gençlerbirliği,Sinan Osmanoğlu,sinan-osmanoglu,S. Osmanoğlu,D,5,197,25,M,69369,EUR,631843200,D,90,90,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109759,home,Gençlerbirliği,Matěj Hanousek,matej-hanousek,M. Hanousek,D,23,182,56,M,320905,EUR,738979200,D,23,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109759,home,Gençlerbirliği,Firatcan Üzüm,firatcan-uzum,F. Üzüm,D,88,178,23,M,904112,EUR,928454400,D,88,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109759,home,Gençlerbirliği,Dal Varešanović,dal-varesanovic,D. Varešanović,M,53,177,341,M,979109,EUR,990576000,M,53,53,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
