match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_blockedScoringAttempt,stat_hitWoodwork,stat_interceptionWon,stat_keyPass,captain,stat_clearanceOffLine,stat_dispossessed,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,stat_punches,stat_goals
12499533,away,Borussia M'gladbach,Franck Honorat,franck-honorat,F. Honorat,M,9,180,718,M,280453,EUR,839721600,M,9,9,False,31.0,24.0,,,1.0,4.0,7.0,20.0,29.0,1.0,3.0,,,,,,82.0,42.0,8.3,13.0,0.604877,4,,5.0,4.0,,,1.0,,,1.0,,,2.0,,,,,1.0,2.0,,,1.331,1.2393,,1.0,1.0,,2.0,,,,1.0,1.0,,,1.0
12499533,away,Borussia M'gladbach,Kevin Stöger,kevin-stoger,K. Stöger,M,7,175,715,M,95381,EUR,746409600,M,7,7,False,60.0,49.0,4.0,2.0,0.0,17.0,20.0,36.0,50.0,3.0,4.0,,,,,,90.0,87.0,7.6,22.0,0.179018,2,,10.0,5.0,4.0,1.0,3.0,2.0,3.0,2.0,,,,1.0,,,,1.0,1.0,,1.0,0.1944,,4.0,,,,4.0,,,1.0,,,,,
12499533,away,Borussia M'gladbach,Alassane Pléa,alassane-plea,A. Pléa,M,14,180,1816,M,192308,EUR,731721600,M,14,14,False,29.0,24.0,5.0,4.0,0.0,5.0,5.0,19.0,26.0,,2.0,,,,,,68.0,44.0,7.6,11.0,0.0925016,2,,2.0,4.0,6.0,,2.0,2.0,2.0,1.0,,,2.0,2.0,1.0,1.0,,,,,1.0,0.2321,,,2.0,,,1.0,,,1.0,,1.0,,,
12499533,away,Borussia M'gladbach,Tim Kleindienst,tim-kleindienst,T. Kleindienst,F,11,194,2514,M,228981,EUR,809827200,F,11,11,False,8.0,6.0,,,1.0,3.0,3.0,4.0,6.0,3.0,,,,,,,82.0,17.0,8.3,4.0,0.757154,2,,1.0,5.0,3.0,,1.0,,1.0,1.0,,,3.0,3.0,,,,,1.0,,,0.915,0.9946,1.0,1.0,,,3.0,,,,,1.0,2.0,,1.0
12499533,away,Borussia M'gladbach,Rocco Reitz,rocco-reitz,R. Reitz,M,27,175,1025,M,1048650,EUR,1022630400,M,27,27,True,14.0,10.0,2.0,,0.0,3.0,5.0,7.0,9.0,1.0,2.0,,,,,,22.0,27.0,7.0,8.0,0.0999925,0,,,3.0,3.0,,1.0,,1.0,1.0,,,,,3.0,2.0,,,,,,,,,,,3.0,,,,1.0,,,,,
12499533,away,Borussia M'gladbach,Robin Hack,robin-hack,R. Hack,M,25,176,520,M,876858,EUR,904176000,M,25,25,True,7.0,6.0,,,0.0,1.0,2.0,5.0,5.0,,,,,,,,22.0,10.0,6.7,3.0,0.0148066,0,,,,2.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12499533,away,Borussia M'gladbach,Nathan N'Goumou,nathan-ngoumou,N. Ngoumou,M,19,182,657,M,962409,EUR,952992000,M,19,19,True,3.0,1.0,1.0,,0.0,1.0,1.0,,2.0,,1.0,,,,,,8.0,6.0,7.2,2.0,1.2e-06,1,,,,2.0,,1.0,1.0,,,,,,,,,,,1.0,,1.0,0.0562,0.3128,,,,,,,,,,,,,
12499533,away,Borussia M'gladbach,Tomáš Čvančara,tomas-cvancara,T. Čvančara,F,11,190,835,M,929163,EUR,966124800,F,31,31,True,4.0,3.0,,,0.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,,,8.0,9.0,6.9,3.0,0.0245861,1,,,,1.0,,1.0,1.0,2.0,,,,,,,,,1.0,,,,0.0899,,,,,,,,,,,,,,
12499533,away,Borussia M'gladbach,Stefan Lainer,stefan-lainer,S. Lainer,D,22,176,447,M,113920,EUR,714873600,D,22,22,True,2.0,2.0,,,0.0,2.0,2.0,,,,1.0,,,,,,3.0,4.0,,1.0,3.12e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499533,away,Borussia M'gladbach,Moritz Nicolas,moritz-nicolas,M. Nicolas,G,33,193,411,M,578166,EUR,877392000,G,33,33,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499533,away,Borussia M'gladbach,Marvin Friedrich,marvin-friedrich,M. Friedrich,D,5,193,161,M,254449,EUR,818812800,D,5,5,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499533,away,Borussia M'gladbach,Fabio Chiarodia,fabio-chiarodia,F. Chiarodia,D,2,186,609,M,1130067,EUR,1117929600,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Fabio Chiarodia,,,,,,,,,,,,,,,,,,,,,,,,,
12499533,away,Borussia M'gladbach,Florian Neuhaus,florian-neuhaus,F. Neuhaus,M,10,185,880,M,837205,EUR,858470400,M,10,10,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
