match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_outfielderBlock,stat_dispossessed,stat_fouls,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_totalOffside,stat_errorLeadToAGoal,stat_punches,stat_lastManTackle,stat_blockedScoringAttempt,stat_bigChanceMissed
14046020,home,FC Groningen,Hidde Jurjus,hidde-jurjus,H. Jurjus,G,21,187.0,69,M,339941,EUR,760752000,G,21,21,False,52.0,33.0,27.0,8.0,0.0,27.0,29.0,6.0,23.0,1.0,12.0,1.0,4.0,4.0,2.0,2.0,90.0,62.0,7.7,19.0,0.00533586,0.6196,0,0.6001,0.16,-0.01,0.33,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14046020,home,FC Groningen,Marco Rente,marco-rente,M. Rente,D,5,185.0,163,M,827103,EUR,856828800,D,5,5,False,44.0,33.0,6.0,2.0,0.0,11.0,15.0,22.0,29.0,1.0,4.0,,,,,,90.0,64.0,6.7,16.0,0.118867,,1,,0.07,0.11,-0.24,,,,2.0,1.0,3.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.072,1.0,-0.15,,,,,,,,,,,,,,,,,
14046020,home,FC Groningen,Thijmen Blokzijl,thijmen-blokzijl,T. Blokzijl,D,3,181.0,278,M,1121401,EUR,1109289600,D,3,3,False,72.0,64.0,6.0,4.0,0.0,48.0,51.0,16.0,21.0,3.0,7.0,,,,,,90.0,79.0,6.6,8.0,0.0146368,,0,,0.11,0.13,-0.14,,Thijmen Blokzijl,,,,5.0,2.0,6.0,3.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
14046020,home,FC Groningen,Marvin Peersman,marvin-peersman,M. Peersman,D,43,185.0,130,M,76160,EUR,666144000,D,43,43,False,73.0,60.0,13.0,6.0,0.0,46.0,49.0,14.0,24.0,7.0,8.0,,,,,,90.0,98.0,6.8,18.0,0.0260736,,0,,0.25,0.07,-0.09,,,,,,1.0,2.0,6.0,6.0,,3.0,1.0,,1.0,,3.0,,,,,1.0,3.0,,,,,,,,,,,,,,
14046020,home,FC Groningen,Wouter Prins,wouter-prins,W. Prins,D,2,173.0,74,M,1481249,EUR,1076025600,D,2,2,False,27.0,16.0,8.0,2.0,0.0,13.0,17.0,3.0,10.0,2.0,2.0,,,,,,77.0,55.0,6.6,20.0,0.00683315,,0,,0.05,-0.01,-0.01,,,,1.0,,5.0,,5.0,5.0,,,,,,2.0,1.0,,,,,,,4.0,2.0,,,,,,,,,,,,
14046020,home,FC Groningen,Tika de Jonge,tika-de-jonge,T. d. Jonge,M,8,182.0,102,M,1121402,EUR,1047340800,M,8,8,False,42.0,31.0,6.0,1.0,0.0,16.0,20.0,15.0,22.0,3.0,3.0,,,,,,77.0,60.0,6.3,16.0,0.0236041,,1,,0.01,0.28,-0.32,,Tika de Jonge,,,,1.0,,3.0,5.0,1.0,2.0,2.0,1.0,,4.0,,0.0836,,-0.28,,1.0,,3.0,1.0,2.0,,,,,,,,,,,
14046020,home,FC Groningen,Stije Resink,stije-resink,S. Resink,M,6,186.0,598,M,1090328,EUR,1053993600,M,6,6,False,39.0,31.0,4.0,3.0,1.0,17.0,18.0,14.0,21.0,2.0,5.0,,,,,,90.0,59.0,7.7,13.0,0.230285,,0,,0.13,0.26,0.24,,Stije Resink,,,,2.0,4.0,6.0,12.0,1.0,3.0,2.0,,2.0,2.0,3.0,,1.0,,1.0,2.0,,3.0,3.0,,True,,,,,,,,,,
14046020,home,FC Groningen,Younes Taha,younes-taha,Y. Taha,M,10,176.0,1409,M,1146623,EUR,1038355200,M,10,10,False,24.0,12.0,2.0,1.0,0.0,5.0,6.0,7.0,18.0,1.0,6.0,,,,,,83.0,50.0,6.2,26.0,0.0875863,,0,,-0.22,0.29,-0.16,,Younes Taha,,6.0,2.0,,,10.0,4.0,3.0,3.0,1.0,,1.0,4.0,1.0,,2.0,,,4.0,1.0,2.0,2.0,,,,,,,,,,,,
14046020,home,FC Groningen,Thom van Bergen,thom-van-bergen,T. v. Bergen,F,26,180.0,455,M,1413536,EUR,1073347200,M,26,26,False,18.0,12.0,3.0,2.0,1.0,5.0,6.0,7.0,12.0,2.0,6.0,,,,,,90.0,40.0,6.9,13.0,0.0714855,,0,,-0.17,0.74,-0.07,,Thom van Bergen,,,,6.0,1.0,13.0,9.0,2.0,5.0,4.0,,,4.0,3.0,,2.0,,,2.0,2.0,1.0,1.0,,,1.0,,,,,,,,,
14046020,home,FC Groningen,Jorg Schreuders,jorg-schreuders,J. Schreuders,M,14,177.0,237,M,1424404,EUR,1094688000,M,14,14,False,22.0,14.0,1.0,1.0,0.0,7.0,12.0,7.0,10.0,,3.0,,,,,,90.0,37.0,6.9,11.0,0.0769807,,1,,0.0,0.34,-0.09,,Jorg Schreuders,,1.0,,,2.0,1.0,5.0,,,,,,1.0,3.0,0.0384,,0.09,,1.0,,,,,,,1.0,0.263,,,,,,,
14046020,home,FC Groningen,Brynjólfur Darri Willumsson,brynjolfur-darri-willumsson,B. Darri Willumsson,F,9,185.0,358,M,907520,EUR,966038400,F,9,9,False,15.0,7.0,,,0.0,4.0,5.0,3.0,10.0,1.0,,,,,,,90.0,33.0,8.9,11.0,0.0028622,,4,,-0.35,0.43,0.26,,,,,,9.0,4.0,14.0,6.0,1.0,,,1.0,,1.0,,0.5688,,0.87,2.0,2.0,2.0,2.0,2.0,,,,3.0,0.8125,2.0,1.0,,,,,
14046020,home,FC Groningen,Tyrique Mercera,mercera-tyrique,T. Mercera,D,16,185.0,93,M,1592993,EUR,1071792000,D,16,16,True,7.0,5.0,1.0,1.0,0.0,4.0,5.0,1.0,2.0,,,,,,,,13.0,10.0,6.7,2.0,0.00037206,,0,,-0.04,-0.05,0.13,,Tyrique Mercera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
