match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_aerialWon,stat_totalClearance,stat_wonTackle,stat_wasFouled,stat_fouls,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_keyPass,stat_challengeLost,stat_dispossessed,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,stat_goals,stat_accurateCross,stat_bigChanceMissed,stat_totalOffside,player_lastName,stat_errorLeadToAGoal
14083197,home,Real Madrid,Brahim Díaz,brahim-diaz,B. Díaz,M,21,170,258553,M,Brahim,835485,EUR,933638400,M,21,21,True,11.0,11.0,,,0.0,1.0,1.0,10.0,10.0,,,,24.0,18.0,6.6,2.0,0.00726215,,1,,-0.18,0.14,0.0,,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,0.0359,-0.1,,,,1.0,,,,,,1.0,,1.0,0.0814,,,,,,,
14083197,home,Real Madrid,Daniel Carvajal,daniel-carvajal,D. Carvajal,D,2,173,154229,M,DaniCarvajal,138572,EUR,695088000,D,2,2,True,18.0,16.0,,,0.0,5.0,5.0,11.0,13.0,2.0,,,18.0,25.0,6.9,4.0,0.0290501,,0,,0.14,0.02,0.15,,,,1.0,2.0,,,,,,,2.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,
14083197,home,Real Madrid,Dani Ceballos,dani-ceballos,D. Ceballos,M,19,179,67396,M,Danifuli10,547838,EUR,839376000,M,19,19,True,16.0,15.0,,,0.0,6.0,6.0,9.0,10.0,,,,18.0,23.0,6.9,3.0,0.00577642,,0,,0.01,-0.18,0.14,,1.0,,1.0,4.0,1.0,,,,,1.0,2.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
14083197,home,Real Madrid,Rodrygo,rodrygo,Rodrygo,F,11,174,699716,M,Rodrygo,910536,EUR,978998400,F,11,11,True,10.0,9.0,,,0.0,1.0,1.0,8.0,9.0,1.0,,,18.0,15.0,6.5,3.0,0.0290265,,0,,0.09,0.05,0.0,,,1.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083197,home,Real Madrid,Gonzalo García,gonzalo-garcia,G. García,F,16,182,100643,M,,1402716,EUR,1080086400,F,16,16,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,1.0,1.0,,,0.00103356,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gonzalo García,,,,,,
14083197,home,Real Madrid,Sergio Mestre,sergio-mestre,S. Mestre,G,43,193,11703,M,,1403015,EUR,1108252800,G,43,43,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergio Mestre,,,,,,
14083197,home,Real Madrid,Andriy Lunin,andriy-lunin,A. Lunin,G,13,191,79229,M,ALunin,857574,EUR,918691200,G,13,13,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083197,home,Real Madrid,David Alaba,david-alaba,D. Alaba,D,4,180,93395,M,DAlaba,66492,EUR,709344000,D,4,4,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083197,home,Real Madrid,Raúl Asencio,raul-asencio,R. Asencio,D,17,184,117937,M,asencio,1156645,EUR,1045094400,D,17,17,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083197,home,Real Madrid,Fran García,fran-garcia,F. Garcia,D,20,170,66463,M,frangarci11,851271,EUR,934588800,D,20,20,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
