match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_keyPass,captain,stat_totalCross,stat_aerialLost,stat_wonTackle,stat_fouls,stat_outfielderBlock,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,player_sofascoreId,stat_goals,stat_goodHighClaim,stat_hitWoodwork,stat_errorLeadToAShot,stat_lastManTackle
11806465,home,VfB Stuttgart,Alexander Nübel,,,alexander-nubel,A. Nübel,G,33,193,2046,M,584722,EUR,844041600,G,33,33,False,36.0,28.0,15.0,8.0,26.0,29.0,2.0,7.0,11.0,3.0,4.0,90.0,48.0,7.7,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11806465,home,VfB Stuttgart,Josha Vagnoman,,,josha-vagnoman,J. Vagnoman,D,4,186,545,M,906278,EUR,976492800,D,4,4,False,22.0,21.0,,,10.0,10.0,11.0,12.0,1.0,,,81.0,37.0,6.8,4.0,0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11806465,home,VfB Stuttgart,Waldemar Anton,,,waldemar-anton,W. Anton,D,3,189,2192,M,799046,EUR,837820800,D,2,2,False,72.0,64.0,9.0,4.0,39.0,41.0,25.0,32.0,6.0,,,90.0,82.0,7.0,9.0,0,1.0,5.0,3.0,1.0,,,,3.0,3.0,1.0,1.0,,True,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,
11806465,home,VfB Stuttgart,Dan-Axel Zagadou,,,dan-axel-zagadou,D. Zagadou,D,23,196,1087,M,826205,EUR,928368000,D,23,23,False,66.0,58.0,11.0,6.0,37.0,40.0,21.0,26.0,6.0,,,90.0,86.0,7.5,10.0,0,3.0,3.0,4.0,1.0,,1.0,1.0,11.0,2.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
11806465,home,VfB Stuttgart,Maximilian Mittelstädt,,,maximilian-mittelstadt,M. Mittelstädt,D,7,178,2368,M,788949,EUR,858643200,D,7,7,False,52.0,47.0,3.0,1.0,18.0,21.0,32.0,36.0,6.0,,,90.0,84.0,8.8,10.0,0,1.0,5.0,8.0,1.0,,4.0,3.0,1.0,,4.0,,4.0,,5.0,2.0,2.0,1.0,,1.0,3.0,3.0,1.0,,,,,,,,,,,
11806465,home,VfB Stuttgart,Atakan Karazor,,,atakan-karazor,A. Karazor,M,16,190,1077,M,801030,EUR,845164800,M,16,16,False,42.0,36.0,2.0,2.0,15.0,16.0,21.0,26.0,3.0,,,90.0,52.0,7.1,7.0,1,,5.0,3.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,3.0,,,,,,1.0,,,,,,,,,,
11806465,home,VfB Stuttgart,Angelo Stiller,,,stiller-angelo,A. Stiller,M,6,183,7435,M,901882,EUR,986342400,M,6,6,False,55.0,52.0,4.0,2.0,14.0,15.0,38.0,40.0,4.0,,,90.0,67.0,7.3,4.0,2,,4.0,4.0,1.0,,,,,,4.0,,2.0,,,,2.0,3.0,,,,,,,1.0,1.0,1.0,,,,,,,
11806465,home,VfB Stuttgart,Enzo Millot,,,millot-enzo,E. Millot,M,10,175,4909,M,957889,EUR,1026864000,M,8,8,False,45.0,39.0,2.0,2.0,13.0,15.0,26.0,31.0,11.0,,,89.0,55.0,7.6,8.0,2,,6.0,4.0,2.0,,2.0,1.0,,,3.0,,3.0,,1.0,,2.0,3.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,
11806465,home,VfB Stuttgart,Chris Führich,,,chris-fuhrich,C. Führich,M,10,178,1567,M,891510,EUR,884304000,M,27,27,False,29.0,20.0,,,5.0,5.0,17.0,28.0,6.0,,,71.0,52.0,6.8,21.0,2,,9.0,6.0,1.0,3.0,7.0,4.0,,,1.0,1.0,1.0,,4.0,1.0,,1.0,,,2.0,,3.0,,1.0,1.0,,,,,,,,
11806465,home,VfB Stuttgart,Serhou Guirassy,,,serhou-guirassy,S. Guirassy,F,9,187,50480,M,328027,EUR,826588800,F,9,9,False,26.0,22.0,,,6.0,6.0,16.0,20.0,3.0,,,89.0,44.0,7.7,10.0,5,1.0,5.0,5.0,,3.0,1.0,1.0,,,,3.0,4.0,,,2.0,,,,,,1.0,2.0,3.0,,2.0,2.0,2.0,guirassy19off,1.0,,,,
