match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_wasFouled,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_dispossessed,stat_lastManTackle,player_firstName,stat_wonContest,player_lastName,stat_onTargetScoringAttempt,captain,stat_goals,stat_blockedScoringAttempt,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_bigChanceCreated
12117098,home,Vasco da Gama,Léo Jardim,leo-jardim,L. Jardim,G,1,188,5904,M,leocjardim,595598,EUR,795657600,G,1,1,False,16.0,8.0,10.0,2.0,0.0,7.0,9.0,1.0,7.0,1.0,9.0,2.0,5.0,1.0,90.0,29.0,7.4,9.0,0.00014359,0,0.2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117098,home,Vasco da Gama,Paulo Henrique,paulo-henrique,P. Henrique,D,96,175,6662,M,,1021721,EUR,838252800,D,96,96,False,33.0,27.0,4.0,2.0,0.0,7.0,9.0,22.0,26.0,4.0,3.0,,,,90.0,59.0,6.8,13.0,0.0914539,0,,2.0,2.0,1.0,5.0,4.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
12117098,home,Vasco da Gama,Maicon,maicon,Maicon,D,3,191,836,M,,44691,EUR,590198400,D,4,4,False,43.0,38.0,6.0,3.0,0.0,29.0,30.0,9.0,13.0,10.0,3.0,,,,90.0,56.0,6.8,5.0,0.00842745,0,,,,1.0,5.0,6.0,2.0,,2.0,,,,2.0,,6.0,1.0,,,,,,,,,,,,,,,,,
12117098,home,Vasco da Gama,João Victor,joao-victor,J. Victor,D,38,187,1769,M,,982998,EUR,900633600,D,38,38,False,55.0,48.0,8.0,4.0,0.0,37.0,40.0,11.0,15.0,6.0,4.0,,,,90.0,71.0,6.8,9.0,0.00403267,1,,,,,2.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,,,1.0,1.0,0.0436,,,,,,,,,,,,,,
12117098,home,Vasco da Gama,Victor Luis,victor-luis,V. Luis,D,12,180,1056,M,,252781,EUR,740793600,D,12,12,False,38.0,34.0,2.0,1.0,0.0,20.0,22.0,14.0,18.0,3.0,1.0,,,,60.0,56.0,7.1,10.0,0.00484482,0,,2.0,,,3.0,5.0,1.0,,,3.0,3.0,,1.0,,1.0,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,
12117098,home,Vasco da Gama,Hugo Moura,hugo-moura,H. Moura,M,25,177,1953,M,,973293,EUR,883785600,M,25,25,False,30.0,25.0,5.0,3.0,0.0,12.0,17.0,13.0,13.0,1.0,3.0,,,,60.0,39.0,6.6,7.0,0.00897073,1,,,,,4.0,5.0,,2.0,1.0,,,,2.0,,3.0,3.0,1.0,,0.057,,,,,,,,,,,,,,
12117098,home,Vasco da Gama,JP,joao-pedro,JP,M,98,182,1248,M,,1641124,EUR,1113868800,M,98,98,False,41.0,37.0,1.0,1.0,0.0,21.0,23.0,16.0,18.0,2.0,3.0,,,,80.0,56.0,6.8,8.0,0.0119264,0,,,,3.0,7.0,7.0,,1.0,1.0,3.0,2.0,1.0,2.0,,1.0,2.0,,,,3.0,,JP,1.0,,,,,,,,,,
12117098,home,Vasco da Gama,Adson,adson,Adson,M,28,171,2153,M,,1105970,EUR,970790400,M,28,28,False,44.0,38.0,1.0,1.0,0.0,13.0,14.0,25.0,31.0,,3.0,,,,90.0,61.0,6.8,12.0,0.0190924,1,,1.0,,1.0,5.0,3.0,1.0,3.0,,,,2.0,,,2.0,,,,0.0918,1.0,,Adson,1.0,,1.0,,,,,,,,
12117098,home,Vasco da Gama,Guilherme Estrella,estrella-guilherme,G. Estrella,M,14,185,1609,M,,1634144,EUR,1114128000,M,14,14,False,4.0,4.0,,,0.0,2.0,2.0,2.0,2.0,,,,,,14.0,6.0,6.5,1.0,0.0002751,0,,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,Guilherme Estrella de Paiva,,,,,,,,,,,
12117098,home,Vasco da Gama,Lucas Piton,lucas-piton,L. Piton,D,6,176,3645,M,,982174,EUR,971049600,M,6,6,False,30.0,24.0,3.0,2.0,1.0,11.0,13.0,16.0,21.0,3.0,5.0,,,,90.0,59.0,7.2,15.0,0.177397,0,,4.0,3.0,3.0,8.0,6.0,1.0,4.0,,2.0,2.0,2.0,,3.0,,3.0,,1.0,,1.0,,,1.0,,,,,,,,,,
