match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_height,stat_totalCross,stat_aerialWon,stat_unsuccessfulTouch,stat_shotOffTarget,stat_blockedScoringAttempt,stat_keyPass,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_penaltyWon,stat_penaltyMiss,captain,stat_dispossessed,stat_totalOffside,stat_goals,stat_goodHighClaim,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_errorLeadToAShot,stat_penaltyConceded
11048666,home,Tulsa Athletics,Bryson Reed,Bryson Reed,,bryson-reed,B. Reed,M,1,0,M,1193459,EUR,879552000.0,G,1,1,False,26.0,23.0,13.0,10.0,14.0,14.0,9.0,12.0,1.0,11.0,2.0,5.0,1.0,1.0,90.0,40.0,7.9,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11048666,home,Tulsa Athletics,Javier Reyes,Javier Reyes,,javier-reyes,J. Reyes,M,13,0,M,1193465,EUR,757209600.0,D,13,13,False,45.0,30.0,12.0,2.0,23.0,30.0,7.0,15.0,2.0,8.0,,,,,90.0,64.0,7.2,15.0,0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11048666,home,Tulsa Athletics,Chris Taylor,Chris Taylor,,chris-taylor,C. Taylor,M,19,0,M,1195126,EUR,610934400.0,D,2,2,False,49.0,41.0,19.0,12.0,30.0,32.0,11.0,18.0,8.0,4.0,,,,,90.0,67.0,8.1,10.0,0,1.0,1.0,5.0,,,,3.0,1.0,1.0,1.0,3.0,,186.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11048666,home,Tulsa Athletics,Alejandro Chavez,Alejandro Chavez,,alejandro-chavez,A. Chavez,D,5,0,M,1480159,EUR,870566400.0,D,5,5,False,37.0,26.0,10.0,4.0,23.0,27.0,3.0,10.0,7.0,11.0,,,,,90.0,62.0,7.9,14.0,0,,,9.0,,1.0,1.0,,4.0,4.0,2.0,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,
11048666,home,Tulsa Athletics,Aaron Ugbah,Aaron Ugbah,,aaron-ugbah,A. Ugbah,M,9,1,M,1193457,EUR,880934400.0,M,9,9,False,9.0,5.0,2.0,1.0,2.0,4.0,3.0,5.0,,2.0,,,,,90.0,28.0,6.6,12.0,2,1.0,7.0,5.0,4.0,2.0,,,,5.0,3.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
11048666,home,Tulsa Athletics,Joseph Garcia,Joseph Garcia,,joseph-garcia,J. Garcia,M,17,1,M,1193468,EUR,817084800.0,M,17,17,False,24.0,15.0,6.0,2.0,10.0,12.0,6.0,14.0,,6.0,,,,,69.0,42.0,6.9,14.0,4,1.0,5.0,4.0,3.0,1.0,1.0,,4.0,1.0,,2.0,1.0,,2.0,,4.0,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
11048666,home,Tulsa Athletics,Vinicius De Oliveira,Vinicius De Oliveira,,vinicius-de-oliveira,V. D. Oliveira,M,6,1,M,1193479,EUR,918518400.0,M,6,6,False,35.0,24.0,5.0,,18.0,23.0,6.0,12.0,2.0,7.0,,,,,74.0,51.0,6.9,13.0,1,,4.0,3.0,4.0,,,,5.0,2.0,1.0,1.0,,,,,1.0,1.0,,2.0,,,,,,True,,,,,,,,,
11048666,home,Tulsa Athletics,Joseph Ruiz,Joseph Ruiz,,joseph-ruiz,J. Ruiz,M,21,0,M,1193469,EUR,915580800.0,M,21,21,False,18.0,14.0,3.0,3.0,9.0,11.0,5.0,7.0,3.0,5.0,,,,,90.0,31.0,6.4,6.0,1,3.0,5.0,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,2.0,,,,,1.0,,,,,,,,
11048666,home,Tulsa Athletics,Thus Grant,Thus Grant,,thus-grant,T. Grant,M,11,0,M,1201413,EUR,,M,11,11,False,9.0,5.0,,,2.0,2.0,3.0,9.0,3.0,1.0,,,,,56.0,27.0,6.8,9.0,1,,1.0,4.0,,1.0,,,1.0,3.0,1.0,,1.0,,2.0,1.0,2.0,,1.0,,,,,,,,,1.0,,,,,,,
11048666,home,Tulsa Athletics,Jordan Watson,Jordan Watson,,jordan-watson,J. Watson,M,10,0,M,1193467,EUR,856224000.0,F,10,10,False,9.0,5.0,,,1.0,1.0,4.0,10.0,,2.0,,,,,90.0,42.0,6.0,21.0,3,1.0,10.0,8.0,2.0,5.0,2.0,,,1.0,1.0,3.0,1.0,,2.0,2.0,9.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,3.0,1.0,,,,,,,
11048666,home,Tulsa Athletics,Stefan Cvetanović,,,stefan-cvetanovic,S. Cvetanović,F,50,1,M,815463,EUR,839030400.0,F,7,7,False,13.0,8.0,2.0,2.0,4.0,5.0,4.0,8.0,,4.0,,,,,68.0,32.0,7.3,12.0,6,,5.0,4.0,,4.0,1.0,,,1.0,1.0,2.0,1.0,,,,3.0,1.0,3.0,,,,2.0,,,,1.0,,1.0,,,,,,
11048666,home,Tulsa Athletics,Mitchell Cashion,Mitchell Cashion,,mitchell-cashion,M. Cashion,M,11,0,M,1481618,EUR,,M,18,18,True,23.0,21.0,1.0,,14.0,15.0,7.0,9.0,3.0,3.0,,,,,34.0,41.0,6.9,5.0,0,,1.0,4.0,,2.0,2.0,,1.0,,,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
