match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialLost,stat_dispossessed,stat_fouls,stat_wonContest,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_wasFouled,stat_expectedGoals,stat_shotOffTarget,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_totalOffside,player_sofascoreId,stat_goals,stat_bigChanceMissed
12763967,home,Rangers,Jack Butland,,,jack-butland,J. Butland,G,1,196.0,717,M,98448,EUR,731721600,G,1,1,False,24.0,7.0,23.0,6.0,0.0,3.0,8.0,4.0,16.0,1.0,1.0,1.0,11.0,1.0,2.0,3.0,1.0,90.0,37.0,6.9,19.0,0.00052639,0,-0.6478,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12763967,home,Rangers,James Tavernier,,,james-tavernier,J. Tavernier,D,2,176.0,1674,M,126074,EUR,688867200,D,2,2,False,35.0,30.0,5.0,3.0,1.0,13.0,15.0,17.0,28.0,,5.0,3.0,6.0,,,,,90.0,58.0,7.7,14.0,0.0797211,0,,True,8.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,
12763967,home,Rangers,John Souttar,,,john-souttar,J. Souttar,D,5,185.0,363,M,287563,EUR,843609600,D,5,5,False,20.0,17.0,4.0,2.0,0.0,12.0,12.0,5.0,8.0,,1.0,1.0,2.0,,,,,35.0,23.0,6.6,4.0,0.00455703,0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
12763967,home,Rangers,Robin Pröpper,,,robin-propper,R. Pröpper,D,3,190.0,266,M,196082,EUR,748742400,D,4,4,False,38.0,33.0,7.0,3.0,0.0,19.0,21.0,14.0,17.0,2.0,4.0,2.0,5.0,,,,,90.0,45.0,6.8,6.0,0.00911971,0,,,,6.0,,,,1.0,,2.0,2.0,,3.0,1.0,2.0,,,,,,,,,,,,,,
12763967,home,Rangers,Jefté,Jefté,,jefte,Jefté,D,6,183.0,2361,M,1116665,EUR,1071964800,D,22,22,False,35.0,28.0,3.0,2.0,0.0,10.0,12.0,18.0,29.0,,8.0,3.0,4.0,,,,,90.0,68.0,6.9,17.0,0.00862873,1,,,6.0,4.0,1.0,4.0,,,1.0,4.0,2.0,,,1.0,1.0,3.0,1.0,1.0,1.0,0.0269,,,,,,,,,
12763967,home,Rangers,Mohammed Diomande,,,mohammed-diomande,M. Diomande,M,10,183.0,1805,M,1018785,EUR,1004400000,M,10,10,False,44.0,41.0,1.0,,0.0,9.0,9.0,32.0,35.0,,4.0,1.0,6.0,,,,,90.0,56.0,7.0,5.0,0.0409339,2,,,,4.0,1.0,3.0,,,,1.0,1.0,3.0,2.0,,1.0,2.0,1.0,,1.0,0.0681,1.0,1.0,,,,,,,
12763967,home,Rangers,Nicolas Raskin,,,nicolas-raskin,N. Raskin,M,43,179.0,1753,M,889378,EUR,982886400,M,43,43,False,54.0,49.0,5.0,3.0,0.0,21.0,22.0,28.0,32.0,,6.0,3.0,12.0,,,,,90.0,76.0,7.6,10.0,0.0165637,0,,,,3.0,,1.0,,1.0,4.0,4.0,4.0,,1.0,,2.0,1.0,,,1.0,,,4.0,,,,,,,
12763967,home,Rangers,Václav Černý,,,vaclav-cerny,V. Černý,M,18,182.0,3503,M,280631,EUR,877046400,M,18,18,False,28.0,22.0,,,0.0,3.0,4.0,19.0,29.0,,4.0,,3.0,,,,,69.0,49.0,7.8,12.0,0.0818459,5,,,5.0,3.0,1.0,4.0,,,1.0,1.0,1.0,1.0,1.0,,,3.0,1.0,,,0.2515,1.0,,3.0,0.2893,,,,,
12763967,home,Rangers,Nedim Bajrami,,,nedim-bajrami,N. Bajrami,M,14,179.0,1674,M,825861,EUR,920160000,M,14,14,False,25.0,19.0,,,0.0,3.0,3.0,17.0,23.0,1.0,1.0,,2.0,,,,,68.0,31.0,7.0,8.0,0.0541458,2,,,1.0,2.0,,,,,,,,1.0,1.0,1.0,,,,,,0.1337,1.0,1.0,1.0,0.2172,1.0,,,,
12763967,home,Rangers,Rıdvan Yılmaz,,,ridvan-yilmaz,R. Yılmaz,D,33,174.0,1724,M,910086,EUR,990403200,M,3,3,False,21.0,15.0,3.0,2.0,0.0,3.0,3.0,13.0,19.0,1.0,6.0,,4.0,,,,,80.0,38.0,7.0,9.0,0.0154744,2,,,1.0,3.0,1.0,4.0,,,1.0,,,2.0,,,,2.0,1.0,,3.0,0.0197,1.0,1.0,,,1.0,1.0,,,
