match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_fouls,stat_challengeLost,stat_wonTackle,player_firstName,player_lastName,player_sofascoreId,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_penaltyConceded,stat_wonContest,captain,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside,stat_penaltyWon
13981520,home,Torino,Alberto Paleari,alberto-paleari,A. Paleari,G,1,192.0,344,M,259281,EUR,715046400,G,1,1,False,26.0,16.0,18.0,8.0,0.0,10.0,12.0,6.0,14.0,1.0,7.0,1.0,1.0,1.0,1.0,90.0,34.0,6.8,10.0,0.00532743,0.1961,0,-0.0691,0.15,0.0,-0.16,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981520,home,Torino,Ardian Ismajli,ardian-ismajli,A. Ismajli,D,44,188.0,1151,M,840414,EUR,844041600,D,44,44,False,60.0,53.0,5.0,1.0,0.0,35.0,36.0,18.0,24.0,3.0,2.0,,,,,90.0,77.0,6.6,12.0,0.0393037,,1,,0.38,0.07,-0.39,,3.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0149,1.0,-0.22,,,,,,,,,,,,,,,,,,,,
13981520,home,Torino,Guillermo Maripán,guillermo-maripan,G. Maripán,D,13,193.0,2139,M,339909,EUR,768182400,D,13,13,False,56.0,52.0,3.0,2.0,0.0,34.0,37.0,18.0,19.0,1.0,3.0,,,,,67.0,60.0,6.6,4.0,0.00698535,,0,,0.08,0.07,-0.14,,,,2.0,2.0,2.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
13981520,home,Torino,Saúl Coco,saul-coco,S. Coco,D,23,188.0,1248,M,1089453,EUR,918518400,D,23,23,False,58.0,55.0,6.0,5.0,0.0,35.0,35.0,20.0,23.0,1.0,,,,,,90.0,71.0,6.4,4.0,0.0126087,,1,,0.13,0.12,-0.42,,,,3.0,9.0,7.0,,1.0,,2.0,2.0,,1.0,2.0,0.0763,,-0.21,7.0,,2.0,2.0,,,,,,,,,,,,,,,,
13981520,home,Torino,Marcus Pedersen,marcus-pedersen,M. Pedersen,D,16,178.0,644,M,934409,EUR,963705600,M,16,16,False,44.0,35.0,4.0,,0.0,14.0,15.0,21.0,29.0,1.0,2.0,,,,,90.0,57.0,6.6,15.0,0.158412,,0,,0.06,0.43,-0.16,,4.0,1.0,,2.0,,,,,,,,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,
13981520,home,Torino,Cesare Casadei,cesare-casadei,C. Casadei,M,22,192.0,6575,M,1016788,EUR,1042156800,M,22,22,False,56.0,45.0,3.0,1.0,0.0,18.0,18.0,27.0,38.0,,4.0,,,,,90.0,60.0,6.3,12.0,0.233923,,1,,0.32,0.09,-0.44,,,,7.0,8.0,7.0,,,,,,,,,0.0731,2.0,-0.18,3.0,2.0,2.0,,,,cesarecasadei,1.0,1.0,1.0,1.0,,,,,,,,,
13981520,home,Torino,Ivan Ilić,ivan-ilic,I. Ilić,M,8,185.0,1776,M,877371,EUR,984787200,M,8,8,False,85.0,74.0,5.0,2.0,0.0,35.0,39.0,39.0,46.0,1.0,5.0,,,,,90.0,96.0,7.1,14.0,0.159616,,0,,0.52,0.19,-0.1,,1.0,1.0,1.0,8.0,4.0,1.0,,,1.0,2.0,,1.0,1.0,,3.0,,,4.0,2.0,2.0,,,,2.0,,,,1.0,,,,,,,,
13981520,home,Torino,Nikola Vlašić,nikola-vlasic,N. Vlašić,M,10,178.0,5477,M,357596,EUR,875923200,M,10,10,False,19.0,13.0,,,0.0,5.0,6.0,8.0,13.0,,3.0,,,,,45.0,30.0,6.3,11.0,0.0101338,,0,,-0.15,0.06,-0.14,,1.0,,,5.0,5.0,2.0,,,,1.0,,2.0,2.0,,1.0,,1.0,2.0,1.0,1.0,,,niksivlasic_,2.0,,,,2.0,True,,,,,,,
13981520,home,Torino,Valentino Lazaro,valentino-lazaro,V. Lazaro,M,20,180.0,1014,M,233826,EUR,827625600,M,20,20,False,31.0,25.0,1.0,1.0,0.0,11.0,12.0,14.0,19.0,2.0,4.0,,,,,73.0,50.0,6.2,12.0,0.054385,,0,,0.04,0.04,-0.1,,5.0,1.0,,5.0,,,,,,,,,,,,,3.0,1.0,,,,,,1.0,,,,,,,,,,,,
13981520,home,Torino,Che Adams,che-adams,C. Adams,F,19,175.0,2940,M,773409,EUR,837216000,F,19,19,False,27.0,16.0,4.0,3.0,0.0,5.0,5.0,11.0,22.0,,3.0,,,,,66.0,39.0,7.7,14.0,0.0892929,,4,,0.27,0.12,-0.02,,,,,3.0,2.0,1.0,,,1.0,,,1.0,1.0,0.3891,,0.48,1.0,,,,,,,2.0,,2.0,,1.0,,2.0,1.0,1.0,0.9675,,,
