match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_sofascoreId,stat_dispossessed,stat_outfielderBlock,stat_errorLeadToAShot,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross,stat_errorLeadToAGoal
12764098,away,Galatasaray,Kaan Ayhan,kaan-ayhan,K. Ayhan,D,23,185.0,4087,M,138152,EUR,784425600,D,23,23,False,,68.0,58.0,6.0,3.0,0.0,29.0,34.0,30.0,39.0,3.0,2.0,4.0,,5.0,8.0,,,,,,90.0,88.0,7.2,14.0,0.092575,3,,,,5.0,,,,,1.0,1.0,,2.0,,,,,1.0,1.0,,0.1246,0.0515,,,,,1.0,,,1.0,
12764098,away,Galatasaray,Davinson Sánchez,davinson-sanchez,D. Sánchez,D,6,187.0,12299,M,566102,EUR,834537600,D,6,6,False,,60.0,56.0,3.0,2.0,0.0,36.0,38.0,20.0,22.0,3.0,5.0,8.0,1.0,6.0,9.0,3.0,,,,,89.0,77.0,7.0,4.0,0.0130417,1,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,3.0,DAVINSON,,,,1.0,,,0.071,,,,,,,,,,
12764098,away,Galatasaray,Abdülkerim Bardakcı,abdulkerim-bardakci,A. Bardakcı,D,42,185.0,6104,M,178963,EUR,778896000,D,42,42,False,,78.0,68.0,9.0,4.0,0.0,29.0,30.0,39.0,52.0,,2.0,4.0,,1.0,5.0,2.0,,,,,90.0,96.0,7.0,16.0,0.0435498,1,,,,4.0,1.0,2.0,1.0,,1.0,,1.0,,abdulkerimbard1,,,,,,,0.0257,,2.0,,1.0,,1.0,,,,
12764098,away,Galatasaray,Berkan Kutlu,berkan-kutlu,B. Kutlu,M,18,186.0,2127,M,992912,EUR,885686400,D,18,18,False,,29.0,27.0,,,0.0,13.0,14.0,14.0,16.0,,3.0,3.0,,1.0,2.0,,,,,,61.0,45.0,6.0,5.0,0.00773609,1,,,,1.0,2.0,3.0,2.0,,1.0,1.0,1.0,,,,,,,,,0.0181,,1.0,,,,1.0,,,,1.0
12764098,away,Galatasaray,Lucas Torreira,lucas-torreira,L. Torreira,M,34,168.0,8760,M,754794,EUR,823996800,M,34,34,False,,77.0,72.0,4.0,3.0,0.0,32.0,33.0,40.0,44.0,1.0,3.0,8.0,1.0,2.0,6.0,4.0,,,,,90.0,90.0,7.3,7.0,0.0515361,1,,,,,,,,,3.0,3.0,,1.0,ltorreira34,1.0,,,1.0,,,0.0287,,,,,,,,,,
12764098,away,Galatasaray,Gabriel Sara,gabriel-sara,G. Sara,M,8,178.0,11687,M,913593,EUR,930355200,M,20,20,False,,72.0,65.0,2.0,1.0,0.0,22.0,24.0,46.0,56.0,,1.0,3.0,,,7.0,2.0,,,,,90.0,94.0,7.9,14.0,0.330056,3,,,,8.0,,2.0,1.0,,,,1.0,,gabrielsara,,1.0,,1.0,2.0,,0.1671,0.6048,4.0,,,,,,,3.0,
12764098,away,Galatasaray,Yunus Akgün,yunus-akgun,Y. Akgün,M,11,173.0,9047,M,857738,EUR,962928000,M,11,11,False,,15.0,10.0,,,0.0,3.0,4.0,8.0,13.0,,2.0,3.0,,,3.0,,,,,,61.0,24.0,6.9,8.0,0.016792,2,,,,2.0,,1.0,1.0,,2.0,2.0,,,yunusakgun17,2.0,,,,1.0,,0.2043,0.1838,1.0,,,,1.0,,,1.0,
12764098,away,Galatasaray,Dries Mertens,dries-mertens,D. Mertens,M,,169.0,10127,M,32493,EUR,547257600,M,10,10,False,,34.0,24.0,5.0,1.0,0.0,6.0,11.0,20.0,30.0,,,,,,1.0,,,,,,69.0,45.0,6.7,17.0,0.346363,1,,,,7.0,,,,,,,1.0,,driesmertens,,,,1.0,,,0.0793,,2.0,1.0,,,,,,2.0,
12764098,away,Galatasaray,Barış Alper Yılmaz,baris-alper-yilmaz,B. A. Yılmaz,M,53,186.0,13210,M,904096,EUR,959040000,M,53,53,False,,36.0,25.0,,,0.0,3.0,4.0,23.0,41.0,3.0,9.0,8.0,,,1.0,2.0,,,,,89.0,66.0,6.6,28.0,0.332692,3,,,,9.0,1.0,8.0,3.0,,,,1.0,,barisalperyilmaz,3.0,,,1.0,,,0.0739,,3.0,,,,2.0,,,1.0,
12764098,away,Galatasaray,Victor Osimhen,victor-osimhen,V. Osimhen,F,45,186.0,229308,M,822471,EUR,914889600,F,45,45,False,,6.0,2.0,1.0,,0.0,,,2.0,6.0,5.0,6.0,7.0,,,,,,,,,90.0,21.0,8.3,5.0,0.00406053,9,,,,,4.0,1.0,1.0,,1.0,1.0,1.0,2.0,Osimhen9,,,,5.0,3.0,1.0,1.4817,2.0874,,,2.0,2.0,1.0,,,,
12764098,away,Galatasaray,Elias Jelert,elias-jelert,E. Jelert,D,38,178.0,2410,M,1126433,EUR,1055376000,D,24,24,True,,23.0,22.0,,,0.0,5.0,5.0,17.0,19.0,,1.0,1.0,,,1.0,,,,,,29.0,28.0,6.9,3.0,0.0279227,0,,Elias,Jelert,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12764098,away,Galatasaray,Michy Batshuayi,michy-batshuayi,M. Batshuayi,F,22,185.0,6844,M,147745,EUR,749520000,F,44,44,True,,10.0,9.0,,,0.0,3.0,4.0,6.0,6.0,,1.0,,,,,,,,,,29.0,11.0,6.3,1.0,0.00841998,1,,,,,1.0,,,,,,,,mbatshuayi,,,,1.0,,,0.2887,,,,,1.0,,,,,
12764098,away,Galatasaray,Yusuf Demir,yusuf-demir,Y. Demir,F,,173.0,4507,M,962283,EUR,1054512000,F,30,30,True,,13.0,12.0,,,0.0,2.0,3.0,10.0,13.0,,,3.0,,,1.0,2.0,,,,,21.0,24.0,7.3,4.0,0.0130538,2,,,,3.0,,1.0,1.0,,,,,,yusufdemir.10,,,,,2.0,,0.2104,0.2198,,,,,,,,,
12764098,away,Galatasaray,Victor Nelsson,victor-nelsson,V. Nelsson,D,15,187.0,2642,M,846148,EUR,908323200,D,25,25,True,,10.0,10.0,,,0.0,3.0,3.0,7.0,7.0,,1.0,,,,,,,,,,1.0,11.0,,,0.00203669,0,,,,,1.0,,,,,,,,Nelsson,,,,,,,,,,,,,,,,,
12764098,away,Galatasaray,Efe Akman,efe-akman,E. Akman,M,8,175.0,1340,M,1215206,EUR,1142812800,M,83,83,True,,6.0,6.0,,,0.0,,,6.0,6.0,,1.0,,,,1.0,,,,,,1.0,9.0,,2.0,0.00432769,0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
12764098,away,Galatasaray,Günay Güvenç,gunay-guvenc,G. Güvenç,G,19,187.0,2987,M,103457,EUR,677808000,G,19,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764098,away,Galatasaray,Atakan Ordu,atakan-ordu,A. Ordu,G,,190.0,611,M,1405623,EUR,1112054400,G,38,38,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764098,away,Galatasaray,Kadir Subaşı,kadir-subasi,K. Subaşi,D,65,,278,M,1405627,EUR,1156636800,D,65,65,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764098,away,Galatasaray,Metehan Baltacı,metehan-baltaci,M. Baltacı,D,3,189.0,2121,M,997155,EUR,1036281600,D,90,90,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764098,away,Galatasaray,Berat Luş,berat-lus,M. B. Luş,F,73,167.0,805,M,1945952,EUR,1177027200,F,67,67,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
