match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,captain,stat_aerialLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_challengeLost,stat_dispossessed,stat_keyPass,stat_accurateCross,stat_blockedScoringAttempt,stat_goodHighClaim,stat_goalsPrevented,stat_totalOffside
12437636,home,Getafe,David Soria,david-soria,D. Soria,G,13,192.0,676,M,604258,EUR,733881600,G,13,13,False,29.0,13.0,21.0,5.0,0.0,10.0,10.0,3.0,19.0,1.0,9.0,1.0,90.0,31.0,6.6,16.0,0.00434491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437636,home,Getafe,Juan Iglesias,juan-iglesias,J. Iglesias,D,21,185.0,520,M,949707,EUR,899424000,D,21,21,False,23.0,12.0,7.0,3.0,0.0,4.0,8.0,8.0,20.0,1.0,3.0,,90.0,54.0,7.3,22.0,0.00651464,1,,,5.0,1.0,4.0,8.0,6.0,4.0,1.0,1.0,3.0,2.0,2.0,0.0266,,,,,,,,,,,,,
12437636,home,Getafe,Djené,djene,Djené,D,2,178.0,2527,M,307702,EUR,694137600,D,2,2,False,31.0,24.0,9.0,4.0,0.0,15.0,17.0,9.0,14.0,5.0,4.0,,90.0,41.0,7.1,8.0,0.008064,0,,,,1.0,1.0,2.0,,,,1.0,,,,,True,1.0,1.0,1.0,1.0,,,,,,,,
12437636,home,Getafe,Omar Alderete,omar-alderete,O. Alderete,D,15,187.0,5163,M,805137,EUR,851558400,D,15,15,False,49.0,23.0,21.0,5.0,0.0,12.0,20.0,11.0,29.0,2.0,2.0,,90.0,56.0,6.8,28.0,0.0156349,2,,,,6.0,5.0,7.0,1.0,1.0,2.0,,,,,0.0265,,3.0,,1.0,,1.0,1.0,1.0,,,,,
12437636,home,Getafe,Diego Rico,diego-rico,D. Rico,D,16,181.0,662,M,350560,EUR,730425600,D,16,16,False,27.0,15.0,9.0,1.0,0.0,7.0,11.0,9.0,20.0,1.0,3.0,,90.0,56.0,6.9,20.0,0.193267,0,,,4.0,1.0,3.0,4.0,,,,,3.0,1.0,1.0,,,1.0,,1.0,,1.0,,2.0,1.0,,,,
12437636,home,Getafe,Luis Milla,luis-milla,L. Milla,M,5,175.0,1429,M,811629,EUR,781488000,M,5,5,False,36.0,25.0,6.0,1.0,0.0,7.0,9.0,20.0,31.0,,6.0,,90.0,63.0,7.6,18.0,0.0726145,1,,,4.0,3.0,7.0,11.0,,,1.0,1.0,6.0,6.0,2.0,0.0043,,3.0,,4.0,2.0,1.0,1.0,4.0,2.0,,,,
12437636,home,Getafe,Nabil Aberdin,nabil-aberdin,N. Aberdin,D,3,182.0,254,M,1136806,EUR,1030060800,M,27,27,False,13.0,9.0,4.0,2.0,0.0,3.0,4.0,6.0,9.0,2.0,1.0,,66.0,21.0,6.7,5.0,0.0441446,0,,,,1.0,3.0,4.0,1.0,,,,,,2.0,,,,,,3.0,,,1.0,,,,,
12437636,home,Getafe,Carles Pérez,carles-perez,C. Pérez,M,7,172.0,1038,M,794950,EUR,887587200,M,17,17,False,12.0,7.0,2.0,1.0,0.0,1.0,1.0,6.0,12.0,,2.0,,81.0,25.0,6.1,13.0,0.00602059,1,,,1.0,,8.0,2.0,4.0,1.0,,,1.0,,1.0,0.035,,,,2.0,,2.0,2.0,1.0,,1.0,,,
12437636,home,Getafe,Carles Aleñá,carles-alena,C. Aleñá,M,10,180.0,1587,M,794937,EUR,883958400,M,11,11,False,18.0,14.0,1.0,1.0,0.0,7.0,8.0,7.0,10.0,,2.0,,74.0,33.0,6.8,8.0,0.00705527,1,,,,2.0,6.0,6.0,2.0,1.0,1.0,,1.0,,1.0,0.0705,,3.0,,2.0,2.0,,1.0,,,,,,
12437636,home,Getafe,Álex Sola,alex-sola,Á. Sola,M,7,178.0,195,M,966836,EUR,928886400,M,7,7,False,15.0,8.0,1.0,,0.0,3.0,8.0,5.0,7.0,,4.0,,74.0,38.0,7.1,15.0,0.00526651,3,,,,3.0,7.0,12.0,6.0,4.0,2.0,,2.0,1.0,1.0,0.1588,,3.0,,4.0,3.0,,1.0,,,1.0,,,
