match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_penaltyWon,stat_expectedGoals,player_firstName,player_lastName,stat_duelLost,stat_onTargetScoringAttempt,stat_fouls,stat_expectedGoalsOnTarget,captain,stat_aerialLost,stat_challengeLost,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_goals,stat_outfielderBlock,stat_dispossessed,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_penaltyConceded,stat_ownGoals,stat_hitWoodwork
12450986,home,Nice,Maxime Dupé,maxime-dupe,M. Dupé,G,31,186,170,M,,96542,EUR,731203200,G,31,31,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450986,home,Nice,Mohamed Abdelmonem,mohamed-abdelmonem,M. Abdelmonem,D,33,183,28932,M,mohamed_abdelmonem66,926506,EUR,917827200,D,5,5,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450986,home,Nice,Antoine Mendy,mendy-antoine,A. Mendy,D,5,186,6281,M,,1120615,EUR,1085529600,D,33,33,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450986,home,Nice,Issiaga Camara,issiaga-camara,I. Camara,M,20,178,283,M,,1518668,EUR,1107302400,M,36,36,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450986,away,Saint-Étienne,Gautier Larsonneur,gautier-larsonneur,G. Larsonneur,G,30,181,266,M,,810526,EUR,856656000,G,30,30,False,34.0,22.0,19.0,7.0,0.0,17.0,22.0,9.0,,5.0,90.0,42.0,5.8,12.0,0.00213699,0,-2.1776,5.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,
12450986,away,Saint-Étienne,Dennis Appiah,dennis-appiah,D. Appiah,D,8,179,168,M,,123164,EUR,708048000,D,8,8,False,33.0,26.0,3.0,1.0,0.0,9.0,10.0,3.0,,,90.0,55.0,5.1,11.0,0.0259591,1,,18.0,26.0,,3.0,1.0,1.0,,2.0,1.0,2.0,2.0,,,,0.0201,,,6.0,,1.0,,,1.0,2.0,3.0,1.0,,1.0,,,2.0,1.0,,,,,1.0,,
12450986,away,Saint-Étienne,Dylan Batubinsika,dylan-batubinsika,D. Batubinsika,D,28,184,4399,M,,352912,EUR,824342400,D,21,21,False,59.0,56.0,4.0,3.0,0.0,35.0,36.0,2.0,,,90.0,71.0,5.5,4.0,0.00700873,0,,21.0,23.0,1.0,3.0,,,,3.0,2.0,2.0,2.0,1.0,,,,,,4.0,,3.0,,,1.0,,,,,,,,,,,,,,,1.0,
12450986,away,Saint-Étienne,Yunis Abdelhamid,yunis-abdelhamid,Y. Abdelhamid,D,5,190,1888,M,,178721,EUR,559785600,D,5,5,False,54.0,50.0,1.0,1.0,0.0,40.0,42.0,3.0,,,90.0,61.0,5.5,4.0,0.00805134,0,,10.0,12.0,,3.0,,,,2.0,1.0,2.0,1.0,,1.0,,,,,2.0,,1.0,,True,,1.0,,,,1.0,,,,,,,,,,,
12450986,away,Saint-Étienne,Pierre Cornud,pierre-cornud,P. Cornud,D,27,177,101,M,,900697,EUR,850348800,D,17,17,False,14.0,12.0,3.0,2.0,0.0,6.0,7.0,3.0,,,36.0,21.0,5.7,6.0,0.0053115,0,,6.0,9.0,,,2.0,,,,1.0,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,
12450986,away,Saint-Étienne,Aimen Moueffek,aimen-moueffek,A. Moueffek,M,29,179,760,M,,990227,EUR,986774400,M,29,29,False,18.0,17.0,,,0.0,9.0,9.0,1.0,,,35.0,22.0,6.4,2.0,0.00544974,0,,8.0,9.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
12450986,away,Saint-Étienne,Pierre Ekwah,pierre-ekwah,P. Ekwah,M,4,187,490,M,,996908,EUR,1011052800,M,4,4,False,62.0,57.0,4.0,3.0,0.0,27.0,31.0,3.0,,,90.0,69.0,6.5,6.0,0.076385,0,,30.0,31.0,1.0,5.0,1.0,1.0,,,2.0,2.0,2.0,1.0,1.0,,,,,4.0,,3.0,,,,1.0,,,,2.0,,,,,,,,,,,
12450986,away,Saint-Étienne,Mathis Amougou,mathis-amougou,M. Amougou,M,17,177,3772,M,,1426224,EUR,1137542400,M,37,37,False,8.0,5.0,,,0.0,,,1.0,,,35.0,11.0,6.2,4.0,0.0300892,0,,5.0,8.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12450986,away,Saint-Étienne,Zuriko Davitashvili,zuriko-davitashvili,Z. Davitashvili,F,22,175,4336,M,,921369,EUR,982195200,F,22,22,False,44.0,38.0,,,0.0,13.0,13.0,3.0,,,90.0,62.0,6.5,15.0,0.0792157,1,,25.0,32.0,,3.0,3.0,2.0,,,,,,3.0,1.0,,0.0274,,,7.0,,,,,,2.0,1.0,,,2.0,,,4.0,1.0,,,,,,,
12450986,away,Saint-Étienne,Lucas Stassin,lucas-stassin,L. Stassin,F,9,184,2196,M,,1126521,EUR,1101686400,F,32,32,False,14.0,11.0,2.0,1.0,0.0,7.0,8.0,,,,45.0,20.0,6.4,6.0,0.0192399,0,,4.0,6.0,,2.0,,,,1.0,,2.0,1.0,2.0,,,,,,4.0,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,
12450986,away,Saint-Étienne,Mathieu Cafaro,mathieu-cafaro,M. Cafaro,M,13,175,264,M,,816810,EUR,859248000,F,18,18,False,18.0,15.0,,,0.0,6.0,6.0,3.0,,,71.0,25.0,6.7,7.0,0.0177328,3,,9.0,13.0,,,,,2.0,,,,,2.0,,,0.0707,,,2.0,1.0,,0.0125,,,1.0,1.0,,,,,,1.0,,,,,,,,
12450986,away,Saint-Étienne,Mickael Nade,mickael-nade,M. Nade,D,3,186,169,M,,865847,EUR,920505600,D,3,3,True,37.0,32.0,4.0,1.0,0.0,20.0,20.0,6.0,,,55.0,45.0,6.2,7.0,0.0127619,0,,12.0,17.0,,2.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
12450986,away,Saint-Étienne,Benjamin Old,benjamin-old,B. Old,M,11,172,236,M,,1122425,EUR,1029196800,M,11,11,True,20.0,16.0,,,0.0,7.0,11.0,3.0,,,55.0,27.0,6.8,6.0,0.0110514,3,,9.0,10.0,,1.0,,,2.0,,1.0,1.0,1.0,1.0,,,0.198,Benjamin Old,,2.0,1.0,1.0,0.3398,,,1.0,1.0,,,,,,,,,,,,,,1.0
12450986,away,Saint-Étienne,Léo Pétrot,leo-petrot,L. Pétrot,D,21,188,232,M,,827504,EUR,861062400,D,19,19,True,15.0,11.0,3.0,1.0,0.0,6.0,8.0,3.0,,,54.0,26.0,6.3,6.0,0.00775232,0,,5.0,9.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,
12450986,away,Saint-Étienne,Ibrahim Sissoko,ibrahim-sissoko,I. Sissoko,F,9,190,964,M,,914738,EUR,817430400,F,9,9,True,13.0,10.0,,,0.0,6.0,7.0,1.0,,,45.0,19.0,6.4,5.0,0.0204621,0,,4.0,6.0,1.0,2.0,1.0,,,,1.0,,,,2.0,,,,,6.0,,3.0,,,,1.0,,,,,,,1.0,,,,,,,,
12450986,away,Saint-Étienne,Benjamin Bouchouari,benjamin-bouchouari,B. Bouchouari,M,8,165,2363,M,,1046446,EUR,1005609600,M,6,6,True,13.0,11.0,1.0,1.0,0.0,3.0,4.0,1.0,,,19.0,13.0,6.3,2.0,0.00453973,0,,8.0,9.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
12450986,away,Saint-Étienne,Brice Maubleu,brice-maubleu,B. Maubleu,G,1,192,76,M,,72818,EUR,628473600,G,1,1,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450986,away,Saint-Étienne,Lamine Fomba,lamine-fomba,L. Fomba,M,11,188,111,M,,822878,EUR,885772800,M,26,26,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450986,away,Saint-Étienne,Louis Mouton,louis-mouton,L. Mouton,M,6,180,136,M,,1172936,EUR,1023062400,M,14,14,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,Louis Mouton,,,,,,,,,,,,,,,,,,,,,,,
12450986,away,Saint-Étienne,Florian Tardieu,florian-tardieu,F. Tardieu,M,10,184,201,M,,234142,EUR,703900800,M,10,10,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
