match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_bigChanceCreated,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_errorLeadToAGoal,player_sofascoreId,stat_totalContest,stat_wonContest,stat_dispossessed,stat_wasFouled,stat_fouls,stat_totalOffside,captain,stat_aerialLost,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goodHighClaim
11352549,home,Brentford,Mark Flekken,mark-flekken,M. Flekken,G,1,194,2856,M,171919,EUR,739929600,G,1,1,False,36.0,28.0,14.0,6.0,0.0,25.0,28.0,3.0,8.0,7.0,1.0,3.0,90.0,43.0,6.3,8.0,0.0005273,0,-0.2692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352549,home,Brentford,Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,428,M,826057,EUR,930182400,D,30,30,False,23.0,22.0,,,0.0,15.0,15.0,8.0,11.0,,,,63.0,37.0,6.6,5.0,0.0959403,0,,Mads,Roerslev,3.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11352549,home,Brentford,Zanka,zanka,Zanka,D,,189,466,M,26404,EUR,640828800,D,13,13,False,66.0,56.0,3.0,2.0,0.0,32.0,37.0,24.0,29.0,7.0,,,90.0,75.0,6.4,10.0,0.0556076,0,,,,,,2.0,4.0,,2.0,2.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11352549,home,Brentford,Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1052,M,855864,EUR,738633600,D,5,5,False,46.0,44.0,2.0,1.0,0.0,33.0,34.0,11.0,12.0,6.0,,,90.0,53.0,5.6,3.0,0.00400221,0,,,,,,1.0,1.0,,2.0,,,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11352549,home,Brentford,Sergio Reguilón,sergio-reguilon,S. Reguilón,D,,178,5856,M,858195,EUR,850694400,D,12,12,False,39.0,30.0,6.0,4.0,0.0,20.0,24.0,11.0,20.0,9.0,,,74.0,62.0,6.1,16.0,0.2154,0,,,,5.0,1.0,1.0,4.0,,3.0,2.0,2.0,1.0,1.0,1.0,,,1.0,sergio_regui,2.0,1.0,,,,,,,,,,,,,,,,
11352549,home,Brentford,Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,1047,M,799251,EUR,820454400,M,8,8,False,34.0,25.0,3.0,1.0,0.0,10.0,12.0,15.0,23.0,4.0,,,64.0,49.0,6.3,14.0,0.0277282,0,,,,1.0,,,3.0,,,1.0,,1.0,,5.0,,2.0,,,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,
11352549,home,Brentford,Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,9605,M,135256,EUR,763257600,M,6,6,False,78.0,72.0,3.0,1.0,0.0,36.0,39.0,37.0,40.0,11.0,,,90.0,88.0,6.6,7.0,0.156116,0,,,,1.0,1.0,,4.0,,,2.0,1.0,,1.0,9.0,2.0,1.0,,,,,1.0,2.0,5.0,,True,1.0,1.0,,,,,,,,,
11352549,home,Brentford,Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1191,M,814873,EUR,894758400,M,27,27,False,36.0,31.0,2.0,1.0,0.0,18.0,18.0,14.0,20.0,3.0,,,74.0,45.0,7.1,7.0,0.0444506,1,,,,2.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,1.0,0.2234,0.6213,,,,
11352549,home,Brentford,Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,110440,M,927083,EUR,933984000,F,19,19,False,28.0,20.0,2.0,2.0,0.0,3.0,5.0,17.0,26.0,3.0,,,90.0,49.0,6.7,19.0,0.118609,0,,,,3.0,,,4.0,1.0,1.0,1.0,,2.0,1.0,7.0,1.0,,,bryan_m19,7.0,2.0,,1.0,1.0,,,,1.0,,,,,,,,,
11352549,home,Brentford,Ivan Toney,ivan-toney,I. Toney,F,17,185,12673,M,290927,EUR,826934400,F,17,17,False,19.0,13.0,1.0,,1.0,5.0,7.0,8.0,12.0,4.0,,,90.0,37.0,6.4,12.0,0.0148226,4,,,,,,1.0,6.0,,1.0,1.0,,5.0,1.0,7.0,1.0,,,ivantoney,2.0,1.0,,3.0,2.0,,,3.0,,2.0,,,0.5617,0.5589,2.0,2.0,,
