match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_dispossessed,stat_aerialLost,stat_totalContest,stat_wonContest,stat_wasFouled,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,captain,stat_bigChanceCreated,stat_hitWoodwork,stat_goals,stat_totalOffside,player_sofascoreId,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_lastManTackle,stat_penaltyConceded
12421015,home,Club Brugge KV,Simon Mignolet,simon-mignolet,S. Mignolet,G,22,193,1240,M,10406,EUR,573609600,G,22,22,False,28.0,24.0,15.0,11.0,0.0,18.0,18.0,6.0,10.0,3.0,1.0,3.0,90.0,32.0,7.4,4.0,0.00267261,0,0.5236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421015,home,Club Brugge KV,Joaquin Seys,joaquin-seys,J. Seys,D,65,178,1482,M,1395881,EUR,1111968000,D,65,65,False,33.0,29.0,1.0,,0.0,14.0,14.0,17.0,22.0,5.0,,,75.0,51.0,7.1,8.0,0.121806,2,,,,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.1142,1.0,,,,,,,,,,,,,,,,,,,,,,,
12421015,home,Club Brugge KV,Joel Ordóñez,joel-ordonez,J. Ordóñez,D,4,188,4924,M,1187275,EUR,1082505600,D,4,4,False,48.0,46.0,2.0,,0.0,29.0,30.0,17.0,18.0,1.0,,,90.0,51.0,6.9,3.0,0.00434758,0,,,,,,2.0,3.0,,,1.0,,1.0,,,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
12421015,home,Club Brugge KV,Brandon Mechele,brandon-mechele,B. Mechele,D,44,188,823,M,248331,EUR,728179200,D,44,44,False,61.0,53.0,10.0,6.0,0.0,41.0,43.0,12.0,18.0,8.0,,,90.0,71.0,7.5,9.0,0.00540442,0,,,,,,3.0,6.0,1.0,,2.0,2.0,,2.0,1.0,,,,2.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12421015,home,Club Brugge KV,Maxim De Cuyper,maxim-de-cuyper,M. De Cuyper,D,29,183,4477,M,997152,EUR,977443200,D,55,55,False,38.0,30.0,3.0,2.0,0.0,12.0,14.0,19.0,34.0,2.0,,,90.0,65.0,7.2,21.0,0.315171,2,,,,10.0,1.0,2.0,,1.0,,,,1.0,,,,0.2787,1.0,,,,1.0,,,1.0,1.0,1.0,2.0,0.2146,,,,,,,,,,,,
12421015,home,Club Brugge KV,Hugo Vetlesen,hugo-vetlesen,H. Vetlesen,M,10,174,784,M,877236,EUR,951696000,M,10,10,False,34.0,29.0,3.0,2.0,0.0,11.0,11.0,18.0,23.0,2.0,,,75.0,43.0,7.0,6.0,0.29836,0,,,,,,3.0,4.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
12421015,home,Club Brugge KV,Raphael Onyedika,raphael-onyedika,R. Onyedika,M,15,184,6213,M,1129862,EUR,987638400,M,15,15,False,35.0,33.0,2.0,2.0,0.0,14.0,15.0,19.0,20.0,3.0,,,82.0,46.0,7.1,4.0,0.0431159,1,,,,,,4.0,6.0,,1.0,1.0,,,3.0,3.0,3.0,0.0302,,1.0,1.0,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,
12421015,home,Club Brugge KV,Hans Vanaken,hans-vanaken,H. Vanaken,M,20,194,2941,M,118085,EUR,714614400,M,20,20,False,44.0,40.0,5.0,4.0,0.0,15.0,15.0,25.0,29.0,4.0,,,90.0,52.0,7.1,5.0,0.316857,1,,,,,,2.0,3.0,,1.0,2.0,,1.0,,,,0.0891,,1.0,,2.0,,,2.0,,,,1.0,,True,,,,,,,,,,,
12421015,home,Club Brugge KV,Andreas Skov Olsen,andreas-skov-olsen,A. Skov Olsen,M,7,187,2523,M,888537,EUR,946425600,F,7,7,False,29.0,22.0,3.0,2.0,0.0,1.0,3.0,21.0,26.0,,,,82.0,42.0,7.3,10.0,0.324623,2,,,,,,6.0,4.0,1.0,,,,,2.0,1.0,1.0,0.0402,2.0,,1.0,1.0,2.0,,2.0,,1.0,1.0,,0.1667,,1.0,,,,,,,,,,
12421015,home,Club Brugge KV,Gustaf Nilsson,gustaf-nilsson,G. Nilsson,F,19,197,774,M,572286,EUR,864345600,F,19,19,False,11.0,8.0,,,0.0,1.0,2.0,7.0,9.0,4.0,,,90.0,31.0,8.1,7.0,0.174783,5,,,,,,11.0,7.0,,,2.0,1.0,,1.0,,6.0,1.2292,2.0,3.0,2.0,3.0,,,3.0,,2.0,3.0,2.0,1.6025,,,1.0,1.0,1.0,,,,,,,
