match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_goals,captain,stat_bigChanceMissed,stat_errorLeadToAShot
14131975,home,CF Estrela Amadora,Renan Ribeiro,renan-ribeiro,R. Ribeiro,G,40,193,156,M,82598,EUR,638150400,G,40,40,False,25.0,21.0,5.0,1.0,0.0,20.0,22.0,1.0,3.0,5.0,1.0,1.0,90.0,29.0,6.3,4.0,0.00023531,45.297557559186,5.0,19.425,18.165,0.0154,0,-0.6015,-0.03,0.0,-0.1,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131975,home,CF Estrela Amadora,Luan Patrick,luan-patrick,Luan Patrick,D,30,190,249,M,1002565,EUR,1011484800,D,30,30,False,71.0,67.0,9.0,5.0,0.0,49.0,49.0,18.0,22.0,5.0,,,90.0,81.0,7.4,4.0,0.0590831,215.3189852909,29.0,141.12,15.96,,0,,0.35,0.29,0.15,,,,1.0,1.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14131975,home,CF Estrela Amadora,Bernardo Schappo,schappo-bernardo,B. Schappo,D,14,191,188,M,1017590,EUR,922060800,D,14,14,False,72.0,62.0,7.0,2.0,0.0,44.0,46.0,18.0,26.0,2.0,,,90.0,84.0,7.1,11.0,0.00925174,239.54062806898,34.0,125.895,13.86,,1,,0.25,0.18,0.31,,,,4.0,,,5.0,,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,0.1466,2.0,-0.5,,,,,,,,,,,,,,,
14131975,home,CF Estrela Amadora,Otavio,otavio,Otávio,D,83,193,40,M,2115909,EUR,1132876800,D,83,83,False,47.0,41.0,7.0,4.0,0.0,25.0,28.0,16.0,19.0,5.0,,,73.0,63.0,6.9,9.0,0.0108053,180.89904415507,22.0,116.865,25.725,,1,,0.12,0.11,-0.2,,,,7.0,1.0,,3.0,1.0,,3.0,4.0,1.0,,2.0,1.0,,0.106,1.0,-0.21,2.0,3.0,3.0,1.0,,,,,,,,,,,
14131975,home,CF Estrela Amadora,Sidny Lopes Cabral,sidny-lopes-cabral,S. L. Cabral,D,15,176,1269,M,1117723,EUR,1032307200,M,55,55,False,32.0,27.0,,,0.0,15.0,18.0,12.0,14.0,3.0,,,90.0,79.0,7.0,17.0,0.39512,232.86370600733,22.0,150.36,31.185,,4,,0.59,0.27,-0.08,,Sidny Lopes Cabral,,6.0,7.0,3.0,2.0,2.0,1.0,,7.0,1.0,,,,,0.1041,4.0,-0.55,1.0,1.0,1.0,2.0,10.0,4.0,1.0,2.0,1.0,0.1051,,,,,
14131975,home,CF Estrela Amadora,Paulo Moreira,paulo-daniel-valente-moreira,P. Moreira,M,19,176,52,M,1090646,EUR,950745600,M,19,19,False,34.0,31.0,3.0,2.0,0.0,21.0,22.0,10.0,12.0,5.0,,,90.0,48.0,7.0,7.0,0.0222367,89.507369338402,15.0,41.685,10.815,,0,,0.15,0.16,-0.1,,Paulo,Moreira,8.0,4.0,3.0,1.0,1.0,1.0,,5.0,,,1.0,,,,,,2.0,2.0,,3.0,,,1.0,,,,,,,,
14131975,home,CF Estrela Amadora,Oumar Ngom,ngom-oumar,O. Ngom,M,79,184,780,M,1175854,EUR,1078790400,M,6,6,False,42.0,36.0,4.0,2.0,0.0,21.0,21.0,15.0,21.0,2.0,,,73.0,54.0,6.7,8.0,0.0159548,178.50800364221,20.0,80.115,24.465,,4,,-0.03,0.35,0.3,,,,2.0,2.0,1.0,,,,1.0,4.0,1.0,1.0,,2.0,,0.1575,2.0,-0.55,,,,,,,1.0,3.0,,,,,,,
14131975,home,CF Estrela Amadora,Ianis Stoica,ianis-stoica,I. Stoica,F,10,180,563,M,910316,EUR,1039305600,M,10,10,False,32.0,28.0,4.0,4.0,2.0,17.0,18.0,11.0,14.0,2.0,,,82.0,45.0,7.8,8.0,0.487752,136.31365671762,15.0,79.905,18.27,,1,,0.4,0.27,-0.07,,,,4.0,,,,,,,2.0,,,,,,0.0288,2.0,-0.29,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,,,1.0,,,,
14131975,home,CF Estrela Amadora,Abraham Marcus,abraham-marcus,A. Marcus,M,99,178,255,M,1090543,EUR,946771200,F,99,99,False,27.0,23.0,,,0.0,9.0,9.0,14.0,18.0,5.0,,,90.0,55.0,8.3,14.0,0.0562312,103.21652755473,12.0,45.885,24.255,,3,,0.3,0.39,0.16,,Abraham Marcus,,6.0,2.0,1.0,1.0,,,,3.0,2.0,,3.0,1.0,,0.6036,3.0,0.48,,4.0,3.0,1.0,2.0,,2.0,,1.0,0.7448,,1.0,,,
14131975,home,CF Estrela Amadora,Kikas,kikas,Kikas,F,98,176,231,M,869875,EUR,905990400,F,98,98,False,7.0,5.0,2.0,1.0,0.0,3.0,4.0,2.0,3.0,,,,82.0,15.0,7.8,2.0,0.0204417,51.668839601192,5.0,24.465,29.19,,3,,0.28,0.52,-0.02,,,,2.0,1.0,1.0,,,3.0,,5.0,,,,2.0,,1.0008,,0.61,,,,1.0,,,,,3.0,1.1618,,1.0,True,2.0,
14131975,home,CF Estrela Amadora,Jovane Cabral,jovane-cabral,J. Cabral,F,11,176,1128,M,845802,EUR,897782400,F,11,11,False,26.0,21.0,5.0,4.0,0.0,11.0,11.0,10.0,15.0,4.0,,,68.0,48.0,7.0,12.0,0.0125773,96.325132001758,12.0,14.49,16.38,,4,,0.12,-0.53,0.13,,,,6.0,2.0,1.0,,,1.0,,4.0,2.0,,6.0,2.0,1.0,0.1168,1.0,-0.03,,2.0,2.0,3.0,,,,,2.0,0.1067,,,,,
14131975,home,CF Estrela Amadora,Rodrigo Pinho,rodrigo-pinho,Rodrigo Pinho,F,9,185,213,M,801339,EUR,675561600,F,9,9,True,5.0,3.0,,,0.0,,,3.0,5.0,1.0,,,22.0,9.0,7.9,2.0,0.0259504,46.549237285023,4.0,36.435,15.96,,3,,0.16,0.16,0.0,,,,2.0,1.0,1.0,,,,1.0,,,,,,,1.0659,,0.44,,,,,,,,1.0,2.0,1.0154,,1.0,,,
14131975,home,CF Estrela Amadora,Jefferson Encada,encada-jefferson,J. Encada,D,17,188,308,M,851283,EUR,892771200,D,17,17,True,8.0,7.0,,,0.0,3.0,3.0,4.0,5.0,2.0,,,17.0,12.0,6.9,2.0,0.214719,97.21470096518,7.0,84.315,43.89,,0,,0.02,0.09,0.13,,,,3.0,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,
14131975,home,CF Estrela Amadora,Robson Lucas Oliveira Botelho,oliveira-botelho-robson-lucas,R. L. O. Botelho,M,8,180,75,M,2058164,EUR,1028678400,M,8,8,True,14.0,11.0,1.0,,0.0,7.0,9.0,4.0,5.0,1.0,,,17.0,17.0,6.5,4.0,0.00309664,41.513947196396,7.0,-8.4,3.99,,0,,-0.12,-0.02,-0.02,,,,1.0,,,1.0,,,1.0,2.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,
14131975,home,CF Estrela Amadora,Jorge Meireles,jorge-meireles,J. Meireles,F,18,175,132,M,1164070,EUR,1081036800,F,18,18,True,11.0,10.0,3.0,3.0,1.0,4.0,4.0,6.0,7.0,1.0,,,8.0,13.0,6.8,3.0,0.0866659,49.622062781846,7.0,45.885,10.08,,0,,0.44,0.19,-0.01,,,,,1.0,,,,1.0,,4.0,,,1.0,2.0,,,2.0,,,,,,,,,,,,1.0,,,,
14131975,home,CF Estrela Amadora,Leandro Antonetti,leandro-antonetti,L. Antonetti,F,7,189,330,M,1158547,EUR,1042416000,F,7,7,True,4.0,3.0,1.0,,0.0,1.0,1.0,2.0,3.0,2.0,,,8.0,8.0,6.4,2.0,0.00104757,17.868234317033,3.0,11.025,7.455,,0,,-0.06,0.08,-0.03,,Leandro Antonetti,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
14131975,home,CF Estrela Amadora,David Grilo,david-grilo,D. Grilo,G,22,184,31,M,929640,EUR,839894400,G,22,22,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131975,home,CF Estrela Amadora,Atanas Chernev,chernev-atanas,A. Chernev,D,16,193,204,M,1031642,EUR,1017014400,D,79,79,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
