match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_keyPass,stat_totalContest,stat_wonContest,stat_wonTackle,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_dispossessed,stat_penaltyWon,stat_penaltyMiss,stat_penaltyFaced,stat_clearanceOffLine,stat_totalOffside,stat_penaltyConceded
12514050,home,Santa Clara,Gabriel Batista,,,gabriel-batista,G. Batista,G,1,188,348,M,822526,EUR,896832000,G,1,1,False,True,21.0,7.0,19.0,6.0,0.0,2.0,3.0,5.0,18.0,2.0,9.0,1.0,1.0,1.0,90.0,26.0,6.3,14.0,0.0162286,0,-0.4993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514050,home,Santa Clara,Sidney Lima,Sidney,,sidney-lima,S. Lima,D,23,182,139,M,1131145,EUR,853459200,D,23,23,False,,21.0,17.0,7.0,4.0,0.0,12.0,12.0,5.0,10.0,4.0,4.0,,,,90.0,48.0,8.1,9.0,0.00389228,4,,1.0,5.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,0.1406,0.3458,,,,,,,,,,,,,,,,,
12514050,home,Santa Clara,Luís Rocha,,,luis-rocha,L. Rocha,D,13,186,44,M,141012,EUR,524275200,D,13,13,False,,30.0,23.0,5.0,1.0,0.0,15.0,17.0,8.0,13.0,5.0,2.0,,,,90.0,38.0,6.7,7.0,0.00605983,0,,,2.0,1.0,2.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
12514050,home,Santa Clara,Frederico Venâncio,,,frederico-venancio,F. Venâncio,D,21,186,71,M,254815,EUR,728784000,D,21,21,False,,20.0,17.0,3.0,1.0,0.0,13.0,14.0,4.0,6.0,2.0,,,,,67.0,24.0,6.5,3.0,0.00056521,0,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,
12514050,home,Santa Clara,Diogo Calila,,,diogo-calila,D. Calila,M,2,173,593,M,892083,EUR,907977600,M,2,2,False,,18.0,13.0,4.0,1.0,0.0,3.0,5.0,10.0,17.0,3.0,6.0,,,,79.0,37.0,7.6,12.0,0.00722645,1,,4.0,,2.0,4.0,,1.0,,1.0,,,2.0,2.0,1.0,2.0,0.1475,0.7442,,,1.0,1.0,2.0,,,,,,,,,,,,
12514050,home,Santa Clara,Pedro Ferreira,,,ferreira-pedro,P. Ferreira,M,8,183,121,M,851277,EUR,883958400,M,8,8,False,,18.0,13.0,2.0,,0.0,9.0,10.0,5.0,9.0,2.0,5.0,,,,90.0,31.0,7.0,5.0,0.0198235,4,,1.0,,2.0,1.0,4.0,,,,,2.0,,,,1.0,0.127,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,
12514050,home,Santa Clara,Adriano Firmino,,,adriano-firmino,A. Firmino,M,6,187,127,M,989383,EUR,941673600,M,6,6,False,,23.0,18.0,2.0,,0.0,7.0,9.0,11.0,15.0,1.0,4.0,,,,79.0,28.0,6.3,8.0,0.00661419,0,,1.0,,2.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
12514050,home,Santa Clara,Matheus Araújo,Matheus,,matheus-araujo,M. Araújo,D,32,185,323,M,1105841,EUR,983404800,M,32,32,False,,22.0,19.0,2.0,1.0,0.0,10.0,10.0,9.0,12.0,5.0,1.0,,,,90.0,45.0,7.2,6.0,0.0284887,0,,,,3.0,7.0,,,,,,1.0,5.0,1.0,2.0,1.0,,,2.0,,,,3.0,,,,,,,,,,,,
12514050,home,Santa Clara,Vinícius Lopes,,,vinicius-lopes,V. Lopes,F,70,175,316,M,1001753,EUR,926035200,F,70,70,False,,11.0,8.0,,,0.0,1.0,1.0,7.0,11.0,,4.0,,,,79.0,19.0,6.8,7.0,0.0164641,0,,1.0,1.0,1.0,3.0,,,,,,,,3.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,
12514050,home,Santa Clara,Gabriel Silva,Gabriel Silva,,gabriel-silva,Gabriel Silva,F,10,177,795,M,1046794,EUR,1016755200,F,11,11,False,,17.0,8.0,,,2.0,1.0,1.0,9.0,22.0,2.0,8.0,,,,90.0,57.0,8.7,24.0,0.259603,5,,6.0,,3.0,10.0,2.0,1.0,2.0,,,,3.0,8.0,6.0,2.0,0.3008,,,3.0,2.0,1.0,3.0,2.0,,1.0,1.0,1.0,,,,,,,
