match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_totalOffside,stat_expectedGoals,stat_challengeLost,stat_penaltyConceded,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_wonTackle,stat_expectedGoalsOnTarget,stat_accurateCross,player_lastName,player_sofascoreId,stat_errorLeadToAShot,stat_goals,stat_penaltyWon,stat_penaltyMiss
12450238,home,Montpellier,Benjamin Lecomte,benjamin-lecomte,B. Lecomte,G,23,186,336,M,123207,EUR,672624000,G,40,40,False,True,20.0,13.0,17.0,10.0,0.0,8.0,9.0,5.0,11.0,10.0,2.0,2.0,1.0,1.0,4.0,90.0,35.0,7.3,8.0,0.00160394,0,-1.1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450238,home,Montpellier,Enzo Tchato Mbiayi,enzo-tchato-mbiayi,E. T. Mbiayi,D,29,180,511,M,1103548,EUR,1038009600,D,29,29,False,,35.0,28.0,3.0,1.0,0.0,12.0,13.0,16.0,25.0,4.0,,,,,,90.0,57.0,7.3,13.0,0.190258,0,,Enzo Tchato Mbiayi,3.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12450238,home,Montpellier,Bamo Meïté,bamo-meite,B. Meïté,D,5,183,525,M,1131541,EUR,992995200,D,2,2,False,,17.0,11.0,3.0,1.0,0.0,8.0,10.0,3.0,7.0,1.0,,,,,,45.0,25.0,6.4,7.0,0.00064876,0,,,,2.0,4.0,2.0,,3.0,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12450238,home,Montpellier,Boubakar Kouyaté,boubakar-kouyate,B. Kouyaté,D,25,192,907,M,848537,EUR,861062400,D,4,4,False,,32.0,27.0,5.0,2.0,0.0,18.0,18.0,9.0,14.0,,,,,,,90.0,53.0,6.5,8.0,0.00469442,3,,,,4.0,5.0,5.0,,10.0,,1.0,1.0,1.0,,1.0,,4.0,,,,2.0,1.0,2.0,2.0,0.1653,,,,,,,,,,,,,
12450238,home,Montpellier,Modibo Sagnan,modibo-sagnan,M. Sagnan,D,27,187,581,M,904759,EUR,924048000,D,5,5,False,,31.0,28.0,2.0,2.0,0.0,17.0,17.0,11.0,14.0,5.0,,,,,,90.0,37.0,5.5,4.0,0.00760848,0,,,,,5.0,2.0,,1.0,,,1.0,1.0,,2.0,,,,2.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,
12450238,home,Montpellier,Theo Sainte Luce,theo-sainte-luce,T. S. Luce,D,17,181,53,M,901152,EUR,908841600,D,17,17,False,,23.0,16.0,3.0,,0.0,6.0,7.0,10.0,18.0,4.0,,,,,,90.0,43.0,6.2,11.0,0.0245566,1,,,2.0,4.0,7.0,9.0,,2.0,,,1.0,2.0,4.0,,,1.0,,3.0,2.0,,,,1.0,0.1484,2.0,,1.0,1.0,1.0,0.1607,,,,,,,
12450238,home,Montpellier,Jordan Ferri,jordan-ferri,J. Ferri,M,4,172,146,M,123229,EUR,700358400,M,12,12,False,,25.0,22.0,2.0,2.0,0.0,6.0,7.0,16.0,19.0,6.0,,,,,,60.0,34.0,6.0,9.0,0.0279294,0,,,1.0,,7.0,,,,,,,,,2.0,,,2.0,2.0,,,,1.0,,,1.0,,,,,,,,,,,,
12450238,home,Montpellier,Joris Chotard,joris-chotard,J. Chotard,M,13,179,541,M,976396,EUR,1001289600,M,13,13,False,,39.0,28.0,6.0,5.0,0.0,13.0,14.0,16.0,28.0,3.0,,,,,,90.0,50.0,6.5,14.0,0.0632899,0,,,3.0,1.0,4.0,3.0,,1.0,,1.0,,,,1.0,,2.0,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,
12450238,home,Montpellier,Teji Savanier,teji-savanier,T. Savanier,M,11,171,790,M,156682,EUR,693360000,M,11,11,False,,39.0,30.0,10.0,5.0,0.0,7.0,7.0,28.0,45.0,5.0,,,,,,85.0,70.0,7.5,23.0,0.781361,1,,,13.0,3.0,7.0,7.0,2.0,,,,,1.0,4.0,,8.0,,2.0,3.0,2.0,1.0,,1.0,,0.1095,1.0,,1.0,,,,5.0,,,,,,
12450238,home,Montpellier,Andy Delort,andy-delort,A. Delort,F,,182,2883,M,84744,EUR,686966400,F,9,9,False,,12.0,4.0,1.0,,0.0,,3.0,4.0,14.0,2.0,,,,,,78.0,23.0,5.7,14.0,0.00519194,3,,,5.0,2.0,5.0,4.0,,,,,,,,3.0,,4.0,,,,1.0,,1.0,1.0,0.6189,,,3.0,2.0,,0.8302,,,LeTigre,,,,
