match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelWon,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,captain,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,stat_wonContest,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goalAssist,stat_totalOffside
10382227,home,Vitesse,Kjell Scherpen,kjell-scherpen,K. Scherpen,G,37,205,781,M,852394,EUR,948585600,G,16,16,False,28.0,15.0,22.0,9.0,10.0,10.0,5.0,18.0,1.0,1.0,13.0,2.0,2.0,3.0,90.0,39.0,7.6,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382227,home,Vitesse,Carlens Arcus,carlens-arcus,C. Arcus,D,2,180,5896,M,794373,EUR,835920000,D,2,2,False,32.0,27.0,4.0,4.0,14.0,16.0,13.0,18.0,,2.0,7.0,,,,51.0,45.0,6.0,8.0,0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10382227,home,Vitesse,Dominik Oroz,dominik-oroz,D. Oroz,D,5,190,131,M,874936,EUR,972777600,D,6,6,False,33.0,24.0,7.0,2.0,19.0,22.0,5.0,11.0,,5.0,1.0,,,,90.0,45.0,7.6,9.0,2,,4.0,,,,4.0,,,4.0,2.0,2.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,
10382227,home,Vitesse,Nicolas Isimat-Mirin,nicolas-isimat-mirin,N. Isimat-Mirin,D,,189,76,M,781556,EUR,690076800,D,29,29,False,43.0,31.0,13.0,4.0,22.0,24.0,9.0,19.0,2.0,2.0,6.0,,,,90.0,62.0,7.5,12.0,1,,7.0,,3.0,,,,,3.0,,1.0,11.0,,,1.0,1.0,,,,,,,,,,,,,
10382227,home,Vitesse,Maximilian Wittek,maximilian-wittek,M. Wittek,D,32,173,158,M,254125,EUR,808963200,D,32,32,False,45.0,29.0,5.0,1.0,17.0,24.0,15.0,28.0,,4.0,8.0,,,,90.0,75.0,7.6,26.0,2,7.0,1.0,2.0,,,1.0,,,,,1.0,2.0,,,1.0,1.0,True,3.0,1.0,1.0,1.0,3.0,,,,,,,
10382227,home,Vitesse,Melle Meulensteen,melle-meulensteen,M. Meulensteen,M,21,185,201,M,891795,EUR,931046400,M,20,20,False,51.0,47.0,7.0,6.0,20.0,21.0,27.0,31.0,,4.0,7.0,,,,90.0,69.0,6.6,9.0,0,1.0,5.0,2.0,1.0,,,,,2.0,,,4.0,,,,2.0,,,2.0,,,1.0,,,,,,,
10382227,home,Vitesse,Ryan Flamingo,ryan-flamingo,R. Flamingo,D,6,186,1614,M,1046960,EUR,1041292800,M,3,3,False,27.0,24.0,,,11.0,13.0,13.0,14.0,2.0,6.0,8.0,,,,90.0,39.0,6.8,6.0,0,,2.0,3.0,1.0,,1.0,Ryan Flamingo,,,,,3.0,,1.0,2.0,,,,1.0,,,,1.0,,,,,,
10382227,home,Vitesse,Million Manhoef,million-manhoef,M. Manhoef,M,42,179,770,M,961677,EUR,1010016000,M,42,42,False,18.0,13.0,1.0,1.0,2.0,2.0,12.0,19.0,,6.0,5.0,,,,89.0,49.0,7.6,19.0,3,3.0,4.0,5.0,,,1.0,,,,,1.0,1.0,,1.0,,2.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,,,,
10382227,home,Vitesse,Marco van Ginkel,marco-van-ginkel,M. van Ginkel,F,,186,361,M,112794,EUR,723168000,M,15,15,False,46.0,34.0,1.0,1.0,11.0,14.0,23.0,32.0,1.0,3.0,3.0,,,,90.0,60.0,6.4,17.0,3,,3.0,,,,,,,1.0,,2.0,3.0,,,,2.0,,,2.0,,,1.0,,,3.0,1.0,1.0,,
10382227,home,Vitesse,Gabriel Vidović,gabriel-vidovic,G. Vidović,M,10,180,3478,M,1129940,EUR,1070236800,M,10,10,False,11.0,10.0,,,6.0,6.0,4.0,5.0,,4.0,2.0,,,,52.0,18.0,6.3,5.0,1,,1.0,4.0,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,
