match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalTackle,stat_wasFouled,captain,stat_outfielderBlock,stat_fouls,stat_interceptionWon,stat_accurateCross,stat_totalContest,stat_wonContest,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_shotOffTarget,stat_unsuccessfulTouch,stat_wonTackle,stat_errorLeadToAGoal,stat_bigChanceCreated,stat_bigChanceMissed,stat_errorLeadToAShot,stat_penaltyWon,stat_goals,stat_penaltyFaced,stat_penaltyConceded,stat_totalOffside
12476432,home,Lincoln City,Zachary Jeacock,zachary-jeacock,Z. Jeacock,G,13,191.0,12,M,1192328,EUR,989280000,G,31,31,False,36.0,27.0,18.0,9.0,0.0,19.0,19.0,8.0,17.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,1.0,1.0,90.0,43.0,6.8,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12476432,home,Lincoln City,Lewis Montsma,lewis-montsma,L. Montsma,D,14,191.0,45,M,945777,EUR,893462400,D,4,4,False,37.0,27.0,8.0,1.0,0.0,22.0,22.0,5.0,16.0,1.0,3.0,4.0,1.0,,,,,,79.0,48.0,6.5,11.0,2,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12476432,home,Lincoln City,Paudie O’Connor,oconnor-paudie,P. O’Connor,D,15,191.0,67,M,806241,EUR,868838400,D,15,15,False,49.0,38.0,9.0,3.0,0.0,32.0,36.0,6.0,13.0,4.0,4.0,4.0,1.0,,,,,,45.0,55.0,6.8,11.0,0,,,1.0,,,,,,True,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12476432,home,Lincoln City,Thomas Hamer,thomas-hamer,T. Hamer,D,22,188.0,37,M,897567,EUR,942710400,D,22,22,False,64.0,49.0,14.0,8.0,0.0,30.0,35.0,19.0,29.0,10.0,11.0,4.0,5.0,,,,,,90.0,92.0,7.0,28.0,1,,2.0,3.0,1.0,,1.0,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,
12476432,home,Lincoln City,Ethan Erhahon,ethan-erhahon,E. Erhahon,M,21,173.0,43,M,892163,EUR,989366400,M,6,6,False,31.0,27.0,3.0,1.0,0.0,14.0,15.0,14.0,18.0,1.0,2.0,,4.0,,,,,,45.0,36.0,6.8,5.0,0,2.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12476432,home,Lincoln City,Jay Benn,jay-benn,J. Benn,M,2,177.0,20,M,1082503,EUR,998438400,M,20,20,False,29.0,17.0,5.0,2.0,0.0,6.0,8.0,12.0,24.0,2.0,2.0,2.0,4.0,,,,,,90.0,52.0,6.4,20.0,1,3.0,3.0,10.0,4.0,,,,,,,1.0,1.0,1.0,1.0,,2.0,,,1.0,1.0,1.0,,,,,,,,,,
12476432,home,Lincoln City,John Joshua Mckiernan,john-joshua-mckiernan,J. J. McΚiernan,M,7,184.0,36,M,1083684,EUR,1011312000,M,10,10,False,19.0,14.0,,,0.0,4.0,5.0,10.0,15.0,2.0,6.0,,1.0,,,,,,66.0,30.0,6.9,10.0,1,1.0,2.0,6.0,2.0,,,,3.0,,,3.0,,,1.0,1.0,2.0,John Joshua,Mckiernan,,1.0,4.0,,,,,,,,,,
12476432,home,Lincoln City,Jack Moylan,jack-moylan,J. Moylan,M,10,186.0,111,M,999227,EUR,999302400,M,28,28,False,28.0,22.0,3.0,2.0,0.0,10.0,11.0,13.0,23.0,,,,3.0,,,,,,90.0,53.0,6.1,23.0,4,6.0,2.0,11.0,1.0,1.0,1.0,,,,,,,1.0,6.0,,1.0,,,2.0,2.0,3.0,,,,,,,,,,
12476432,home,Lincoln City,Dom Jefferies,dom-jefferies,D. Jefferies,M,16,179.0,20,M,994672,EUR,1022025600,M,16,16,False,22.0,13.0,2.0,2.0,0.0,5.0,6.0,9.0,17.0,5.0,8.0,2.0,2.0,,,,,,65.0,34.0,6.5,11.0,1,1.0,3.0,4.0,,,1.0,2.0,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,
12476432,home,Lincoln City,Robert Street,robert-street,R. Street,F,17,186.0,95,M,1020672,EUR,1001462400,F,29,29,False,16.0,9.0,1.0,,0.0,2.0,2.0,8.0,15.0,3.0,3.0,,,,,,,,90.0,24.0,6.5,12.0,0,1.0,5.0,11.0,,,,,,,,2.0,,1.0,1.0,,1.0,,,3.0,,1.0,,,1.0,,,,,,,
