match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,captain,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_accurateCross,stat_dispossessed,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine,stat_goals,player_sofascoreId
10438022,home,Famalicão,Luiz Júnior,Luiz Lúcio Reis Júnior,,luiz-junior,L. Júnior,G,1,192,2350,M,1066603,EUR,979430400,G,31,31,False,25.0,15.0,18.0,8.0,12.0,16.0,3.0,9.0,3.0,9.0,3.0,4.0,6.0,2.0,90.0,45.0,7.1,11.0,13.522723563622,3.0,9.03,4.935,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438022,home,Famalicão,Hernán de la Fuente,,,hernan-de-la-fuente,H. d. l. Fuente,D,2,178,114,M,912936,EUR,852595200,D,22,22,False,50.0,36.0,5.0,4.0,16.0,20.0,20.0,33.0,3.0,7.0,,,,,90.0,89.0,7.4,21.0,173.96852702515,20.0,91.77,15.54,0,3.0,3.0,7.0,7.0,1.0,4.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
10438022,home,Famalicão,Dylan Batubinsika,,,dylan-batubinsika,D. Batubinsika,D,28,184,4399,M,352912,EUR,824342400,D,21,21,False,46.0,44.0,10.0,9.0,27.0,28.0,17.0,18.0,7.0,5.0,,,,,90.0,65.0,7.3,2.0,172.70887990796,15.0,78.015,29.505,1,,1.0,2.0,6.0,,,,,2.0,2.0,1.0,,1.0,1.0,,3.0,1.0,3.0,79.476130300636,2.0,,,,,,,,,,,,
10438022,home,Famalicão,Alexandre Penetra,,,alexandre-penetra,A. Penetra,D,5,184,376,M,1004278,EUR,999993600,D,6,6,False,49.0,43.0,7.0,5.0,28.0,29.0,15.0,20.0,3.0,3.0,,,,,90.0,57.0,6.3,7.0,57.581026214367,9.0,21.63,13.335,0,,6.0,7.0,4.0,,1.0,,,,,,,1.0,,,3.0,,2.0,,,True,,,,,,,,,,,
10438022,home,Famalicão,Rúben Lima,,,ruben-lima,R. Lima,D,,176,41,M,59772,EUR,623376000,D,5,5,False,50.0,39.0,7.0,1.0,13.0,16.0,26.0,35.0,8.0,12.0,,,,,90.0,81.0,6.8,13.0,149.56732017505,16.0,26.565,20.37,0,1.0,1.0,2.0,4.0,1.0,,,,1.0,1.0,,1.0,2.0,,1.0,1.0,,3.0,15.088074761215,1.0,,,,,,,,,,,,
10438022,home,Famalicão,Zaydou Youssouf,,,zaydou-youssouf,Z. Youssef,M,33,183,570,M,862194,EUR,931651200,M,28,28,False,33.0,26.0,5.0,3.0,5.0,8.0,21.0,26.0,2.0,4.0,,,,,75.0,48.0,7.0,9.0,84.929812526879,12.0,21.63,9.24,2,1.0,3.0,5.0,8.0,,3.0,2.0,,,3.0,3.0,,1.0,1.0,,2.0,1.0,,,,,1.0,,,,,,,,,,
10438022,home,Famalicão,Gustavo Assunção,,,gustavo-assuncao,G. Assunção,M,12,178,266,M,981217,EUR,954374400,M,12,12,False,43.0,36.0,10.0,6.0,19.0,20.0,17.0,24.0,,6.0,,,,,61.0,53.0,6.6,10.0,93.913297000686,12.0,59.43,14.7,0,1.0,1.0,6.0,5.0,2.0,1.0,,,,3.0,3.0,1.0,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,
10438022,home,Famalicão,André Simões,,,andre-simoes,A. Simões,M,16,177,73,M,169945,EUR,629769600,M,8,8,False,28.0,20.0,2.0,1.0,9.0,13.0,11.0,15.0,,5.0,,,,,61.0,41.0,6.8,11.0,60.558338799959,10.0,24.99,12.6,2,,,1.0,6.0,,1.0,,,,4.0,3.0,2.0,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,
10438022,home,Famalicão,Heriberto Tavares,,,heriberto-tavares,H. Tavares,F,91,180,195,M,845789,EUR,856310400,F,91,91,False,38.0,24.0,3.0,1.0,6.0,7.0,20.0,41.0,1.0,4.0,,,,,90.0,71.0,7.0,30.0,104.53152414448,15.0,59.535,14.595,1,10.0,,4.0,6.0,,5.0,1.0,,,2.0,1.0,3.0,1.0,,1.0,2.0,,2.0,15.50579636781,1.0,,,1.0,1.0,2.0,,,,,,,
10438022,home,Famalicão,Álex Millán,,,alex-millan,Á. Millán,F,23,185,80,M,1010550,EUR,941932800,F,9,9,False,16.0,11.0,3.0,1.0,4.0,5.0,8.0,13.0,,,,,,,75.0,27.0,6.6,10.0,23.288928966561,5.0,4.305,6.51,1,2.0,2.0,4.0,3.0,,1.0,,,,,,2.0,1.0,,1.0,2.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,
