match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_totalOffside,stat_outfielderBlock,stat_shotOffTarget,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_unsuccessfulTouch,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_dispossessed,player_sofascoreId
12388465,home,Alemannia Aachen,Marcel Johnen,,,marcel-johnen,M. Johnen,G,1,186,25,M,997124,EUR,1034294400,G,1,1,False,26.0,10.0,24.0,8.0,0.0,3.0,3.0,7.0,23.0,1.0,2.0,2.0,9.0,1.0,1.0,1.0,4.0,1.0,90.0,35.0,6.6,16.0,0,,,,,,,,,,,,,,,,,,,,,,,
12388465,home,Alemannia Aachen,Mika Timothy Hanraths,,,mika-timothy-hanraths,M. T. Hanraths,D,15,180,17,M,836942,EUR,928454400,D,15,15,False,17.0,12.0,2.0,,0.0,9.0,9.0,3.0,9.0,5.0,11.0,8.0,3.0,3.0,1.0,,,,90.0,37.0,7.4,6.0,1,True,1.0,5.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,
12388465,home,Alemannia Aachen,Jan Luca Rumpf,,,jan-luca-rumpf,J. L. Rumpf,D,,192,13,M,939609,EUR,931392000,D,13,13,False,16.0,12.0,6.0,3.0,0.0,8.0,9.0,4.0,7.0,1.0,2.0,4.0,1.0,,,,,,90.0,24.0,6.3,4.0,0,,,2.0,3.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,
12388465,home,Alemannia Aachen,Felix Meyer,,,felix-meyer,F. Meyer,D,4,185,8,M,1010040,EUR,1027036800,D,4,4,False,20.0,8.0,4.0,3.0,0.0,5.0,12.0,3.0,8.0,2.0,3.0,4.0,4.0,1.0,1.0,,,,90.0,35.0,7.7,14.0,2,,,3.0,3.0,,,,,,,3.0,1.0,1.0,2.0,1.0,,,,,,,,
12388465,home,Alemannia Aachen,Nils Winter,,,nils-winter,N. Winter,M,30,181,9,M,132575,EUR,755740800,M,30,30,False,16.0,5.0,5.0,1.0,1.0,2.0,5.0,4.0,14.0,,4.0,,3.0,1.0,,,,,88.0,37.0,6.9,21.0,0,,3.0,,3.0,,,,1.0,1.0,,,,,,2.0,1.0,1.0,3.0,2.0,1.0,2.0,,
12388465,home,Alemannia Aachen,Bentley Baxter Bahn,,,bentley-baxter-bahn,B. B. Bahn,M,8,180,29,M,126547,EUR,714960000,M,9,9,False,16.0,12.0,2.0,,0.0,4.0,5.0,9.0,12.0,,3.0,1.0,,,,,,,89.0,24.0,6.5,4.0,0,,1.0,,2.0,,,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,1.0,,1.0,,
12388465,home,Alemannia Aachen,Soufiane El-Faouzi,,,soufian-el-faouzi,S. El-Faouzi,M,23,178,436,M,1083338,EUR,1026518400,M,18,18,False,18.0,15.0,3.0,1.0,0.0,4.0,5.0,11.0,14.0,2.0,5.0,,3.0,,,,,,90.0,35.0,6.4,11.0,1,,1.0,2.0,8.0,,,,3.0,2.0,,,1.0,,,4.0,,1.0,1.0,,,3.0,2.0,
12388465,home,Alemannia Aachen,Saša Strujić,,,sasa-strujic,S. Strujić,M,5,185,26,M,264137,EUR,692150400,M,5,5,False,19.0,11.0,4.0,2.0,0.0,4.0,7.0,7.0,15.0,1.0,2.0,5.0,3.0,1.0,,,,,90.0,44.0,6.8,17.0,0,,3.0,2.0,2.0,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,
12388465,home,Alemannia Aachen,Anton Heinz,,,anton-heinz,A. Heinz,F,10,187,84,M,933928,EUR,884131200,F,21,21,False,11.0,5.0,1.0,,1.0,2.0,4.0,5.0,16.0,1.0,3.0,1.0,2.0,2.0,1.0,,,,89.0,28.0,7.1,15.0,1,,9.0,1.0,4.0,1.0,,,,1.0,,,,,,,2.0,1.0,1.0,,1.0,2.0,1.0,
12388465,home,Alemannia Aachen,Charlison Benschop,,,charlison-benschop,C. Benschop,F,35,191,46,M,40608,EUR,619660800,F,35,35,False,11.0,9.0,1.0,1.0,0.0,2.0,2.0,7.0,10.0,1.0,2.0,1.0,4.0,1.0,,,,,73.0,23.0,7.1,8.0,3,,1.0,2.0,5.0,1.0,1.0,,,,,,1.0,1.0,,2.0,,,1.0,,,,2.0,
