match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_outfielderBlock,stat_fouls,stat_challengeLost,stat_interceptionWon,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_keyPass,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalOffside,captain,stat_ownGoals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross,stat_goals
12625008,home,Al Raed,Mshari Sanyoor,mshari-sanyoor,M. Sanyoor,G,50,181.0,64,M,972698,EUR,1007510400,G,50,50,False,29.0,17.0,18.0,6.0,0.0,13.0,16.0,4.0,13.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,90.0,36.0,6.6,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12625008,home,Al Raed,Mohammed Al-Dosari,mohammed-al-dosari,M. Al-Dosari,D,32,,12,M,970908,EUR,931651200,D,32,32,False,37.0,28.0,6.0,2.0,0.0,17.0,21.0,11.0,17.0,1.0,,2.0,8.0,2.0,8.0,1.0,,,,89.0,64.0,6.7,14.0,0,1.0,2.0,1.0,6.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,
12625008,home,Al Raed,Mubarak Al-Rajeh,mubarak-al-rajeh,M. Al-Rajeh,D,94,,39,M,1429814,EUR,1059696000,D,94,94,False,35.0,29.0,3.0,1.0,0.0,25.0,31.0,4.0,4.0,2.0,2.0,3.0,4.0,9.0,5.0,,,,,90.0,52.0,7.3,7.0,0,,,,2.0,1.0,1.0,Mubarak Abdul Rahman Al Rajeh,,4.0,1.0,,,,,,,,,,,,,,,,,
12625008,home,Al Raed,Ayoub Qasmi,qasmi-ayoub,A. Qasmi,D,16,178.0,88,M,919697,EUR,748396800,D,16,16,False,41.0,37.0,6.0,3.0,0.0,31.0,31.0,6.0,10.0,3.0,1.0,5.0,2.0,5.0,2.0,,,,,90.0,52.0,6.9,5.0,0,,1.0,1.0,,,1.0,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12625008,home,Al Raed,Khalid Alsubaie,khalid-alsubaie,K. Alsubaie,M,27,176.0,8,M,893373,EUR,940896000,D,24,24,False,42.0,30.0,9.0,5.0,0.0,13.0,19.0,17.0,26.0,,2.0,5.0,8.0,5.0,3.0,1.0,,,,90.0,80.0,7.2,20.0,0,3.0,3.0,2.0,3.0,1.0,2.0,,,1.0,1.0,1.0,4.0,2.0,,,,,,,,,,,,,,
12625008,home,Al Raed,Mehdi Abeid,mehdi-abeid,M. Abeid,M,,180.0,913,M,73056,EUR,713059200,M,17,17,False,37.0,29.0,4.0,2.0,0.0,11.0,14.0,18.0,23.0,,1.0,6.0,5.0,2.0,4.0,2.0,,,,90.0,50.0,6.5,10.0,1,,,,2.0,1.0,2.0,,,1.0,5.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
12625008,home,Al Raed,Naif Hazzazi,naif-hazzazi,N. Hazzazi,M,88,176.0,9,M,818734,EUR,717811200,M,18,18,False,42.0,32.0,5.0,,0.0,23.0,28.0,9.0,14.0,1.0,1.0,3.0,1.0,2.0,5.0,,,,,90.0,55.0,6.6,10.0,0,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,
12625008,home,Al Raed,Saleh Al-Amri,saleh-al-amri,S. Al-Amri,M,93,176.0,147,M,791578,EUR,750556800,M,15,15,False,33.0,22.0,4.0,1.0,0.0,8.0,10.0,14.0,23.0,,,7.0,4.0,1.0,6.0,1.0,,,,90.0,51.0,6.9,15.0,2,,5.0,2.0,1.0,,1.0,,,,3.0,2.0,,,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,
12625008,home,Al Raed,Mohamed Fouzair,mohamed-fouzair,M. Fouzair,M,,168.0,271,M,893191,EUR,693532800,F,10,10,False,32.0,23.0,2.0,1.0,0.0,10.0,11.0,13.0,22.0,,1.0,6.0,6.0,,,3.0,,,,89.0,50.0,7.1,15.0,2,1.0,4.0,1.0,1.0,1.0,2.0,,,,2.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,True,,,,,
12625008,home,Al Raed,Amir Saâyoud,amir-saayoud,A. Saâyoud,F,11,170.0,2347,M,309154,EUR,654652800,F,7,7,False,28.0,26.0,5.0,4.0,0.0,5.0,6.0,21.0,25.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,,,,89.0,48.0,7.6,7.0,4,3.0,2.0,2.0,1.0,,1.0,,,,,,2.0,1.0,1.0,3.0,3.0,1.0,,1.0,,,,,,,,
