match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_expectedGoals,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wonTackle,stat_fouls,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalCross,stat_challengeLost,stat_accurateCross,stat_dispossessed,stat_outfielderBlock,captain,player_lastName,stat_bigChanceCreated,player_sofascoreId,stat_hitWoodwork,stat_goals,stat_totalOffside
12117261,home,Athletico,Mycael,Mycael,mycael,Mycael,G,1,191,790,M,1128850,EUR,1079049600,G,41,41,False,20.0,8.0,15.0,3.0,0.0,6.0,6.0,2.0,14.0,6.0,1.0,1.0,2.0,1.0,1.0,90.0,27.0,6.5,13.0,0.00118434,0,-0.4639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117261,home,Athletico,Madson,,madson,Madson,D,22,182,227,M,243439,EUR,695260800,D,22,22,False,31.0,27.0,6.0,6.0,0.0,12.0,14.0,15.0,17.0,4.0,1.0,,,,,90.0,44.0,6.9,7.0,0.0130863,1,,7.0,4.0,7.0,6.0,1.0,2.0,2.0,1.0,1.0,0.0535,,,,,,,,,,,,,,,,,,,,,
12117261,home,Athletico,Kaique Rocha,,kaique-rocha,K. Rocha,D,27,195,456,M,963990,EUR,983318400,D,4,4,False,47.0,41.0,5.0,3.0,0.0,28.0,30.0,13.0,17.0,11.0,,,,,,90.0,56.0,6.9,6.0,0.00688941,2,,,3.0,4.0,6.0,,1.0,,2.0,,0.1965,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.5365,1.0,,,,,,,,,,,,
12117261,home,Athletico,Mateo Gamarra,,gamarra-mateo,M. Gamarra,D,14,185,727,M,1085451,EUR,972000000,D,15,15,False,34.0,27.0,7.0,2.0,0.0,12.0,14.0,15.0,21.0,4.0,,,,,,63.0,43.0,6.5,9.0,0.00967494,2,,,,2.0,1.0,1.0,,1.0,1.0,,0.0402,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,
12117261,home,Athletico,Tomás Cuello,,tomas-cuello,T. Cuello,M,28,176,1951,M,871273,EUR,952214400,M,28,28,False,16.0,10.0,,,0.0,3.0,4.0,9.0,15.0,4.0,1.0,,,,,45.0,40.0,6.7,16.0,0.0955035,0,,1.0,,6.0,4.0,,,2.0,1.0,1.0,,6.0,2.0,,,,,,,2.0,3.0,,2.0,1.0,1.0,,,,,,,
12117261,home,Athletico,Erick,,erick,Erick,M,14,176,1116,M,874063,EUR,879465600,M,26,26,False,45.0,38.0,7.0,6.0,0.0,14.0,15.0,24.0,30.0,5.0,3.0,,,,,90.0,66.0,7.7,12.0,0.0546229,2,,1.0,5.0,4.0,11.0,1.0,1.0,2.0,1.0,3.0,0.0723,3.0,2.0,,1.0,,1.0,,,2.0,,2.0,,,,True,,,,,,
12117261,home,Athletico,Gabriel Girotto,,gabriel-girotto,Gabriel,M,6,171,540,M,242052,EUR,710726400,M,3,3,False,33.0,30.0,3.0,3.0,0.0,20.0,21.0,10.0,12.0,2.0,,,,,,63.0,46.0,7.1,3.0,0.00912284,1,,1.0,1.0,4.0,5.0,,4.0,1.0,3.0,1.0,0.0158,,,,1.0,,2.0,,,,,3.0,,,1.0,,,,,,,
12117261,home,Athletico,Lucas Esquivel,Lucas Esquivel,lucas-esquivel,L. Esquivel,D,37,183,1067,M,1087079,EUR,1003017600,M,37,37,False,65.0,54.0,12.0,5.0,0.0,23.0,23.0,34.0,52.0,5.0,1.0,,,,,90.0,105.0,7.5,25.0,0.150953,2,,,,5.0,7.0,1.0,3.0,1.0,3.0,2.0,0.0463,4.0,2.0,,1.0,,1.0,1.0,,4.0,10.0,,3.0,2.0,,,,,,,,
12117261,home,Athletico,Bruno Zapelli,,bruno-zapelli,Bruno Zapelli,M,10,181,1443,M,1092354,EUR,1021507200,F,10,10,False,25.0,18.0,2.0,,0.0,6.0,7.0,13.0,24.0,2.0,,,,,,45.0,36.0,7.0,12.0,0.0668762,0,,2.0,,2.0,3.0,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,2.0,6.0,,1.0,,,,,,,,,
12117261,home,Athletico,Agustín Canobbio,,agustin-canobbio,A. Canobbio,M,17,175,3082,M,846413,EUR,907200000,F,14,14,False,30.0,27.0,1.0,1.0,0.0,7.0,7.0,22.0,26.0,5.0,5.0,,,,,90.0,66.0,7.2,17.0,0.316155,3,,1.0,,9.0,9.0,3.0,,1.0,2.0,5.0,0.1414,6.0,2.0,,,,,2.0,,3.0,3.0,,2.0,2.0,,,,1.0,,,,
