match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_dispossessed,stat_errorLeadToAGoal,stat_fouls,stat_keyPass,stat_totalCross,stat_outfielderBlock,stat_wasFouled,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_shotOffTarget,stat_accurateCross,stat_totalOffside,stat_clearanceOffLine,stat_goodHighClaim,stat_totalKeeperSweeper,player_sofascoreId,stat_blockedScoringAttempt,stat_goals
12499398,home,Holstein Kiel,Lewis Holtby,lewis-holtby,L. Holtby,M,90,176,208,M,1135884,EUR,653616000,M,10,10,True,,27.0,25.0,1.0,,0.0,17.0,18.0,8.0,11.0,1.0,,1.0,1.0,2.0,3.0,,,,,27.0,35.0,6.9,4.0,0.0154609,0,,Lewis,Holtby,,1.0,1.0,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
12499398,home,Holstein Kiel,Fiete Arp,jann-fiete-arp,F. Arp,F,7,186,976,M,877837,EUR,947116800,F,20,20,True,,3.0,2.0,1.0,1.0,0.0,,,3.0,5.0,,,4.0,1.0,,1.0,,,,,27.0,8.0,6.5,4.0,0.0384733,0,,,,,2.0,1.0,,,,,1.0,,2.0,,2.0,,,,,,,,,1.0,,,,,,,
12499398,home,Holstein Kiel,Andu Yobel Kelati,andu-yobel-kelati,A. Y. Kelati,F,16,181,53,M,1021087,EUR,1029196800,M,16,16,True,,6.0,4.0,1.0,1.0,0.0,2.0,2.0,2.0,4.0,,,,1.0,,1.0,,,,,15.0,8.0,6.7,2.0,0.00230419,0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
12499398,home,Holstein Kiel,Max Geschwill,geschwill-max,M. Geschwill,D,28,182,46,M,963073,EUR,994464000,D,14,14,True,,7.0,5.0,,,0.0,3.0,4.0,2.0,3.0,,,,,,,,,,,12.0,10.0,6.7,3.0,0.0120975,1,,,,,,,,,,1.0,,,,,,,,,1.0,0.0234,0.2307,,,,,,,,,,
12499398,home,Holstein Kiel,Thomas Dähne,thomas-dahne,T. Dähne,G,21,193,74,M,126346,EUR,757641600,G,21,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499398,home,Holstein Kiel,Marcel Engelhardt,marcel-engelhardt,M. Engelhardt,G,31,191,25,M,126531,EUR,733968000,G,31,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499398,home,Holstein Kiel,Marvin Schulz,marvin-schulz,M. Schulz,M,10,186,43,M,254445,EUR,790128000,M,15,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499398,away,Bayer 04 Leverkusen,Matěj Kovář,matej-kovar,M. Kovář,G,32,196,2046,M,927366,EUR,958521600,G,17,17,False,,21.0,13.0,12.0,4.0,0.0,12.0,13.0,1.0,8.0,,1.0,,1.0,1.0,10.0,,1.0,3.0,1.0,90.0,30.0,7.5,9.0,0.00014086,0,0.6766,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
12499398,away,Bayer 04 Leverkusen,Edmond Tapsoba,edmond-tapsoba,E. Tapsoba,D,12,193,33838,M,883262,EUR,917913600,D,12,12,False,,59.0,41.0,19.0,11.0,0.0,15.0,20.0,26.0,40.0,3.0,2.0,3.0,5.0,3.0,4.0,,,,,90.0,72.0,7.7,22.0,0.0534526,2,,,,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,1.0,0.0655,0.4004,,1.0,,,,,,edmondtapsoba,,
12499398,away,Bayer 04 Leverkusen,Jonathan Tah,jonathan-tah,J. Tah,D,4,194,9454,M,227672,EUR,823996800,D,4,4,False,True,47.0,45.0,4.0,3.0,0.0,27.0,29.0,18.0,18.0,1.0,4.0,1.0,4.0,3.0,3.0,,,,,90.0,58.0,7.4,2.0,0.0255565,2,,,,,,,2.0,,,,,,,,,,,,,0.071,,,1.0,,,,,,jonatah,1.0,
12499398,away,Bayer 04 Leverkusen,Piero Hincapié,piero-hincapie,P. Hincapié,D,5,184,31047,M,1002837,EUR,1010534400,D,3,3,False,,64.0,58.0,7.0,4.0,0.0,34.0,36.0,24.0,28.0,2.0,3.0,3.0,7.0,3.0,4.0,,,,,90.0,78.0,7.7,7.0,0.0422105,1,,,,,,,2.0,1.0,1.0,,,,1.0,1.0,,,3.0,,,0.1511,,,1.0,,,,,,pierohincapie,,
12499398,away,Bayer 04 Leverkusen,Jeremie Frimpong,jeremie-frimpong,J. Frimpong,M,30,171,32709,M,970361,EUR,976406400,M,30,30,False,,22.0,17.0,,,0.0,6.0,6.0,11.0,20.0,,1.0,3.0,3.0,,1.0,,,,,83.0,38.0,6.8,11.0,0.0302918,1,,,,1.0,,,,2.0,1.0,1.0,,,2.0,1.0,4.0,,,,,0.0409,,,,,2.0,,,,jeremie_frimpong,1.0,
12499398,away,Bayer 04 Leverkusen,Robert Andrich,robert-andrich,R. Andrich,M,8,189,3316,M,168903,EUR,780192000,M,8,8,False,,34.0,29.0,4.0,2.0,0.0,9.0,10.0,20.0,26.0,,2.0,,3.0,1.0,3.0,,,,,90.0,42.0,6.9,7.0,0.0969149,1,,,,,,,,1.0,1.0,,,,,,2.0,,,,,0.0425,,,,,,,,,,1.0,
12499398,away,Bayer 04 Leverkusen,Granit Xhaka,granit-xhaka,G. Xhaka,M,34,185,15706,M,117777,EUR,717552000,M,34,34,False,,72.0,66.0,8.0,6.0,0.0,23.0,23.0,44.0,51.0,,1.0,2.0,4.0,1.0,11.0,,,,,90.0,86.0,7.3,10.0,0.112306,0,,,,,1.0,,,2.0,1.0,2.0,,,1.0,,2.0,,2.0,,,,,,,1.0,,,,,Granit_Xhaka,,
12499398,away,Bayer 04 Leverkusen,Alejandro Grimaldo,alejandro-grimaldo,A. Grimaldo,M,20,171,13099,M,177177,EUR,811555200,M,20,20,False,,79.0,61.0,10.0,4.0,0.0,15.0,19.0,53.0,79.0,,1.0,3.0,1.0,7.0,9.0,,,,,90.0,124.0,8.2,35.0,0.68014,1,,,,3.0,,,,,,1.0,,,,6.0,19.0,,,,,0.0323,,1.0,1.0,7.0,,,,,grimaldo35,,
12499398,away,Bayer 04 Leverkusen,Patrik Schick,patrik-schick,P. Schick,F,14,191,10655,M,280609,EUR,822441600,F,14,14,False,,18.0,16.0,,,0.0,3.0,3.0,13.0,15.0,1.0,4.0,6.0,7.0,3.0,1.0,,,,,83.0,35.0,7.8,7.0,0.0283078,5,,,,1.0,,,,,,4.0,1.0,,3.0,1.0,,,3.0,1.0,4.0,0.5563,1.5897,,1.0,,,,,,p_shicky,,1.0
12499398,away,Bayer 04 Leverkusen,Florian Wirtz,florian-wirtz,F. Wirtz,F,7,175,148971,M,1019322,EUR,1051920000,F,10,10,False,,61.0,50.0,,,1.0,5.0,6.0,45.0,61.0,3.0,1.0,7.0,4.0,1.0,13.0,,,,,90.0,80.0,8.1,20.0,0.450372,2,,,,1.0,5.0,2.0,,,,,,,,2.0,6.0,,1.0,1.0,1.0,0.4571,0.2454,1.0,1.0,,1.0,,,,FWirtz,,
12499398,away,Bayer 04 Leverkusen,Amine Adli,amine-adli,A. Adli,F,21,174,17615,M,991478,EUR,957916800,F,21,21,False,,19.0,11.0,,,0.0,,1.0,11.0,21.0,2.0,2.0,6.0,4.0,,1.0,,,,,70.0,33.0,7.8,17.0,0.0164567,2,,,,2.0,1.0,,,1.0,,4.0,,,1.0,1.0,3.0,,1.0,,2.0,0.3733,0.9432,,,,,,,,amine_ad10,,1.0
12499398,away,Bayer 04 Leverkusen,Emiliano Buendía,emiliano-buendia,E. Buendía,M,10,170,7661,M,783126,EUR,851472000,M,16,16,True,,16.0,13.0,1.0,1.0,0.0,4.0,5.0,9.0,11.0,1.0,,2.0,,,2.0,,,,,20.0,19.0,6.9,6.0,0.169503,0,,,,,,,,,,3.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,EM10Buendia,,
12499398,away,Bayer 04 Leverkusen,Nordi Mukiele,nordi-mukiele,N. Mukiele,D,20,185,6333,M,780014,EUR,878342400,D,23,23,True,,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,,,,,11.0,2.0,6.5,,0.00064874,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499398,away,Bayer 04 Leverkusen,Victor Okoh Boniface,victor-okoh-boniface,V. O. Boniface,F,22,193,28590,M,978521,EUR,977529600,F,22,22,True,,4.0,2.0,,,0.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,,,,,,,11.0,7.0,6.7,3.0,0.00052102,1,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,0.0557,,,1.0,,,,,,boniface_jrn,,
12499398,away,Bayer 04 Leverkusen,Lukáš Hrádecký,lukas-hradecky,L. Hrádecký,G,1,190,2547,M,15219,EUR,627868800,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499398,away,Bayer 04 Leverkusen,Mario Hermoso,mario-hermoso,M. Hermoso,D,22,184,2637,M,353130,EUR,803433600,D,5,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499398,away,Bayer 04 Leverkusen,Arthur,arthur,Arthur,D,13,173,2973,M,1174761,EUR,1047859200,D,13,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Arthur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499398,away,Bayer 04 Leverkusen,Aleix García,aleix-garcia,A. García,M,24,173,4597,M,796047,EUR,867456000,M,24,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlexGarcia97,,
12499398,away,Bayer 04 Leverkusen,Exequiel Palacios,exequiel-palacios,E. Palacios,M,25,177,12684,M,822600,EUR,907545600,M,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exepalaciosok,,
12499398,away,Bayer 04 Leverkusen,Jonas Hofmann,jonas-hofmann,J. Hofmann,F,7,176,2115,M,142390,EUR,711072000,M,7,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
