match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_aerialLost,stat_outfielderBlock,stat_fouls,player_firstName,player_lastName,stat_challengeLost,stat_clearanceOffLine,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_accurateCross,captain,stat_wasFouled,stat_onTargetScoringAttempt,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,player_sofascoreId,stat_hitWoodwork,stat_goalAssist,stat_bigChanceCreated,stat_goals
11028819,home,Bristol City,Max O'Leary,max-oleary,M. O'Leary,G,1,185.0,170,M,360388,EUR,844905600,G,12,12,False,34.0,15.0,32.0,13.0,10.0,13.0,5.0,21.0,8.0,1.0,1.0,1.0,2.0,2.0,2.0,90.0,44.0,6.0,21.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11028819,home,Bristol City,George Tanner,tanner-george,G. Tanner,D,19,181.0,60,M,927367,EUR,942710400,D,19,19,False,7.0,4.0,1.0,,3.0,3.0,1.0,5.0,1.0,,,,,,,45.0,16.0,6.4,5.0,0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11028819,home,Bristol City,Zak Vyner,zak-vyner,Z. Vyner,D,26,178.0,166,M,829186,EUR,863568000,D,26,26,False,29.0,20.0,7.0,2.0,16.0,19.0,4.0,10.0,3.0,1.0,,,,,,90.0,42.0,6.2,11.0,0,,,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11028819,home,Bristol City,Tomáš Kalas,tomas-kalas,T. Kalas,D,26,184.0,208,M,94099,EUR,737424000,D,22,22,False,32.0,29.0,4.0,2.0,25.0,25.0,4.0,7.0,4.0,1.0,,,,,,90.0,47.0,7.1,6.0,0,,1.0,3.0,2.0,1.0,,,4.0,1.0,1.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11028819,home,Bristol City,Cameron Pring,cameron-pring,C. Pring,D,3,185.0,62,M,909763,EUR,885427200,D,16,16,False,30.0,19.0,4.0,1.0,14.0,18.0,6.0,13.0,8.0,,,,,,,77.0,53.0,6.6,15.0,0,1.0,2.0,6.0,5.0,,3.0,1.0,3.0,1.0,2.0,2.0,1.0,,,1.0,,2.0,2.0,,1.0,,,,,,,,,,,
11028819,home,Bristol City,Matty James,matty-james,M. James,M,37,183.0,90,M,54331,EUR,680140800,M,6,6,False,38.0,32.0,7.0,4.0,22.0,23.0,10.0,17.0,13.0,,,,,,,89.0,44.0,6.7,8.0,0,2.0,1.0,2.0,4.0,,,,1.0,,,,,,,2.0,,3.0,3.0,1.0,,True,,,,,,,,,,
11028819,home,Bristol City,Joe Williams,joe-williams,J. Williams,M,8,185.0,52,M,784501,EUR,850003200,M,8,8,False,34.0,26.0,7.0,3.0,14.0,14.0,12.0,22.0,6.0,1.0,,,,,,89.0,44.0,6.0,13.0,0,2.0,,6.0,4.0,2.0,1.0,1.0,,,,,1.0,,,3.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,
11028819,home,Bristol City,Mark Sykes,mark-sykes,M. Sykes,M,17,182.0,137,M,560196,EUR,870652800,M,17,17,False,21.0,13.0,4.0,1.0,11.0,14.0,3.0,11.0,7.0,1.0,,,,,,90.0,35.0,6.3,13.0,0,4.0,,3.0,1.0,,,,1.0,1.0,1.0,,,,,2.0,,,,1.0,1.0,,1.0,,,,,,,,,
11028819,home,Bristol City,Alex Scott,alex-scott,A. Scott,M,8,178.0,2368,M,1104986,EUR,1061424000,M,7,7,False,24.0,20.0,2.0,2.0,10.0,11.0,10.0,14.0,3.0,1.0,,,,,,90.0,40.0,7.0,10.0,1,1.0,2.0,4.0,11.0,2.0,6.0,5.0,,,,,1.0,Alex Scott,,,,2.0,1.0,,,,2.0,1.0,,,,,,,,
11028819,home,Bristol City,Sam Bell,sam-bell,S. Bell,F,20,178.0,96,M,1093053,EUR,1022112000,M,20,20,False,8.0,7.0,,,4.0,5.0,3.0,3.0,2.0,1.0,,,,,,90.0,20.0,6.2,4.0,3,,2.0,7.0,3.0,2.0,,,,,3.0,,1.0,Sam Bell,,1.0,,1.0,1.0,,,,,,2.0,1.0,2.0,,,,,
11028819,home,Bristol City,Nahki Wells,nahki-wells,N. Wells,F,21,170.0,310,M,145182,EUR,644198400,F,21,21,False,19.0,12.0,,,8.0,10.0,4.0,9.0,2.0,2.0,,,,,,82.0,25.0,6.3,9.0,0,,3.0,8.0,5.0,,,,,,1.0,,4.0,,,3.0,,,,,,,2.0,,,,1.0,,,,,
