match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_totalTackle,stat_wasFouled,stat_challengeLost,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_penaltyConceded,stat_fouls,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalOffside,stat_keyPass,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_penaltyWon,stat_goals
11370020,home,SV 07 Elversberg,Nicolas Kristof,Nicolas Kristof,,nicolas-kristof,N. Kristof,G,20,186,131,M,1131080,EUR,945648000,G,20,20,False,40.0,32.0,16.0,9.0,26.0,27.0,6.0,13.0,1.0,18.0,2.0,5.0,1.0,8.0,2.0,2.0,90.0,59.0,9.3,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11370020,home,SV 07 Elversberg,Kevin Conrad,,,kevin-conrad,K. Conrad,D,,181,4,M,50023,EUR,650246400,D,4,4,False,40.0,31.0,4.0,1.0,22.0,25.0,9.0,15.0,6.0,5.0,,,,,,,64.0,53.0,7.0,9.0,0,True,2.0,2.0,2.0,6.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
11370020,home,SV 07 Elversberg,Carlo Sickinger,,,carlo-sickinger,C. Sickinger,M,23,182,29,M,845653,EUR,870134400,D,23,23,False,62.0,44.0,15.0,5.0,29.0,33.0,15.0,29.0,9.0,9.0,,,,,,,90.0,84.0,7.9,19.0,0,,,4.0,2.0,7.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,
11370020,home,SV 07 Elversberg,Marcel Correia,,,marcel-correia,M. Correia,D,,186,14,M,39846,EUR,611280000,D,13,13,False,8.0,7.0,1.0,1.0,4.0,4.0,3.0,4.0,,1.0,,,,,,,13.0,9.0,6.5,2.0,0,,,2.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
11370020,home,SV 07 Elversberg,Manuel Feil,,,manuel-feil,M. Feil,M,7,169,16,M,814221,EUR,781574400,M,7,7,False,34.0,25.0,2.0,2.0,15.0,18.0,10.0,16.0,4.0,6.0,,,,,,,83.0,49.0,6.1,12.0,0,,2.0,4.0,8.0,8.0,1.0,2.0,1.0,4.0,,1.0,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,
11370020,home,SV 07 Elversberg,Thore Jacobsen,Thore,Jacobsen,thore-jacobsen,T. Jacobsen,M,5,182,33,M,798117,EUR,861408000,M,31,31,False,48.0,39.0,4.0,4.0,22.0,26.0,18.0,23.0,,8.0,,,,,,,90.0,62.0,7.0,12.0,0,,1.0,,3.0,5.0,,3.0,,,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,
11370020,home,SV 07 Elversberg,Semih Şahin,,,semih-sahin,S. Şahin,M,8,175,143,M,978767,EUR,945820800,M,8,8,False,46.0,36.0,7.0,3.0,21.0,21.0,15.0,25.0,1.0,10.0,,,,,,,90.0,58.0,7.0,11.0,0,,2.0,,5.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,,,,,,,,1.0,,,,,,,,,,
11370020,home,SV 07 Elversberg,Maurice Neubauer,,,maurice-neubauer,M. Neubauer,D,33,180,56,M,788286,EUR,830736000,M,33,33,False,31.0,19.0,9.0,5.0,7.0,14.0,12.0,18.0,2.0,4.0,,,,,,,90.0,50.0,6.4,19.0,0,,2.0,1.0,7.0,4.0,,2.0,,2.0,,,1.0,2.0,1.0,,2.0,1.0,,,,,,,,,,,,
11370020,home,SV 07 Elversberg,Luca Schnellbacher,,,luca-schnellbacher,L. Schnellbacher,F,24,183,84,M,254133,EUR,768182400,F,24,24,False,28.0,22.0,1.0,,13.0,14.0,10.0,15.0,1.0,1.0,,,,,,,90.0,40.0,6.6,11.0,0,,2.0,4.0,6.0,5.0,,,1.0,,,,3.0,,,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,
11370020,home,SV 07 Elversberg,Jannik Rochelt,,,jannik-rochelt,J. Rochelt,M,22,182,72,M,896159,EUR,906854400,F,10,10,False,29.0,23.0,,,9.0,10.0,14.0,20.0,,3.0,,,,,,,90.0,45.0,6.8,15.0,0,,3.0,,8.0,3.0,,2.0,1.0,1.0,,1.0,5.0,1.0,,,2.0,1.0,,1.0,,2.0,,,,,,,,
11370020,home,SV 07 Elversberg,Wahid Faghir,,,wahid-faghir,W. Faghir,F,19,185,496,M,1000397,EUR,1059436800,F,29,29,False,11.0,4.0,2.0,,,2.0,4.0,9.0,1.0,2.0,,,,,,,58.0,21.0,6.5,12.0,1,,5.0,,7.0,1.0,,,1.0,,,,4.0,,,,1.0,,,1.0,,,1.0,,,,,,,
11370020,home,SV 07 Elversberg,Lukas Finn Pinckert,,,lukas-finn-pinckert,L. F. Pinckert,D,19,189,44,M,990105,EUR,948499200,D,19,19,True,41.0,31.0,4.0,1.0,22.0,28.0,9.0,14.0,5.0,9.0,,,,,,,77.0,64.0,7.4,13.0,0,,3.0,1.0,4.0,7.0,2.0,4.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,
11370020,home,SV 07 Elversberg,Paul Stock,,,paul-stock,P. Stock,M,10,188,51,M,1097603,EUR,852681600,F,21,21,True,18.0,10.0,5.0,2.0,3.0,6.0,7.0,13.0,,2.0,,,,,,,32.0,30.0,7.1,11.0,4,,1.0,1.0,3.0,5.0,,1.0,1.0,,,1.0,,2.0,2.0,,,1.0,,2.0,,,2.0,1.0,2.0,1.0,,,,
11370020,home,SV 07 Elversberg,Arne Sicker,,,arne-sicker,A. Sicker,D,17,184,16,M,828972,EUR,861235200,D,26,26,True,18.0,8.0,5.0,1.0,6.0,7.0,2.0,12.0,,4.0,,,,,,,26.0,24.0,6.2,12.0,0,,1.0,1.0,4.0,3.0,,1.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
11370020,home,SV 07 Elversberg,Tim Boss,,,tim-boss,T. Boss,G,28,185,23,M,142470,EUR,741225600,G,28,28,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11370020,home,SV 07 Elversberg,Nico Antonitsch,,,nico-antonitsch,N. Antonitsch,D,,185,7,M,165209,EUR,686188800,D,35,35,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11370020,home,SV 07 Elversberg,Luca Dürholtz,,,luca-durholtz,L. Dürholtz,M,11,176,12,M,97929,EUR,745632000,M,11,11,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
