match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_shotValueNormalized,captain,stat_bigChanceCreated,stat_outfielderBlock,stat_keyPass,stat_accurateCross,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goals,stat_wasFouled,stat_bigChanceMissed,stat_goodHighClaim,stat_clearanceOffLine,stat_errorLeadToAGoal,player_sofascoreId
14065118,home,1. FC Heidenheim,Diant Ramaj,ramaj-diant,D. Ramaj,G,41,189,935,M,981562,EUR,1000857600,G,41,41,False,46.0,38.0,21.0,13.0,0.0,30.0,30.0,8.0,16.0,10.0,1.0,2.0,90.0,53.0,6.7,9.0,0.00289752,0.1225,0,-0.6518,0.09,0.02,-0.15,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065118,home,1. FC Heidenheim,Haktab Omar Traore,haktab-omar-traore,H. O. Traore,D,23,184,112,M,920022,EUR,886550400,D,23,23,False,44.0,36.0,8.0,5.0,0.0,16.0,17.0,20.0,27.0,3.0,,,90.0,65.0,6.3,14.0,0.0721096,,1,,0.35,0.1,-0.4,,,,3.0,2.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0241,-0.11,,,,,,,,,,,,,,,,,
14065118,home,1. FC Heidenheim,Patrick Mainka,patrick-mainka,P. Mainka,D,6,194,320,M,254429,EUR,784080000,D,6,6,False,63.0,58.0,8.0,5.0,1.0,38.0,39.0,20.0,24.0,4.0,,,90.0,78.0,7.1,5.0,0.237949,,1,,0.48,0.06,-0.11,,,,,3.0,5.0,4.0,5.0,,,,,1.0,7.0,1.0,,1.0,,0.0255,-0.21,True,1.0,1.0,1.0,,,,,,,,,,,,,
14065118,home,1. FC Heidenheim,Tim Siersleben,tim-siersleben,T. Siersleben,D,4,187,118,M,988252,EUR,952560000,D,4,4,False,53.0,41.0,14.0,5.0,0.0,23.0,24.0,18.0,29.0,6.0,,,90.0,68.0,6.4,15.0,0.212341,,2,,0.36,0.07,-0.38,,,,2.0,1.0,1.0,3.0,3.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,,0.1529,-0.04,,,,2.0,2.0,1.0,2.0,1.0,0.0463,,,,,,,,
14065118,home,1. FC Heidenheim,Jonas Föhrenbach,jonas-fohrenbach,J. Föhrenbach,D,19,185,79,M,311676,EUR,822614400,D,19,19,False,40.0,34.0,2.0,,0.0,7.0,7.0,27.0,33.0,5.0,,,90.0,77.0,7.9,17.0,0.171152,,2,,0.27,0.15,-0.3,,,,13.0,,1.0,,4.0,,,,,,1.0,,1.0,,,0.4462,0.52,,,,2.0,3.0,1.0,2.0,1.0,0.8908,1.0,1.0,1.0,,,,,
14065118,home,1. FC Heidenheim,Adrian Beck,adrian-beck,A. Beck,M,21,186,112,M,845742,EUR,865814400,M,21,21,False,36.0,29.0,1.0,1.0,0.0,10.0,12.0,19.0,24.0,3.0,,,79.0,56.0,7.9,12.0,0.220925,,2,,0.45,0.3,0.2,,,,,1.0,,6.0,7.0,1.0,1.0,3.0,2.0,,2.0,1.0,3.0,2.0,,0.117,0.12,,,1.0,3.0,,1.0,2.0,2.0,0.2587,1.0,,3.0,,,,,
14065118,home,1. FC Heidenheim,Jan Schöppner,jan-schoppner,J. Schöppner,M,3,190,163,M,933707,EUR,929145600,M,3,3,False,32.0,25.0,3.0,3.0,0.0,15.0,15.0,10.0,17.0,1.0,,,63.0,41.0,7.2,10.0,0.0753392,,1,,0.1,0.06,-0.01,,,,,1.0,1.0,3.0,4.0,,1.0,1.0,,1.0,1.0,,,,,0.0698,-0.21,,1.0,,1.0,,,2.0,2.0,,,,1.0,,,,,
14065118,home,1. FC Heidenheim,Niklas Dorsch,dorsch-niklas,N. Dorsch,M,30,175,332,M,794995,EUR,884822400,M,30,30,False,42.0,36.0,5.0,4.0,0.0,13.0,14.0,23.0,28.0,8.0,,,79.0,58.0,6.9,9.0,0.178401,,5,,0.37,0.15,-0.16,,,,,1.0,,5.0,4.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,,0.1348,0.0,,,,2.0,,2.0,1.0,,0.1531,2.0,,2.0,,,,,
14065118,home,1. FC Heidenheim,Arijon Ibrahimović,arijon-ibrahimovic,A. Ibrahimović,F,22,176,2950,M,1142248,EUR,1134259200,M,22,22,False,43.0,34.0,2.0,2.0,0.0,9.0,11.0,25.0,32.0,4.0,,,90.0,73.0,6.8,20.0,0.164758,,8,,0.29,0.31,-0.24,,,,10.0,1.0,,5.0,3.0,2.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,,0.596,0.02,,,,3.0,2.0,3.0,,,0.9033,4.0,,1.0,,,,,
14065118,home,1. FC Heidenheim,Mikkel Kaufmann,mikkel-kaufmann,M. K. Sorensen,F,29,190,279,M,918437,EUR,978480000,F,29,29,False,9.0,8.0,,,0.0,4.0,4.0,4.0,5.0,,,,33.0,13.0,6.5,2.0,0.0105436,,1,,-0.04,0.06,0.0,,,,,1.0,1.0,2.0,2.0,,,,,,,,1.0,1.0,,0.0912,-0.19,,,,,,,1.0,,,1.0,,,,,,,
