match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_challengeLost,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_totalTackle,stat_wonTackle,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_shotOffTarget,stat_expectedGoals,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_totalOffside,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed
12437539,home,Osasuna,Sergio Herrera,sergio-herrera,S. Herrera,G,1,192,995,M,294377,EUR,736646400,G,1,1,False,True,19.0,15.0,6.0,2.0,0.0,15.0,15.0,4.0,1.0,1.0,15.0,1.0,1.0,2.0,3.0,1.0,1.0,90.0,36.0,7.5,4.0,0.00024255,0,0.7095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437539,home,Osasuna,Jesús Areso,jesus-areso,J. Areso,D,12,183,656,M,910267,EUR,930873600,D,12,12,False,,39.0,33.0,3.0,1.0,0.0,9.0,10.0,34.0,2.0,1.0,5.0,2.0,,,,,,90.0,61.0,7.0,17.0,0.0313472,0,,,,24.0,5.0,2.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12437539,home,Osasuna,Flavien Boyomo,boyomo-flavien,F. Boyomo,D,22,181,2526,M,1067582,EUR,1002412800,D,22,22,False,,58.0,56.0,2.0,1.0,0.0,30.0,30.0,28.0,2.0,2.0,1.0,,,,,,,90.0,65.0,7.1,3.0,0.010695,0,,,,26.0,,3.0,,1.0,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
12437539,home,Osasuna,Alejandro Catena,alejandro-catena,A. Catena,D,24,194,940,M,900792,EUR,783302400,D,24,24,False,,46.0,44.0,3.0,1.0,0.0,24.0,24.0,22.0,1.0,4.0,3.0,,,,,,,45.0,53.0,6.9,3.0,0.0104349,0,,,,20.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
12437539,home,Osasuna,Jorge Herrando,herrando-jorge,J. Herrando,D,5,192,259,M,944225,EUR,983318400,D,5,5,False,,78.0,72.0,1.0,1.0,0.0,42.0,43.0,37.0,1.0,8.0,,,,,,,,90.0,95.0,7.4,9.0,0.00922358,1,,,,30.0,2.0,2.0,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,0.0849,,,,,,,,,,,,
12437539,home,Osasuna,Abel Bretones,abel-bretones,A. Bretones,D,23,188,428,M,1010165,EUR,966816000,D,23,23,False,,33.0,29.0,2.0,1.0,0.0,14.0,15.0,19.0,2.0,2.0,4.0,1.0,,,,,,66.0,54.0,6.5,8.0,0.0294974,0,,,,16.0,1.0,7.0,3.0,1.0,,1.0,1.0,1.0,,,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,
12437539,home,Osasuna,Pablo Ibáñez,pablo-ibanez-lumbreras,P. Ibáñez,M,19,179,350,M,1084381,EUR,883612800,M,8,8,False,,14.0,12.0,,,0.0,5.0,5.0,11.0,3.0,,2.0,,,,,,,45.0,23.0,6.6,6.0,0.0067878,0,,,,7.0,2.0,8.0,2.0,2.0,3.0,,3.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,
12437539,home,Osasuna,Lucas Torró,lucas-torro,L. Torró,M,6,190,714,M,187313,EUR,774576000,M,6,6,False,,50.0,42.0,9.0,8.0,0.0,10.0,11.0,39.0,7.0,4.0,,1.0,,,,,,90.0,62.0,7.2,10.0,0.0253735,0,,,,32.0,,1.0,,1.0,1.0,,,2.0,,4.0,,,,,,1.0,,,,,,,,,,
12437539,home,Osasuna,Aimar Oroz,aimar-oroz,A. Oroz,M,10,177,1253,M,985329,EUR,1006819200,M,10,10,False,,33.0,28.0,,,0.0,4.0,6.0,27.0,2.0,,4.0,1.0,,,,,,90.0,40.0,6.5,9.0,0.0263479,2,,,,24.0,,5.0,1.0,,,,,,,1.0,,,2.0,0.0537,,1.0,3.0,,,,,,,,,
12437539,home,Osasuna,Rubén García,ruben-garcia,R. García,M,14,171,1085,M,260031,EUR,742608000,F,14,14,False,,51.0,42.0,3.0,3.0,0.0,10.0,13.0,45.0,3.0,,3.0,1.0,,,,,,89.0,67.0,8.0,16.0,0.0777138,1,,,,33.0,7.0,3.0,,1.0,3.0,2.0,,2.0,1.0,,,,,0.0339,1.0,,,,,1.0,1.0,0.5674,,,,
