match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_keyPass,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_dispossessed,stat_shotOffTarget,stat_wonContest,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,stat_blockedScoringAttempt,stat_savedShotsFromInsideTheBox,stat_punches,stat_outfielderBlock,player_sofascoreId
11369326,home,Cádiz,Jeremías Ledesma,jeremias-ledesma,C. Ledesma,G,23,186,1063,M,341097,EUR,729561600,G,1,1,False,39.0,27.0,22.0,10.0,19.0,20.0,8.0,19.0,15.0,1.0,4.0,1.0,1.0,90.0,51.0,7.8,12.0,0.0,0.0,0.00432327,0,0.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369326,home,Cádiz,Iza Carcelén,iza-carcelen,I. Carcelén,D,20,174,127,M,800403,EUR,735523200,D,20,20,False,40.0,29.0,2.0,1.0,10.0,12.0,20.0,29.0,5.0,,,,,90.0,57.0,7.3,12.0,0.1997,0.6029,0.0480417,1,,True,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11369326,home,Cádiz,Luis Hernández,luis-hernandez,L. Hernández,D,,182,89,M,260097,EUR,608515200,D,23,23,False,69.0,54.0,11.0,2.0,31.0,37.0,23.0,32.0,4.0,,,,,90.0,82.0,6.9,21.0,0.0,0.0,0.0352016,0,,,,,1.0,2.0,2.0,,,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,
11369326,home,Cádiz,Fali,fali,Fali,D,,186,193,M,349794,EUR,745113600,D,3,3,False,43.0,32.0,9.0,3.0,21.0,24.0,11.0,19.0,10.0,,,,,90.0,52.0,7.0,12.0,0.0,0.0,0.0134494,0,,,,,,1.0,2.0,,,,4.0,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,
11369326,home,Cádiz,Javier Hernández,javier-hernandez,J. Hernández,D,26,181,457,M,1031658,EUR,894067200,D,15,15,False,28.0,19.0,2.0,,6.0,10.0,15.0,21.0,5.0,,,,,90.0,54.0,7.1,11.0,0.0,0.0,0.132542,0,,,3.0,2.0,3.0,3.0,3.0,,1.0,,1.0,1.0,,4.0,,,2.0,,,,,,,,,,,,,,,
11369326,home,Cádiz,Iván Alejo,ivan-alejo,I. Alejo,M,14,184,174,M,352486,EUR,792374400,M,11,11,False,16.0,12.0,1.0,,2.0,3.0,12.0,22.0,5.0,,,,,64.0,41.0,6.3,19.0,0.0,0.0,0.053562,0,,,9.0,2.0,,10.0,3.0,,1.0,,,,2.0,,1.0,1.0,4.0,2.0,4.0,,,3.0,,,,,,,,,,
11369326,home,Cádiz,Gonzalo Escalante,gonzalo-escalante,G. Escalante,M,8,182,258,M,316170,EUR,733190400,M,17,17,False,35.0,26.0,3.0,1.0,12.0,16.0,14.0,20.0,2.0,,,,,83.0,50.0,7.5,11.0,0.266,0.0,0.105238,2,,,1.0,,4.0,2.0,10.0,1.0,,,1.0,3.0,1.0,1.0,5.0,3.0,1.0,,,,,,2.0,,,,,,,,,
11369326,home,Cádiz,Rubén Alcaraz,ruben-alcaraz,R. Alcaraz,M,4,180,243,M,259339,EUR,673056000,M,4,4,False,60.0,51.0,11.0,7.0,21.0,23.0,30.0,38.0,5.0,,,,,90.0,79.0,7.6,12.0,0.0412,0.0,0.0465617,2,,,1.0,,2.0,3.0,7.0,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,1.0,2.0,,2.0,,,,2.0,1.0,,,,,,,,
11369326,home,Cádiz,Darwin Machís,darwin-machis,D. Machís,F,11,174,1580,M,252863,EUR,729043200,M,18,18,False,11.0,10.0,3.0,2.0,6.0,7.0,4.0,8.0,2.0,,,,,64.0,22.0,6.8,8.0,0.0106,0.0339,0.00364891,1,,,4.0,,1.0,1.0,2.0,,,1.0,,,1.0,,1.0,1.0,,,2.0,,,1.0,,,,,,,,,,
11369326,home,Cádiz,Roger Martí,roger-marti,R. Martí,F,9,178,227,M,212074,EUR,662860800,F,21,21,False,10.0,3.0,,,2.0,3.0,1.0,7.0,2.0,,,,,64.0,18.0,6.0,10.0,0.0,0.0,0.0005105,0,,,,,,4.0,2.0,,,,,,1.0,,1.0,,,2.0,1.0,,,2.0,,,1.0,,,,,,,
