match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_totalTackle,stat_wonTackle,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_wasFouled,stat_unsuccessfulTouch,captain,stat_keyPass,stat_totalCross,stat_goals,stat_accurateCross,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_bigChanceCreated,stat_totalOffside
12504635,home,Juventus,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,29,29,False,29.0,19.0,17.0,7.0,0.0,15.0,15.0,4.0,14.0,1.0,1.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,90.0,36.0,6.6,10.0,0.00071644,0,-0.6987,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504635,home,Juventus,Nicolò Savona,,,nicolo-savona,N. Savona,D,37,192,2582,M,,1010220,EUR,1048032000,D,37,37,False,43.0,37.0,5.0,2.0,0.0,27.0,28.0,10.0,15.0,,1.0,2.0,8.0,,,,,,90.0,56.0,6.4,7.0,0.00396494,0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12504635,home,Juventus,Federico Gatti,Federico Gatti,,federico-gatti,F. Gatti,D,4,190,4940,M,FedericoGatti,1128063,EUR,898646400,D,4,4,False,49.0,45.0,2.0,1.0,0.0,34.0,35.0,11.0,14.0,2.0,2.0,,,,,,,,89.0,58.0,6.8,4.0,0.00311132,4,,1.0,3.0,,,1.0,1.0,2.0,1.0,1.0,1.0,0.2601,0.1824,,,,,,,,,,,,,,,
12504635,home,Juventus,Pierre Kalulu,,,pierre-kalulu,P. Kalulu,D,15,183,6630,M,Kalulujr_,965330,EUR,960163200,D,15,15,False,94.0,90.0,2.0,1.0,0.0,65.0,67.0,25.0,27.0,,7.0,4.0,3.0,,,,,,90.0,108.0,7.0,5.0,0.0101297,0,,1.0,5.0,4.0,3.0,3.0,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,
12504635,home,Juventus,Weston McKennie,,,weston-mckennie,W. McKennie,M,22,185,7292,M,west.mckennie,881931,EUR,904262400,D,16,16,False,38.0,35.0,3.0,3.0,0.0,16.0,16.0,19.0,22.0,,1.0,,1.0,,,,,,62.0,49.0,6.7,5.0,0.0206753,0,,,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,1.0,,2.0,,,,,,,,,
12504635,home,Juventus,Manuel Locatelli,,,manuel-locatelli,M. Locatelli,M,5,185,8228,M,locamanuel73,363860,EUR,884217600,M,5,5,False,78.0,66.0,8.0,3.0,1.0,36.0,41.0,30.0,37.0,2.0,6.0,1.0,6.0,,,,,,90.0,92.0,7.3,13.0,0.0727711,1,,1.0,5.0,3.0,1.0,1.0,2.0,1.0,,,1.0,0.0362,,1.0,,,1.0,1.0,,True,3.0,,,,,,,
12504635,home,Juventus,Khéphren Thuram,,,khephren-thuram,K. Thuram,M,19,191,11655,M,k_thuram,904832,EUR,985564800,M,19,19,False,43.0,37.0,3.0,1.0,0.0,15.0,16.0,22.0,28.0,1.0,6.0,,,,,,,,89.0,57.0,8.6,10.0,0.0153363,2,,,3.0,1.0,1.0,1.0,,,2.0,,,0.6307,1.4716,,6.0,4.0,,,1.0,,1.0,1.0,2.0,,,,,
12504635,home,Juventus,Francisco Conceição,,,francisco-conceicao,F. Conceição,F,7,170,19864,M,FConceicao_7,979222,EUR,1039824000,M,7,7,False,25.0,20.0,2.0,1.0,0.0,16.0,16.0,6.0,13.0,,10.0,,5.0,,,,,,90.0,53.0,6.8,16.0,0.172683,2,,3.0,11.0,3.0,2.0,1.0,1.0,,1.0,1.0,,0.0434,0.0457,,11.0,5.0,,2.0,3.0,,1.0,4.0,,2.0,,,,
12504635,home,Juventus,Teun Koopmeiners,,,teun-koopmeiners,T. Koopmeiners,M,8,183,6981,M,teunkoopmeiners,803033,EUR,888624000,M,8,8,False,30.0,21.0,,,0.0,8.0,9.0,15.0,30.0,4.0,6.0,,2.0,,,,,,90.0,49.0,7.0,19.0,0.334059,0,,1.0,5.0,1.0,,,1.0,,,,,,,,4.0,1.0,1.0,,,,2.0,9.0,,2.0,,,,
12504635,home,Juventus,Samuel Mbangula,Samuel,Mbangula,samuel-mbangula,S. Mbangula,M,7,180,4367,M,Samu,1100836,EUR,1074211200,M,51,51,False,26.0,22.0,,,0.0,10.0,10.0,13.0,18.0,,2.0,,8.0,,,,,,63.0,37.0,6.5,8.0,0.0274201,0,,2.0,7.0,,,2.0,1.0,,,,1.0,,,1.0,2.0,1.0,,1.0,,,,2.0,,1.0,,,,
