match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_outfielderBlock,stat_keyPass,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goalAssist,player_sofascoreId,stat_totalOffside,stat_clearanceOffLine
11067558,home,Botafogo,Lucas Perri,,,lucas-perri,L. Perri,G,1,196,3423,M,871290,EUR,881712000,G,12,12,False,20.0,10.0,12.0,2.0,9.0,9.0,1.0,11.0,5.0,1.0,4.0,90.0,27.0,6.8,10.0,0.0004613,0,-0.2054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067558,home,Botafogo,Danilo Barbosa,,,danilo-barbosa,D. Barbosa,M,5,182,801,M,330063,EUR,825465600,D,5,5,False,37.0,29.0,7.0,2.0,19.0,20.0,10.0,17.0,7.0,,,90.0,60.0,7.5,12.0,0.00481738,4,,1.0,1.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,0.4921,0.4168,,,,,,,,,,,,,,
11067558,home,Botafogo,Adryelson,,,adryelson,Adryelson,D,34,184,1086,M,795261,EUR,890611200,D,34,34,False,35.0,29.0,7.0,4.0,24.0,26.0,5.0,9.0,1.0,,,90.0,42.0,6.7,6.0,0.00179867,0,,2.0,2.0,2.0,2.0,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,
11067558,home,Botafogo,Víctor Cuesta,,,victor-cuesta,Víctor Cuesta,D,31,187,553,M,587148,EUR,595900800,D,15,15,False,40.0,31.0,6.0,1.0,14.0,18.0,18.0,23.0,1.0,,,90.0,48.0,6.8,9.0,0.0735097,0,,,3.0,2.0,6.0,,,,,,1.0,,2.0,2.0,,1.0,1.0,,,True,1.0,1.0,1.0,1.0,1.0,,,,,,,,
11067558,home,Botafogo,Tchê Tchê,,,tche-tche,Tchê Tchê,M,3,175,2494,M,840398,EUR,715132800,M,6,6,False,32.0,29.0,2.0,1.0,11.0,12.0,21.0,28.0,5.0,,,90.0,67.0,7.7,15.0,0.62069,1,,,1.0,2.0,7.0,2.0,,,,,4.0,,4.0,1.0,2.0,1.0,,0.0147,,,8.0,3.0,,,3.0,1.0,1.0,1.0,1.0,,,,
11067558,home,Botafogo,Gabriel Pires,,,gabriel-pires,G. Pires,M,10,186,398,M,178407,EUR,748310400,M,14,14,False,42.0,33.0,6.0,3.0,16.0,20.0,18.0,24.0,6.0,,,85.0,59.0,6.4,16.0,0.137243,2,,3.0,3.0,10.0,4.0,,,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,,2.0,0.0588,0.062,,2.0,1.0,1.0,,,4.0,,,,,,,
11067558,home,Botafogo,Marlon Freitas,,,marlon-freitas,M. Freitas,M,17,185,3107,M,840202,EUR,796262400,M,17,17,False,50.0,46.0,11.0,10.0,18.0,19.0,28.0,31.0,4.0,,,90.0,60.0,7.2,5.0,0.0285497,3,,,,1.0,2.0,,,2.0,,,2.0,,1.0,1.0,1.0,1.0,1.0,0.0962,,,,,,,1.0,,,,1.0,,,,
11067558,home,Botafogo,Victor Sá,,,victor-sa,Victor Sá,M,7,178,521,M,799634,EUR,764726400,M,7,7,False,19.0,16.0,2.0,2.0,9.0,10.0,7.0,9.0,2.0,,,70.0,36.0,7.0,5.0,0.0221974,0,,1.0,1.0,4.0,6.0,1.0,,,,,3.0,2.0,3.0,2.0,,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,
11067558,home,Botafogo,Júnior Santos,,,junior-santos,J. Santos,F,37,188,2187,M,922559,EUR,781833600,F,37,37,False,17.0,15.0,,,5.0,5.0,10.0,12.0,3.0,,,85.0,44.0,7.1,9.0,0.0179605,4,,3.0,2.0,7.0,11.0,5.0,,,1.0,,,,2.0,1.0,3.0,3.0,1.0,0.3411,,,,,,1.0,,2.0,4.0,,3.0,,,,
11067558,home,Botafogo,Eduardo,,,eduardo,Eduardo,M,21,184,1737,M,76507,EUR,624585600,F,33,33,False,27.0,23.0,3.0,2.0,8.0,10.0,17.0,21.0,4.0,,,66.0,48.0,7.2,9.0,0.0924254,3,,,1.0,3.0,6.0,4.0,1.0,1.0,1.0,,,,,,1.0,2.0,1.0,0.3788,0.6043,,4.0,2.0,1.0,,1.0,,3.0,1.0,1.0,1.0,,,
