match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_fouls,stat_challengeLost,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_errorLeadToAGoal,stat_dispossessed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_goalAssist,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_punches
10385575,home,Tottenham Hotspur,Hugo Lloris,hugo-lloris,H. Lloris,G,1,188,5077,M,LlorisH,9048,EUR,535939200,G,1,1,False,True,17.0,11.0,7.0,1.0,11.0,13.0,4.0,5.0,1.0,3.0,90.0,21.0,6.3,6.0,0.0,0.0,2.503e-05,0,-0.2408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385575,home,Tottenham Hotspur,Cristian Romero,cristian-romero,C. Romero,D,17,185,37910,M,cutiromero2,829932,EUR,893635200,D,17,17,False,,83.0,66.0,9.0,5.0,34.0,41.0,42.0,9.0,,,90.0,94.0,6.8,18.0,0.0,0.0,0.0233226,0,,,,32.0,1.0,3.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10385575,home,Tottenham Hotspur,Eric Dier,eric-dier,E. Dier,D,3,191,4317,M,ericdier,146101,EUR,758592000,D,15,15,False,,70.0,61.0,5.0,3.0,39.0,44.0,26.0,4.0,,,90.0,76.0,6.7,9.0,0.0,0.0,0.114807,0,,,,22.0,1.0,5.0,3.0,7.0,1.0,1.0,2.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,
10385575,home,Tottenham Hotspur,Clément Lenglet,clement-lenglet,C. Lenglet,D,15,186,7982,M,clement_lenglet,580550,EUR,803347200,D,34,34,False,,24.0,19.0,4.0,3.0,12.0,13.0,11.0,4.0,,,35.0,28.0,6.7,5.0,0.0,0.0,0.020784,0,,,,7.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10385575,home,Tottenham Hotspur,Pedro Porro,pedro-porro,P. Porro,D,23,173,10890,M,pedroporro29,913654,EUR,937180800,M,23,23,False,,31.0,22.0,3.0,2.0,11.0,13.0,31.0,8.0,,,90.0,70.0,6.5,24.0,0.0244,0.0,0.256405,1,,,,16.0,,,10.0,6.0,1.0,3.0,4.0,2.0,,,3.0,2.0,4.0,13.0,5.0,6.0,2.0,1.0,1.0,1.0,,,,,,,,,
10385575,home,Tottenham Hotspur,Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,23,185,4495,M,hojbjerg23,149593,EUR,807580800,M,5,5,False,,77.0,69.0,7.0,5.0,29.0,29.0,49.0,7.0,,,90.0,89.0,7.1,12.0,0.014,0.0,0.186014,1,,,,40.0,1.0,5.0,4.0,8.0,,1.0,2.0,2.0,2.0,,3.0,,2.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,
10385575,home,Tottenham Hotspur,Oliver Skipp,skipp-oliver,O. Skipp,M,22,175,1315,M,,859901,EUR,969062400,M,4,4,False,,28.0,26.0,1.0,,13.0,14.0,14.0,5.0,,,77.0,36.0,6.6,4.0,0.0358,0.0236,0.0203244,1,,,,13.0,1.0,,5.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,,,2.0,1.0,1.0,,,,,,
10385575,home,Tottenham Hotspur,Ivan Perišić,ivan-perisic,I. Perišić,M,5,187,17408,M,ivanperisic444,38710,EUR,602380800,M,14,14,False,,40.0,29.0,5.0,3.0,12.0,13.0,46.0,9.0,,,90.0,85.0,7.7,33.0,0.1595,0.0,0.357881,3,,,,19.0,,3.0,3.0,8.0,1.0,,,,1.0,1.0,3.0,1.0,1.0,19.0,2.0,5.0,4.0,2.0,2.0,,,,,1.0,1.0,,,,
10385575,home,Tottenham Hotspur,Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,11735,M,dejan_k10,928124,EUR,956620800,F,21,21,False,,26.0,25.0,,,5.0,6.0,23.0,4.0,,,90.0,48.0,6.5,7.0,0.1682,0.0,0.213329,4,,,,23.0,,,6.0,4.0,,2.0,3.0,3.0,,1.0,1.0,,1.0,3.0,3.0,3.0,,,,,2.0,,,,4.0,,,,
10385575,home,Tottenham Hotspur,Heung-min Son,heung-min-son,H. M. Son,F,7,184,117494,M,HMSon,111505,EUR,710553600,F,7,7,False,,29.0,25.0,,,5.0,6.0,23.0,2.0,,,90.0,39.0,7.8,7.0,0.6065,1.0889,0.349046,4,,,,20.0,1.0,,1.0,2.0,,,,,2.0,1.0,2.0,,,,,1.0,1.0,,,,,3.0,,,1.0,1.0,,,
