match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_outfielderBlock,stat_wasFouled,stat_fouls,stat_interceptionWon,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotOffTarget,stat_dispossessed,stat_goals,captain,stat_bigChanceCreated,stat_goodHighClaim,stat_bigChanceMissed,stat_totalOffside
12420989,home,KAA Gent,Davy Roef,,,davy-roef,D. Roef,G,33,187.0,232,M,156663,EUR,760492800,G,33,33,False,32.0,23.0,15.0,7.0,0.0,22.0,28.0,1.0,4.0,1.0,1.0,1.0,6.0,1.0,3.0,1.0,1.0,1.0,90.0,38.0,6.6,9.0,0.0002638,0,-0.2114,,,,,,,,,,,,,,,,,,,,,,,,,,,
12420989,home,KAA Gent,Noah Fadiga,,,fadiga-noah,N. Fadiga,M,27,187.0,700,M,960437,EUR,944179200,D,22,22,False,37.0,33.0,2.0,1.0,0.0,10.0,11.0,23.0,26.0,,4.0,1.0,3.0,,,,,,64.0,54.0,6.7,6.0,0.0211518,1,,1.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,0.0146,,,,,,,,,,,,,,,,,,
12420989,home,KAA Gent,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187.0,1372,M,942213,EUR,855100800,D,4,4,False,72.0,60.0,6.0,2.0,0.0,31.0,36.0,29.0,36.0,4.0,7.0,3.0,4.0,,,,,,90.0,81.0,6.7,12.0,0.0173999,1,,3.0,5.0,1.0,,,1.0,2.0,1.0,0.0656,1.0,1.0,1.0,,,,,,,,,,,,,,,
12420989,home,KAA Gent,Stefan Mitrović,,,stefan-mitrovic,S. Mitrović,D,23,189.0,432,M,108736,EUR,643334400,D,13,13,False,69.0,66.0,8.0,8.0,0.0,37.0,40.0,29.0,29.0,6.0,8.0,3.0,5.0,,,,,,90.0,78.0,7.2,3.0,0.0110963,1,,1.0,3.0,,,,1.0,2.0,,0.0701,2.0,,2.0,1.0,,,,,,,,,,,,,,
12420989,home,KAA Gent,Archie Brown,,,brown-archie,A. Brown,D,3,190.0,3096,M,1009738,EUR,1022544000,D,3,3,False,56.0,46.0,,,0.0,15.0,17.0,34.0,48.0,1.0,4.0,,6.0,,,,,,90.0,93.0,6.9,22.0,0.169439,1,,1.0,5.0,1.0,3.0,1.0,,2.0,1.0,0.026,,,1.0,1.0,9.0,3.0,1.0,1.0,0.0349,1.0,,,,,,,,
12420989,home,KAA Gent,Mathias Delorge,Mathias Delorge-Knieper,,mathias-delorge-knieper,M. Delorge,M,17,189.0,582,M,1124749,EUR,1091232000,M,16,16,False,109.0,95.0,12.0,11.0,0.0,21.0,25.0,74.0,84.0,1.0,7.0,,7.0,,,,,,90.0,124.0,8.1,16.0,0.127851,2,,1.0,4.0,2.0,,,,5.0,2.0,0.0903,,1.0,2.0,2.0,,,,2.0,,3.0,2.0,,,,,,,
12420989,home,KAA Gent,Daisuke Yokota,,,daisuke-yokota,D. Yokota,F,18,171.0,556,M,1108551,EUR,960595200,M,14,14,False,53.0,40.0,1.0,,0.0,8.0,12.0,32.0,41.0,,3.0,,5.0,,,,,,64.0,62.0,7.6,18.0,0.0994554,1,,,1.0,,1.0,1.0,,1.0,,0.4115,,1.0,,,,,1.0,3.0,0.926,1.0,,1.0,1.0,,,,,
12420989,home,KAA Gent,Sven Kums,,,sven-kums,S. Kums,M,,176.0,162,M,45990,EUR,572832000,M,24,24,False,88.0,72.0,7.0,5.0,0.0,18.0,18.0,55.0,72.0,,3.0,,7.0,,,,,,89.0,100.0,7.1,20.0,0.1153,2,,,6.0,5.0,,,1.0,2.0,1.0,0.0593,1.0,1.0,1.0,,2.0,1.0,,2.0,,2.0,1.0,,,True,,,,
12420989,home,KAA Gent,Hyun-Seok Hong,,,hyun-seok-hong,H. Hong,M,24,177.0,1224,M,942937,EUR,929491200,M,7,7,False,63.0,55.0,1.0,1.0,0.0,15.0,19.0,42.0,49.0,,6.0,,1.0,,,,,,89.0,82.0,7.1,16.0,0.108504,0,,1.0,4.0,1.0,3.0,2.0,,2.0,,,,2.0,,,5.0,2.0,,3.0,,2.0,,1.0,,,,,,
12420989,home,KAA Gent,Franck Surdez,,,franck-surdez,F. Surdez,F,19,184.0,273,M,1092662,EUR,1020556800,M,19,19,False,39.0,29.0,,,1.0,2.0,3.0,27.0,40.0,1.0,14.0,1.0,5.0,,,,,,90.0,65.0,8.1,17.0,0.388058,1,,1.0,4.0,1.0,4.0,4.0,1.0,7.0,4.0,0.05,,2.0,,,4.0,,,1.0,,1.0,,2.0,,,1.0,,,
