match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_penaltyConceded,stat_totalCross,stat_dispossessed,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_accurateCross,stat_challengeLost,stat_onTargetScoringAttempt,stat_keyPass,stat_goalAssist,stat_goals,stat_clearanceOffLine,player_sofascoreId,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_penaltyWon,stat_goodHighClaim
11067435,home,Bahia,Marcos Felipe,marcos-felipe,M. Felipe,G,1,189,1142,M,358524,EUR,829353600,G,22,22,False,26.0,24.0,6.0,4.0,23.0,23.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,90.0,28.0,5.9,2.0,0.0,0.0,0.00052003,0,-0.6502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067435,home,Bahia,Kanu,kanu,Kanu,D,4,186,926,M,871705,EUR,857692800,D,4,4,False,38.0,33.0,5.0,3.0,19.0,21.0,14.0,17.0,7.0,,,,,,77.0,48.0,6.2,5.0,0.0,0.0,0.00603559,0,,True,2.0,6.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
11067435,home,Bahia,Vitor Hugo,vitor-hugo,V. Hugo,D,14,187,899,M,794838,EUR,674697600,D,31,31,False,22.0,19.0,1.0,1.0,16.0,18.0,3.0,4.0,1.0,,,,,,45.0,27.0,5.9,3.0,0.0898,0.0,0.00104807,2,,,2.0,3.0,,,,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11067435,home,Bahia,Rezende,rezende,Rezende,D,5,186,736,M,868030,EUR,789004800,D,5,5,False,44.0,38.0,3.0,1.0,24.0,26.0,14.0,19.0,5.0,,,,,,74.0,61.0,6.1,9.0,0.0509,0.0,0.00374664,1,,,5.0,3.0,,,1.0,3.0,2.0,2.0,1.0,2.0,2.0,,,1.0,4.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,
11067435,home,Bahia,Vítor Jacaré,vitor-jacare,Vítor Jacaré,M,99,178,394,M,1019652,EUR,940723200,M,29,29,False,40.0,28.0,5.0,,8.0,10.0,23.0,37.0,7.0,,,,,,90.0,66.0,6.6,18.0,0.0204,0.0224,0.202967,1,,,6.0,4.0,4.0,2.0,,,,,1.0,2.0,1.0,1.0,,,3.0,,7.0,,,,,3.0,1.0,1.0,3.0,,,,,,,,,
11067435,home,Bahia,Thaciano,thaciano,Thaciano,M,16,182,1796,M,872039,EUR,800236800,M,16,16,False,41.0,35.0,2.0,1.0,15.0,16.0,20.0,26.0,1.0,,,,,,90.0,55.0,8.3,7.0,0.25,0.012,0.0940001,6,,,4.0,9.0,1.0,1.0,,,3.0,2.0,1.0,1.0,3.0,4.0,5.0,,2.0,,1.0,,,,,,,1.0,2.0,2.0,,,,,,,,
11067435,home,Bahia,Yago Felipe,yago-felipe,Y. Felipe,M,41,174,406,M,552164,EUR,791769600,M,20,20,False,29.0,26.0,3.0,2.0,12.0,14.0,14.0,15.0,1.0,,,,,,60.0,40.0,6.8,4.0,0.0408,0.0,0.0124411,2,,,6.0,5.0,,,,,4.0,4.0,1.0,3.0,1.0,,2.0,,1.0,,,,1.0,,,,2.0,,2.0,,,,,,,,,
11067435,home,Bahia,Matheus Bahia,matheus-bahia,M. Bahia,D,79,181,700,M,1047204,EUR,934329600,M,79,79,False,1.0,1.0,,,,,1.0,2.0,,,,,,,11.0,3.0,6.5,1.0,0.0,0.0,0.00611131,0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
11067435,home,Bahia,Cauly,cauly,Cauly,M,8,175,2903,M,255873,EUR,811123200,F,8,8,False,45.0,41.0,1.0,,3.0,3.0,39.0,49.0,5.0,,,,,,90.0,69.0,7.5,17.0,0.0825,0.0,0.150996,1,,,5.0,6.0,5.0,4.0,,,,,1.0,2.0,1.0,1.0,1.0,,,,7.0,2.0,3.0,,,1.0,,,5.0,,,,,,,,,
11067435,home,Bahia,Arthur Sales,arthur-sales,A. Sales,F,9,184,928,M,1105780,EUR,1025654400,F,14,14,False,24.0,21.0,1.0,1.0,6.0,6.0,15.0,19.0,,,,,,,72.0,32.0,6.4,8.0,0.0,0.0,0.0498052,0,,,7.0,3.0,1.0,,,,1.0,1.0,1.0,,4.0,1.0,,,,,1.0,2.0,1.0,Arthur,,,,,,,,,,,,,,
