match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_dispossessed,stat_shotOffTarget,stat_totalOffside,captain,stat_goalAssist,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11409103,home,Moreirense,Kewin,kewin,Kewin,G,1,187,111,M,865371,EUR,790992000,G,40,40,False,40.0,29.0,17.0,6.0,25.0,28.0,4.0,12.0,1.0,7.0,1.0,1.0,1.0,1.0,90.0,49.0,6.5,11.0,0.0013031,0,-0.2478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409103,home,Moreirense,Dinis Pinto,dinis-pinto,D. Pinto,D,76,178,150,M,1160980,EUR,967075200,D,76,76,False,27.0,22.0,2.0,,14.0,15.0,8.0,16.0,,5.0,,,,,90.0,64.0,6.7,17.0,0.0344437,0,,Dinis Pinto,,4.0,1.0,2.0,6.0,7.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,
11409103,home,Moreirense,Marcelo,marcelo,Marcelo,D,44,182,57,M,156318,EUR,617500800,D,44,44,False,45.0,38.0,2.0,1.0,33.0,38.0,5.0,7.0,4.0,3.0,,,,,90.0,62.0,7.3,8.0,0.00141018,2,,,,,1.0,5.0,2.0,7.0,,,1.0,1.0,1.0,,1.0,,,1.0,2.0,3.0,0.0866,,,,,,,,,,,,
11409103,home,Moreirense,Maracás,maracas,Maracás,D,26,184,121,M,931485,EUR,767404800,D,26,26,False,55.0,51.0,5.0,2.0,42.0,43.0,9.0,12.0,1.0,3.0,,,,,90.0,61.0,7.2,5.0,0.00439675,1,,,,,1.0,3.0,1.0,4.0,,,,1.0,1.0,1.0,,,,,,,0.2624,1.0,1.0,0.7556,,,,,,,,,
11409103,home,Moreirense,Pedro Amador,pedro-amador,P. Amador,D,18,181,89,M,927038,EUR,913939200,D,18,18,False,34.0,29.0,4.0,3.0,16.0,17.0,14.0,24.0,,6.0,,,,,79.0,60.0,6.5,18.0,0.0745901,0,,,,7.0,1.0,,8.0,3.0,6.0,1.0,3.0,2.0,1.0,1.0,,,1.0,2.0,,1.0,,,,,1.0,,,,,,,,
11409103,home,Moreirense,Lawrence Ofori,lawrence-ofori,L. Ofori,M,80,181,149,M,892170,EUR,898992000,M,80,80,False,45.0,43.0,4.0,4.0,25.0,26.0,18.0,19.0,1.0,6.0,,,,,90.0,59.0,7.1,5.0,0.0235723,0,,,,,1.0,,2.0,4.0,1.0,,,1.0,1.0,1.0,3.0,,2.0,,,,,,,,,,,,,,,,
11409103,home,Moreirense,Wallisson Luiz,wallisson-luiz,Wallisson Luiz,M,8,184,182,M,922601,EUR,874972800,M,8,8,False,25.0,18.0,4.0,3.0,4.0,7.0,14.0,18.0,3.0,5.0,,,,,78.0,45.0,7.1,9.0,0.012872,2,,,,,,3.0,4.0,8.0,1.0,1.0,5.0,4.0,1.0,1.0,,3.0,,1.0,,,0.0706,1.0,,0.5506,,1.0,1.0,,,,,,
11409103,home,Moreirense,Madson de Souza Silva,madson-de-souza-silva,M. d. S. Silva,M,9,164,238,M,937555,EUR,935625600,M,31,31,False,22.0,15.0,2.0,,1.0,4.0,15.0,19.0,1.0,3.0,,,,,78.0,34.0,7.6,8.0,0.249787,3,,,,1.0,,,,2.0,,,,,,1.0,2.0,1.0,2.0,,1.0,,0.4586,1.0,1.0,0.2536,1.0,,1.0,,,,,,
11409103,home,Moreirense,Alan,alan,Alan,M,11,163,525,M,905455,EUR,952473600,M,11,11,False,48.0,43.0,4.0,4.0,21.0,21.0,24.0,31.0,,6.0,,,,,89.0,62.0,7.4,11.0,0.339092,0,,,,4.0,2.0,,3.0,4.0,1.0,1.0,,1.0,1.0,3.0,2.0,,4.0,1.0,,,,,,,2.0,,,,,,,,
11409103,home,Moreirense,João Camacho,joao-camacho,J. Camacho,M,37,174,51,M,317677,EUR,772329600,M,19,19,False,17.0,14.0,2.0,2.0,6.0,7.0,9.0,12.0,,1.0,,,,,65.0,37.0,6.7,8.0,0.0911946,0,,,,2.0,1.0,1.0,6.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,,,,,,,1.0,2.0,,1.0,,,,,
11409103,home,Moreirense,André Luis,andre-luis,A. Luis,F,9,182,773,M,904297,EUR,763171200,F,9,9,False,24.0,15.0,1.0,,5.0,7.0,10.0,17.0,2.0,3.0,,,,,90.0,41.0,9.1,11.0,0.106638,6,,,,,2.0,6.0,5.0,7.0,1.0,,,,,,1.0,1.0,2.0,,3.0,,0.7401,1.0,1.0,0.8186,,1.0,2.0,1.0,True,2.0,2.0,,
11409103,home,Moreirense,Kobamelo Kodisang,kobamelo-kodisang,K. Kodisang,M,13,169,215,M,822874,EUR,935798400,F,21,21,True,8.0,7.0,,,3.0,3.0,6.0,7.0,,,,,,,25.0,15.0,9.2,2.0,0.473202,2,,,,2.0,,,,1.0,1.0,1.0,,,,,,,3.0,,,,0.3703,1.0,1.0,0.9916,2.0,,1.0,,,2.0,2.0,,
11409103,home,Moreirense,Rúben Ramos Ismael,ruben-ramos-ismael,Ismael,M,16,184,179,M,1469058,EUR,922320000,M,6,6,True,7.0,5.0,,,3.0,4.0,2.0,3.0,,,,,,,12.0,7.0,6.5,2.0,0.00361487,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409103,home,Moreirense,Jeremy Antonisse,jeremy-antonisse,J. Antonisse,F,7,177,139,M,1092638,EUR,1017360000,F,17,17,True,4.0,3.0,,,,1.0,3.0,3.0,,1.0,,,,,12.0,6.0,6.8,1.0,0.0164734,1,,Jeremy,Antonisse,,,,,1.0,1.0,1.0,,,,,,,,,,,0.0385,,,,,,1.0,,,,,,
11409103,home,Moreirense,Godfried Frimpong,godfried-frimpong,G. Frimpong,D,21,180,173,M,931743,EUR,924652800,D,23,23,True,5.0,5.0,,,2.0,2.0,3.0,3.0,,,,,,,11.0,7.0,7.2,,0.543785,0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,
11409103,home,Moreirense,Matheus Aiás,matheus-aias,M. Aiás,F,9,175,293,M,899902,EUR,851904000,F,7,7,True,,,,,,,,,,,,,,,7.0,3.0,7.6,1.0,,1,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,0.2406,1.0,1.0,0.7272,,,,,,,,,
