match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalCross,stat_accurateCross,stat_keyPass,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside
12476426,home,Cardiff City,Wilfried Kanga,wilfried-kanga,W. Kanga,F,7,189.0,947,M,838640,EUR,888019200,F,15,15,False,,7.0,6.0,,,0.0,3.0,3.0,3.0,4.0,,,,,59.0,14.0,6.5,6.0,0,,,2.0,,,,1.0,,,,,,4.0,,1.0,,,,,,,,,,1.0,,,1.0
12476426,home,Cardiff City,Ollie Tanner,ollie-tanner,O. Tanner,M,11,177.0,74,M,1002190,EUR,1021248000,F,32,32,True,,16.0,12.0,1.0,1.0,1.0,3.0,6.0,10.0,13.0,4.0,,,,31.0,28.0,7.4,7.0,2,,,1.0,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,2.0,,,,3.0,1.0,2.0,1.0,1.0,
12476426,home,Cardiff City,Kieron Evans,kieron-evans,K. Evans,M,7,170.0,36,M,1064262,EUR,1008720000,M,25,25,True,,9.0,9.0,2.0,2.0,1.0,1.0,1.0,10.0,10.0,,,,,31.0,18.0,7.4,1.0,0,1.0,,2.0,1.0,,,1.0,,2.0,1.0,1.0,1.0,,,,Kieron Evans,,,,,,,2.0,2.0,3.0,,1.0,
12476426,home,Cardiff City,Michael Reindorf,michael-reindorf,M. Reindorf,F,23,180.0,35,M,1470692,EUR,1115683200,F,46,46,True,,7.0,7.0,,,0.0,1.0,1.0,6.0,6.0,2.0,,,,31.0,14.0,7.0,3.0,0,1.0,,3.0,4.0,,,6.0,4.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,2.0
12476426,home,Cardiff City,Malachi Fagan-Walcott,walcott-malachi,M. Fagan-Walcott,D,4,186.0,186,M,962878,EUR,1015804800,D,31,31,True,,9.0,9.0,2.0,2.0,0.0,7.0,7.0,2.0,2.0,,,,,14.0,11.0,6.8,,0,1.0,2.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
12476426,home,Cardiff City,Matthew Turner,matthew-turner,M. Turner,G,41,194.0,27,M,1461535,EUR,1017187200,G,41,41,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12476426,home,Cardiff City,Dylan Lawlor,dylan-lawlor,D. Lawlor,D,48,188.0,193,M,1424627,EUR,1136073600,D,48,48,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12476426,home,Cardiff City,Adeteye Gbadehan,adeteye-gbadehan,A. Gbadehan,M,,190.0,8,M,1901938,EUR,1068681600,M,43,43,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12476426,away,Bristol Rovers,Joshua Griffiths,joshua-griffiths,J. Griffiths,G,20,185.0,88,M,1011208,EUR,999648000,G,1,1,False,,34.0,22.0,19.0,7.0,0.0,16.0,18.0,6.0,16.0,9.0,,5.0,6.0,90.0,46.0,7.5,13.0,0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
12476426,away,Bristol Rovers,Joel Senior,joel-senior,J. Senior,D,2,181.0,17,M,986771,EUR,930182400,D,2,2,False,,28.0,19.0,6.0,4.0,0.0,5.0,8.0,14.0,22.0,3.0,,,,90.0,49.0,6.5,16.0,1,,1.0,5.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,,,,,1.0,,,2.0,,,,,
