match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,stat_outfielderBlock,captain,stat_errorLeadToAShot,stat_dispossessed,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_errorLeadToAGoal,stat_goalAssist,player_sofascoreId
11372043,home,Royal Antwerp FC,Jean Butez,jean-butez,J. Butez,G,1,188,1350,M,599114,EUR,802569600,G,1,1,False,30.0,25.0,17.0,12.0,23.0,25.0,2.0,5.0,1.0,2.0,11.0,1.0,4.0,3.0,3.0,90.0,43.0,7.6,5.0,0.00505418,0,0.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11372043,home,Royal Antwerp FC,Jelle Bataille,jelle-bataille,J. Bataille,D,25,175,224,M,889387,EUR,927158400,D,34,34,False,76.0,64.0,8.0,5.0,28.0,29.0,37.0,51.0,1.0,8.0,3.0,2.0,,,,90.0,104.0,7.9,16.0,0.051323,2,,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0,3.0,0.1495,0.0928,1.0,,,,,,,,,,,,,,
11372043,home,Royal Antwerp FC,Zeno Van Den Bosch,van-den-bosch-zeno,Z. V. D. Bosch,D,33,191,594,M,1103765,EUR,1057449600,D,33,33,False,84.0,80.0,6.0,5.0,43.0,45.0,37.0,39.0,2.0,5.0,4.0,,,,,90.0,95.0,7.3,4.0,0.0192091,0,,,,3.0,4.0,,3.0,3.0,,,3.0,2.0,,,,1.0,,,,,,2.0,,,,,,,,,,,
11372043,home,Royal Antwerp FC,Toby Alderweireld,toby-alderweireld,T. Alderweireld,D,,186,1445,M,44575,EUR,604800000,D,23,23,False,106.0,95.0,16.0,9.0,60.0,62.0,35.0,44.0,1.0,1.0,3.0,,,,,90.0,112.0,6.7,13.0,0.0204889,0,,,,7.0,7.0,,,,,,3.0,1.0,,,1.0,,,,1.0,,,,True,,,,,,,,,,
11372043,home,Royal Antwerp FC,Owen Wijndal,owen-wijndal,O. Wijndal,D,5,174,794,M,836673,EUR,943747200,D,5,5,False,88.0,83.0,3.0,2.0,43.0,44.0,40.0,47.0,,4.0,2.0,2.0,,,,89.0,109.0,7.1,9.0,0.0209039,1,,3.0,,2.0,3.0,,,,1.0,,,,2.0,2.0,1.0,1.0,0.0116,,,,,,,,,,,,,,,,
11372043,home,Royal Antwerp FC,Alhassan Yusuf,alhassan-yusuf,A. Yusuf,M,80,175,917,M,943114,EUR,963878400,M,8,8,False,52.0,43.0,2.0,2.0,16.0,17.0,27.0,38.0,3.0,10.0,6.0,2.0,,,,89.0,72.0,7.5,13.0,0.0266718,0,,3.0,,3.0,4.0,1.0,4.0,4.0,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,
11372043,home,Royal Antwerp FC,Jürgen Ekkelenkamp,jurgen-ekkelenkamp,J. Ekkelenkamp,M,32,188,1195,M,904887,EUR,954892800,M,24,24,False,52.0,48.0,5.0,3.0,22.0,24.0,26.0,28.0,,3.0,7.0,1.0,,,,89.0,61.0,6.8,4.0,0.015528,0,,,,,1.0,1.0,,,,,,1.0,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,
11372043,home,Royal Antwerp FC,Vincent Janssen,vincent-janssen,V. Janssen,F,18,184,1452,M,339901,EUR,771552000,M,18,18,False,28.0,23.0,6.0,4.0,13.0,15.0,10.0,13.0,,3.0,4.0,,,,,45.0,35.0,6.6,7.0,0.00568447,1,,,,,4.0,1.0,1.0,1.0,,,,,2.0,2.0,1.0,2.0,0.0342,,,,,,,,1.0,1.0,,,,,,,
11372043,home,Royal Antwerp FC,Chidera Ejuke,chidera-ejuke,C. Ejuke,M,21,176,3126,M,875890,EUR,883699200,F,19,19,False,47.0,40.0,2.0,1.0,11.0,12.0,29.0,36.0,,10.0,2.0,1.0,,,,90.0,81.0,7.1,23.0,0.060313,1,,1.0,,2.0,12.0,,10.0,8.0,1.0,,,,1.0,,6.0,1.0,0.0139,,1.0,,,,,,7.0,,,,,,,,
11372043,home,Royal Antwerp FC,George Ilenikhena,george-ilenikhena,G. Ilenikhena,F,99,185,2537,M,1462434,EUR,1155686400,F,9,9,False,6.0,5.0,,,1.0,1.0,4.0,6.0,1.0,3.0,,1.0,,,,90.0,14.0,6.3,5.0,0.0027896,1,,1.0,,4.0,6.0,,1.0,1.0,1.0,,,,,,2.0,1.0,0.2366,,,George,Ilenikhena,,,,1.0,,1.0,,,,,,
