match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,captain,stat_totalCross,stat_accurateCross,stat_wasFouled,stat_keyPass,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoals,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyMiss,stat_goodHighClaim,stat_penaltyFaced,stat_errorLeadToAShot,stat_penaltyConceded
12501593,home,Fiorentina,David De Gea,,,david-de-gea,D. De Gea,G,43,192,23723,M,d_degea,69378,EUR,657936000,G,43,43,False,35.0,18.0,28.0,11.0,0.0,16.0,18.0,2.0,17.0,1.0,1.0,1.0,9.0,3.0,3.0,1.0,90.0,42.0,7.4,17.0,0.00035749,0,0.3365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501593,home,Fiorentina,Marin Pongračić,,,marin-pongracic,M. Pongračić,D,5,193,2505,M,,847467,EUR,873936000,D,5,5,False,34.0,30.0,4.0,2.0,0.0,22.0,25.0,8.0,9.0,2.0,4.0,5.0,1.0,,,,81.0,45.0,6.8,5.0,0.00403736,0,,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12501593,home,Fiorentina,Pablo Marí,,,pablo-mari,P. Marí,D,30,191,1707,M,,208988,EUR,746755200,D,18,18,False,43.0,39.0,6.0,3.0,0.0,30.0,32.0,9.0,11.0,5.0,5.0,13.0,4.0,,,,90.0,58.0,7.3,6.0,0.00618834,0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12501593,home,Fiorentina,Luca Ranieri,,,luca-ranieri,L. Ranieri,D,6,187,1115,M,,893998,EUR,924825600,D,6,6,False,39.0,31.0,9.0,3.0,0.0,20.0,20.0,12.0,21.0,,4.0,,2.0,,,,90.0,49.0,6.7,11.0,0.0262202,0,,2.0,2.0,,1.0,,,,True,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
12501593,home,Fiorentina,Dodô,,,dodo,Dodô,D,2,166,3348,M,,822518,EUR,911260800,M,2,2,False,40.0,29.0,8.0,2.0,1.0,17.0,20.0,14.0,26.0,,2.0,,9.0,,,,87.0,61.0,7.2,18.0,0.14545,1,,3.0,1.0,1.0,1.0,,,1.0,,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0485,,,,,,,,,,,,,,,
12501593,home,Fiorentina,Cher Ndour,,,ndour-cher,C. Ndour,M,27,190,2173,M,,1114422,EUR,1090886400,M,27,27,False,52.0,42.0,2.0,1.0,0.0,18.0,22.0,25.0,32.0,5.0,9.0,2.0,7.0,,,,90.0,68.0,7.0,14.0,0.0213342,0,,10.0,,1.0,2.0,,1.0,6.0,,2.0,1.0,2.0,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,
12501593,home,Fiorentina,Danilo Cataldi,,,danilo-cataldi,D. Cataldi,M,32,180,952,M,,317301,EUR,776131200,M,32,32,False,40.0,34.0,3.0,,0.0,19.0,21.0,15.0,23.0,1.0,1.0,1.0,8.0,,,,69.0,49.0,6.6,11.0,0.00597247,0,,2.0,,2.0,,,1.0,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,
12501593,home,Fiorentina,Rolando Mandragora,,,rolando-mandragora,R. Mandragora,M,8,183,2103,M,,548178,EUR,867542400,M,8,8,False,39.0,30.0,8.0,4.0,0.0,15.0,16.0,15.0,24.0,2.0,3.0,3.0,2.0,,,,90.0,50.0,7.2,11.0,0.0422308,1,,3.0,1.0,,,,,2.0,,1.0,,,,1.0,,1.0,1.0,0.0224,,1.0,1.0,0.0877,,,,,,,,,,,
12501593,home,Fiorentina,Robin Gosens,,,robin-gosens,R. Gosens,D,21,183,3165,M,,377118,EUR,773366400,M,21,21,False,32.0,18.0,6.0,3.0,0.0,9.0,13.0,10.0,24.0,5.0,7.0,4.0,5.0,,,,90.0,63.0,7.6,20.0,0.0422464,2,,5.0,,1.0,,,1.0,3.0,,5.0,1.0,2.0,1.0,1.0,,,1.0,0.0932,,,1.0,0.4447,1.0,1.0,1.0,,,,,,,,
12501593,home,Fiorentina,Nicolò Zaniolo,,,nicolo-zaniolo,N. Zaniolo,F,10,189,9127,M,nicolozaniolo,864898,EUR,930873600,F,17,17,False,17.0,12.0,,,0.0,1.0,3.0,11.0,16.0,2.0,4.0,,2.0,,,,88.0,30.0,6.5,14.0,0.0272869,1,,11.0,1.0,,1.0,1.0,5.0,3.0,,2.0,,1.0,,,,,4.0,0.0412,2.0,,1.0,0.0209,,,2.0,,,,,,,,
