match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_shotValueNormalized,stat_passValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_duelLost,stat_challengeLost,stat_totalContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_dribbleValueNormalized,stat_outfielderBlock,player_firstName,player_lastName,captain,stat_aerialLost,stat_aerialWon,stat_bigChanceCreated,stat_penaltyWon,stat_dispossessed,stat_errorLeadToAShot,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_totalCross,stat_accurateCross,stat_wonContest,stat_hitWoodwork,stat_goodHighClaim,stat_penaltyFaced,stat_clearanceOffLine,stat_lastManTackle,stat_penaltyConceded
14566735,away,Real Madrid,Raúl Asencio,raul-asencio,R. Asencio,D,17,184,118806,M,asencio,1156645,EUR,1045094400,D,17,17,False,63.0,61.0,1.0,,1.0,34.0,34.0,27.0,29.0,3.0,1.0,,3.0,,,,,,90.0,72.0,6.7,3.0,0.1048,0.6524,0.0929656,32.112,8.55842,5.0,,1.0,1,,0.22,0.26,-0.39,,3.34,3.59,1.11,0.37,0.15,2.0,,,,,1.0,1.0,,1.0,139.7754290241,23.0,78.675651866897,,,,0.1,,,,,,2.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,
14566735,away,Real Madrid,Dean Huijsen,dean-huijsen,D. Huijsen,D,24,195,161561,M,deanhuijsen,1176744,EUR,1113436800,D,24,24,False,71.0,67.0,5.0,2.0,0.0,34.0,35.0,33.0,36.0,4.0,,,5.0,4.0,,,,,78.0,88.0,7.0,5.0,0.0104,,0.0206405,30.744,8.20324,6.0,,,1,,-0.17,0.21,0.54,,2.51,4.13,1.06,0.38,0.12,3.0,,,,2.0,2.0,1.0,1.0,,151.06096074848,23.0,53.962986506104,,,,0.05,3.0,,,,3.0,2.0,,,,,,1.0,,,,,,,,,1.0,
14566735,away,Real Madrid,Álvaro Carreras,alvaro-carreras,Á. Carreras,D,18,186,80889,M,,1085081,EUR,1048377600,D,18,18,False,56.0,54.0,1.0,1.0,0.0,20.0,22.0,34.0,34.0,3.0,,,2.0,6.0,,,,,79.0,71.0,6.3,3.0,,,0.0316838,32.472,8.49253,11.0,,,0,,,0.23,-0.43,,2.57,4.03,1.14,0.52,0.24,2.0,1.0,1.0,,1.0,2.0,1.0,,1.0,76.421356734522,11.0,45.457212283667,16.16888909055,22.384334723194,1.0,0.07,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,
14566735,away,Real Madrid,Arda Güler,arda-guler,A. Güler,M,15,176,398152,M,AGüler,1091116,EUR,1109289600,M,15,15,False,57.0,51.0,2.0,,1.0,17.0,18.0,34.0,39.0,3.0,1.0,,1.0,5.0,1.0,,,,79.0,70.0,6.9,10.0,0.0196,0.1105,0.290538,29.844,9.31064,4.0,,6.0,2,,-0.11,0.27,-0.14,,2.42,4.68,1.66,0.46,0.09,4.0,,2.0,,,1.0,1.0,,1.0,196.89702839506,21.0,93.164392283174,31.169066125051,80.478679738726,3.0,0.23,,Arda Guler,,,1.0,,1.0,,1.0,,,1.0,,3.0,1.0,1.0,,,,,,
14566735,away,Real Madrid,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,188,145314,M,ATchouaméni,859025,EUR,948931200,M,14,14,False,39.0,36.0,1.0,1.0,0.0,15.0,17.0,21.0,22.0,4.0,,,,1.0,,,,,55.0,48.0,6.0,4.0,0.0187,,0.0302837,30.852,7.21001,4.0,,1.0,1,,-0.06,0.08,-0.38,,1.75,3.54,1.4,0.41,0.11,5.0,,1.0,1.0,3.0,2.0,1.0,,3.0,80.106362259456,13.0,11.998762373672,9.2082889863801,9.3459895677237,1.0,0.1,,,,,1.0,2.0,,,,,,,,,,,,,,,,1.0
14566735,away,Real Madrid,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1020916,M,JudeBell,991011,EUR,1056844800,M,5,5,False,45.0,42.0,1.0,1.0,0.0,11.0,12.0,31.0,33.0,6.0,,,1.0,4.0,1.0,,,,90.0,66.0,6.7,9.0,0.1306,,0.042671,31.428,10.3849,13.0,,1.0,2,,-0.56,-0.15,0.29,,3.58,4.27,1.49,0.76,0.29,8.0,1.0,4.0,1.0,,4.0,3.0,2.0,2.0,320.66574758519,24.0,187.18762957083,36.736876343635,193.25914295012,8.0,0.42,1.0,,,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,
14566735,away,Real Madrid,Franco Mastantuono,franco-mastantuono,F. Mastantuono,M,30,177,178940,M,franco.mastantuono,1403559,EUR,1187049600,F,30,30,False,15.0,13.0,,,0.0,4.0,4.0,9.0,11.0,1.0,,,1.0,,,,,,55.0,29.0,5.6,11.0,,,0.0034535,29.916,6.7596,5.0,,,0,,,-0.28,-0.15,,1.89,3.19,1.04,0.54,0.09,9.0,1.0,5.0,,,,,3.0,1.0,83.105085496042,11.0,13.259940162984,,,,-0.64,,,,,2.0,,,,1.0,1.0,,,,,,1.0,,,,,,
14566735,away,Real Madrid,Kylian Mbappé,kylian-mbappe,K. Mbappé,F,10,178,1752512,M,KMbappé,826643,EUR,914112000,F,10,10,False,45.0,37.0,3.0,1.0,0.0,7.0,8.0,30.0,37.0,4.0,2.0,2.0,,,,,,,90.0,64.0,8.8,14.0,0.5707,1.0638,0.544397,28.548,8.99107,3.0,,3.0,4,,0.86,0.31,-0.1,,3.98,3.63,0.99,0.32,0.07,7.0,,8.0,2.0,,,,1.0,3.0,140.02109234761,18.0,97.323260007122,18.963669770559,30.951574917305,2.0,0.06,,,,,,,1.0,,,,,,,1.0,1.0,4.0,,,,,,
14566735,away,Real Madrid,Vinícius Júnior,vinicius-junior,Vinícius Jr.,F,7,176,1183028,M,ViniJr,868812,EUR,963360000,F,7,7,False,47.0,38.0,,,0.0,6.0,9.0,32.0,38.0,6.0,1.0,,,4.0,5.0,,,,90.0,64.0,7.1,15.0,0.5115,0.05,0.345561,31.032,9.29514,12.0,,1.0,3,,-0.68,0.32,-0.03,,3.77,3.35,1.31,0.61,0.25,2.0,,2.0,1.0,,,,2.0,,213.36055477052,24.0,128.02061440906,23.406326659098,106.85762417249,5.0,0.41,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,
14566735,away,Real Madrid,Eduardo Camavinga,camavinga-eduardo,E. Camavinga,M,6,182,190106,M,Tacklevinga,973887,EUR,1036886400,M,6,6,True,31.0,30.0,2.0,2.0,0.0,13.0,13.0,17.0,18.0,5.0,,,2.0,5.0,1.0,,,,35.0,40.0,7.1,1.0,,,0.0415868,28.728,4.41247,3.0,,,0,,,0.24,0.25,,1.34,2.1,0.65,0.26,0.07,4.0,1.0,1.0,,,2.0,2.0,,3.0,71.431570326358,7.0,47.439843900815,23.714053844929,44.523432706276,2.0,0.13,,,,,,1.0,,,,,,,,,,1.0,,,,,,
