match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_challengeLost,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_outfielderBlock,stat_wasFouled,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_bigChanceCreated,stat_dispossessed,stat_totalCross,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_penaltyWon,stat_errorLeadToAShot,stat_penaltyFaced,stat_penaltyConceded
11388384,home,Feyenoord,Justin Bijlow,bijlow-justin,J. Bijlow,G,16,190,1386,M,556696,EUR,885427200,G,1,1,False,23.0,21.0,7.0,5.0,0.0,17.0,18.0,4.0,5.0,1.0,1.0,3.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,35.0,7.3,2.0,0.00066474,0,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388384,home,Feyenoord,Lutsharel Geertruida,lutsharel-geertruida,L. Geertruida,D,6,185,2489,M,856739,EUR,963878400,D,4,4,False,68.0,64.0,,,0.0,31.0,32.0,33.0,36.0,,,1.0,6.0,,,,,,,90.0,82.0,7.7,6.0,0.0508404,3,,1.0,1.0,1.0,1.0,1.0,1.0,0.8539,0.9918,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11388384,home,Feyenoord,Gernot Trauner,gernot-trauner,G. Trauner,D,18,183,610,M,121588,EUR,701481600,D,18,18,False,63.0,60.0,6.0,5.0,0.0,36.0,36.0,24.0,27.0,3.0,6.0,2.0,3.0,,,,,,,90.0,72.0,8.3,3.0,0.0362017,1,,2.0,1.0,,1.0,,1.0,0.057,0.1821,,True,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
11388384,home,Feyenoord,Dávid Hancko,david-hancko,D. Hancko,D,17,188,4795,M,807771,EUR,881971200,D,33,33,False,73.0,63.0,10.0,7.0,0.0,40.0,45.0,23.0,28.0,2.0,2.0,5.0,4.0,,,,,,,90.0,85.0,8.2,10.0,0.0132967,3,,2.0,,2.0,1.0,,1.0,0.2751,0.5328,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,
11388384,home,Feyenoord,Marcos López,marcos-lopez,M. López,D,15,176,2887,M,883745,EUR,943056000,D,15,15,False,49.0,41.0,4.0,1.0,1.0,16.0,20.0,25.0,29.0,,2.0,,4.0,,,,,,,90.0,62.0,7.6,9.0,0.4181,2,,5.0,1.0,2.0,,,,0.1776,,2.0,,,,,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11388384,home,Feyenoord,Ramiz Zerrouki,ramiz-zerrouki,R. Zerrouki,M,6,183,8083,M,989882,EUR,896140800,M,6,6,False,71.0,58.0,8.0,5.0,0.0,17.0,23.0,41.0,48.0,,3.0,3.0,4.0,,,,,,,79.0,82.0,7.8,14.0,0.236581,0,,1.0,1.0,,,,,,,3.0,,,1.0,1.0,2.0,2.0,,,,1.0,,,rramizz_,1.0,,,,,,,,,,,
11388384,home,Feyenoord,Thomas Van den Belt,thomas-van-den-belt,T. V. d. Belt,M,20,181,290,M,945233,EUR,992822400,M,16,16,False,19.0,12.0,,,0.0,4.0,8.0,8.0,11.0,2.0,3.0,,6.0,,,,,,,60.0,28.0,6.5,10.0,0.0276476,1,,6.0,,1.0,,,,0.029,,,,1.0,,1.0,1.0,,2.0,,,,,,,,3.0,,,,,,,,,,
11388384,home,Feyenoord,Alireza Jahanbakhsh,alireza-jahanbakhsh,A. Jahanbakhsh,M,27,180,3825,M,331837,EUR,745027200,M,7,7,False,44.0,27.0,2.0,1.0,0.0,5.0,10.0,22.0,36.0,2.0,8.0,,1.0,,,,,,,60.0,63.0,7.5,24.0,0.0892804,4,,5.0,2.0,,2.0,2.0,,0.1486,0.0607,1.0,,2.0,2.0,,4.0,2.0,1.0,,,1.0,,,alirezajb,,1.0,2.0,2.0,,,,,,,,
11388384,home,Feyenoord,Calvin Stengs,calvin-stengs,C. Stengs,M,23,187,1733,M,857480,EUR,913939200,M,10,10,False,63.0,57.0,,,1.0,23.0,24.0,36.0,42.0,1.0,2.0,,7.0,,,,,,,90.0,83.0,7.5,12.0,0.367064,3,,5.0,2.0,1.0,,2.0,,0.3178,,5.0,,1.0,1.0,,,,,,,,,,,1.0,3.0,3.0,1.0,2.0,1.0,,,,,,
11388384,home,Feyenoord,Igor Paixão,igor-paixao,I. Paixão,F,14,168,12525,M,981815,EUR,962150400,M,14,14,False,35.0,33.0,1.0,1.0,0.0,4.0,4.0,30.0,36.0,,,2.0,1.0,,,,,,,68.0,48.0,7.1,8.0,0.237003,1,,1.0,,1.0,,,,0.1644,,4.0,,,,,,,1.0,,,,,,,,,5.0,1.0,1.0,1.0,1.0,,,,,
11388384,home,Feyenoord,Ayase Ueda,ueda-ayase,A. Ueda,F,9,182,7469,M,985823,EUR,904262400,F,9,9,False,17.0,12.0,,,1.0,4.0,5.0,8.0,12.0,1.0,4.0,3.0,,,,,,,,90.0,31.0,7.4,9.0,0.201178,1,,5.0,2.0,1.0,,,,0.2744,,2.0,,,,,2.0,,1.0,1.0,1.0,,,,bee18,2.0,2.0,,,,1.0,,1.0,,,,
11388384,home,Feyenoord,Yankuba Minteh,minteh-yankuba,Y. Minteh,M,11,180,7047,M,1400106,EUR,1090454400,F,19,19,True,12.0,10.0,,,0.0,2.0,2.0,8.0,11.0,,2.0,,1.0,,,,,,,30.0,23.0,7.0,6.0,0.459051,1,,4.0,2.0,1.0,,,,0.2238,,1.0,,1.0,2.0,,,,,1.0,,2.0,,,minteh01,1.0,1.0,1.0,1.0,,,,,,,,
