match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_totalClearance,stat_outfielderBlock,stat_aerialLost,stat_unsuccessfulTouch,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_accurateCross,player_sofascoreId,stat_totalContest,stat_wonContest,stat_bigChanceMissed,captain,stat_totalKeeperSweeper,stat_lastManTackle,stat_errorLeadToAGoal
10382287,home,PSV Eindhoven,Walter Benítez,,,walter-benitez,W. Benítez,G,44,193,4345,M,249859,EUR,727401600,G,1,1,False,24.0,18.0,13.0,7.0,17.0,18.0,1.0,6.0,6.0,1.0,1.0,2.0,90.0,31.0,7.2,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382287,home,PSV Eindhoven,Jordan Teze,,,jordan-teze,J. Teze,D,4,183,1080,M,825846,EUR,938649600,D,3,3,False,85.0,79.0,3.0,3.0,45.0,50.0,34.0,38.0,7.0,,,,90.0,109.0,7.8,11.0,2,3.0,1.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10382287,home,PSV Eindhoven,André Ramalho,,,andre-ramalho,A. Ramalho,D,5,182,5374,M,148155,EUR,698198400,D,5,5,False,91.0,84.0,12.0,10.0,57.0,58.0,27.0,33.0,6.0,,,,63.0,94.0,7.2,7.0,0,,1.0,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
10382287,home,PSV Eindhoven,Olivier Boscagli,,,boscagli-olivier,O. Boscagli,D,21,181,1043,M,788784,EUR,879811200,D,18,18,False,87.0,73.0,17.0,7.0,51.0,51.0,22.0,36.0,5.0,,,,90.0,94.0,7.0,15.0,0,,2.0,4.0,2.0,,,,,,2.0,,,,,,1.0,,4.0,1.0,,,,,,,,,,,,
10382287,home,PSV Eindhoven,Patrick van Aanholt,,,patrick-van-aanholt,P. v. Aanholt,D,14,175,555,M,74577,EUR,651888000,D,30,30,False,65.0,57.0,2.0,1.0,29.0,33.0,28.0,33.0,9.0,,,,90.0,85.0,7.8,9.0,0,1.0,3.0,3.0,5.0,1.0,,1.0,,,1.0,2.0,2.0,,,4.0,,,2.0,,1.0,,,,,,,,,,,
10382287,home,PSV Eindhoven,Érick Gutiérrez,,,erick-gutierrez,É. Gutiérrez,M,15,181,915,M,590700,EUR,803174400,M,15,15,False,94.0,83.0,7.0,4.0,39.0,39.0,44.0,56.0,10.0,,,,90.0,116.0,8.4,14.0,4,1.0,5.0,5.0,12.0,3.0,1.0,1.0,,1.0,1.0,7.0,4.0,,1.0,1.0,,,,1.0,,3.0,1.0,,,,,,,,,
10382287,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185,3780,M,850816,EUR,911433600,M,23,23,False,62.0,53.0,9.0,5.0,22.0,23.0,34.0,46.0,7.0,,,,90.0,80.0,7.4,14.0,2,7.0,1.0,4.0,2.0,2.0,1.0,,2.0,,1.0,1.0,1.0,,,2.0,2.0,,1.0,,,,,3.0,,,,,,,,
10382287,home,PSV Eindhoven,Johan Bakayoko,Johan Bakayoko,,johan-bakayoko,J. Bakayoko,F,9,179,6820,M,1088896,EUR,1050796800,M,27,27,False,41.0,34.0,,,10.0,10.0,25.0,36.0,4.0,,,,63.0,57.0,6.9,14.0,1,5.0,1.0,5.0,7.0,3.0,1.0,,,1.0,,,,2.0,,2.0,,,1.0,1.0,,,,1.0,johanbakayoko,4.0,4.0,,,,,
10382287,home,PSV Eindhoven,Xavi Simons,,,xavi-simons,X. Simons,M,7,179,50786,M,997183,EUR,1050883200,M,7,7,False,40.0,35.0,5.0,4.0,15.0,15.0,21.0,26.0,2.0,,,,83.0,57.0,8.3,9.0,3,1.0,,5.0,6.0,1.0,1.0,1.0,1.0,1.0,,1.0,,3.0,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,XaviSimons,3.0,2.0,1.0,,,,
10382287,home,PSV Eindhoven,Fábio Silva,,,fabio-silva,F. Silva,F,21,185,5315,M,954076,EUR,1027036800,M,10,10,False,24.0,15.0,1.0,1.0,6.0,7.0,9.0,18.0,3.0,,,,90.0,39.0,6.9,15.0,4,1.0,,6.0,2.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,2.0,3.0,,3.0,1.0,,fabio.silva,2.0,1.0,1.0,,,,
10382287,home,PSV Eindhoven,Luuk de Jong,,,luuk-de-jong,L. de Jong,F,26,188,8572,M,40878,EUR,651715200,F,9,9,False,3.0,2.0,,,1.0,1.0,1.0,2.0,,,,,45.0,5.0,7.1,2.0,1,,1.0,4.0,1.0,1.0,,,,,,,,,,1.0,,,2.0,,,1.0,1.0,,luukdejong9,1.0,,,True,,,
